,category,id,duration,caption,definition,title,description,publishedAt,channelid,channeltitle,views,likes,dislikes,favorite,comments,category.y,related,fake
1,1,ecni9SjkWoM,PT52M51S,FALSE,hd,Free energy of Tesla. Film (Dubbed into English).,"Site - http://goo.gl/oORnr
IMDB - http://goo.gl/0PQvB
Instagram - http://goo.gl/JiyAC
Twitter - http://goo.gl/Ne8ZE
LinkedIn - http://goo.gl/myBN0
Vimeo - http://goo.gl/c57k6
Genre: docudrama
Type: documentary
Year: 2011
Director: Misha Kostrov
Creative director: Eugene Sannikov
Producer: Victor Mirsky, Sergey Sozanovsky
Creative producer: Oksana Maidanskaya
Director of photography: Vladimir Kratinov
Scriptwriter: Nataliya Doilnitsyna
Ð<90>wards: Platinum Remi Award, WorldFest Houston 2013

The film tacks together two tales: a historical account of Tesla's eventful life and his pioneering research into physics and bold experiments with electricity.
Suffering from a fatal malady as a child the future great physicist promised his parents that he would recover under the sole condition...if they allowed him to become an engineer. And he kept his promise. Never ending yearning for knowledge, research practice, creative endeavor, discoveries that have unfixed all established notions -- that's what was the characteristic of the great physicist. Nikola Tesla would always remain a scientist whose life was a sort of mystification rather than pure reality.",2014-02-04T15:13:49.000Z,UCa4grme_V_sz4c2P5B-hAIw,FILM.UA Group,1913732,41081,869,0,3011,Film & Animation,1,0
2,10,taJ7Rb3qgi8,PT2H7M30S,FALSE,hd,528Hz Energy CLEANSE Yourself & Your Home - Heal Old Negative Energies From Your House Frequency,"Hello beautiful people! We are proud to present to you, our latest song made with the intention to serve as an energy cleanse for yourself and your home! Heal old negative energies from your house with this music tuned to 528hz!

What is the 528hz frequency?
Read more about it here; https://tribeofthehealers.com/solfeggio-frequencies/ 
or in the article below!

You can buy this as an MP3 format in the link below if you fancy listening to this offline;
https://tribeofthehealers.com/product/528hz-energy-cleanse-yourself-your-home-heal-old-negative-energies-from-your-house-frequency-2/

That being said, thank you for listening!  We wholeheartedly hope that you enjoy our latest song.
- Love, Woke Nation.

â˜…SAVE OUR PLAYLIST
www.youtube.com/watch?v=p2ongeTqYEw&list=PLFOxju2z9W5WeZeNztu1mtiJz1fn4wftq

â˜…â˜…â˜… Check out our Top Videos â˜…â˜…â˜… 

https://youtu.be/taJ7Rb3qgi8
https://youtu.be/kFsHN6dMxrI 
https://youtu.be/RmJUuorNtDE 
https://youtu.be/Fs9qRFO1Yms 
https://youtu.be/dI-YV2UpJpE 
https://youtu.be/hb1sCcI002s 

--------------------------------------------------------------------------------------
â˜…WEBSITE
https://tribeofthehealers.com/

â˜…Mp3 Store
https://tribeofthehealers.com/shop/

-----------------------------------------------------------

Solfeggio frequencies form part of an ancient scale that was rediscovered by Dr. Joseph Puleo in 1974. They are a 6 tone sequence of special electromagnetic frequencies. They were originally used in Gregorian chants many hundreds of years ago, and recently, they were brought back to everybodyâ€™s attention for their healing powers.

These frequencies induce movements of consciousness that will help stimulate new changes that are necessary for individuals who would like to achieve awakening. 

it has been said that these frequencies have helped many individuals throughout the centuries to undo difficult situations, to change their perspective of things, to turn sadness into happiness, but above all, it has also helped many to reconnect with their own true selves.

The frequencies are the following:

â˜… 396 Hertz: DO. It is usually related to guilt and fear, and how they can suppress other emotions as well. It is associated with the color red.

â˜… 417 Hertz: RE. It is usually related to past trauma and negativity and the willingness to change. This frequency can help you to recognize those past traumas that are no longer valuable in your life. It is associated with the color orange.

â˜… 528 Hertz: MI. It is usually related to DNA, peace of mind and clarity. This frequency will help you heal and remove any sickness you may have. It is associated with the color yellow.

â˜… 639 Hertz: FA. It is usually related to Interpersonal relationships. This frequency will help you heal those difficult relationships you still have from the past while also reconnecting with those who are valuable in your present. It is associated with the color green.

â˜… 741 Hertz: SOL. It is usually related to the emotional stability you are looking for. This frequency will help you solve any problems you may have in your life. It is associated with the color blue.

â˜… 852 Hertz: LA. It is usually related to the views of oneself and the universe. It requires open space in order to allow intuition to come in. It is associated with the color indigo.

â˜… 963 Hertz: SI. it is usually related to the feeling of oneness. It means awakening and interconnected to the universe. This frequency helps you to reconnect with yourself. It is associated with the color purple.

And this isnâ€™t something new either, as ancient civilizations from all areas of the world seemed to use music as therapy, in all of its forms. The greeks used flutes or lyres, the Mesopotamians used the harp, or the Incas used the flutes (or quena as they are traditionally known).  

Choose a Solfeggio frequency track: Perhaps you would like to start at the beginning? It doesnâ€™t matter, as there isnâ€™t a specific order for them to be playedâ€¦in fact, you can choose to do one if you would like to focus on that specific frequency for the time being. 

Many experience a shift happening after the first couple of seconds of listening. Be consistent with it to truly raise your vibration to cleanse out old unconscious energy that holds one locked in a fear-based reality. 

Read more about the healing frequencies on our website:
www.tribeofthehealers.com

We believe in the power of the human spirit,
- WOKE NATION",2020-02-13T12:35:30.000Z,UCUSzc8BHGJPaYt0DjvscIzw,WOKE NATION,2357195,33717,986,0,1674,Music,1,0
3,20,nbiVbd_CEIA,PT33M49S,FALSE,hd,AlphaStar vs Serral - Game 1,"AlphaStar's Protoss vs Serral's Zerg

Introduction to the series:
https://youtu.be/OxseexGkv_Q

AlphaStar vs Serral Game 2:
https://youtu.be/jELuQ6XEtEc


Also check out more of my content:
Twitch.tv/Artosis
Twitter.com/Artosis",2019-11-18T13:57:28.000Z,UCuOqvRRt9GqyIUVTwSB4Ucg,ArtosisTV,250544,3482,840,0,657,Gaming,0,0
4,20,TswyyjybUjQ,PT2H43M36S,FALSE,hd,"ðŸ¤– AlphaStar, l'IA qui botte du pro gamer ðŸ¤–","DÃ©calage son/image, dÃ©solÃ© mais impossible de rÃ©soudre ce problÃ¨me. On upload quand mÃªme la VOD car beaucoup l'ont demandÃ©, encore dÃ©solÃ© du dÃ©sagrÃ©ment. 

Retrouvez toutes les VODs sur: https://twitch.tv/ogamingsc2/videos/all
Abonnez vous Ã  la chaÃ®ne: https://twitch.tv/ogamingsc2/subscribe

Suivez notre actualitÃ© sur :
â™¦ Facebook 
Oâ€™Gaming : https://facebook.com/OGamingTV
Pomf &Thud : https://facebook.com/PomfEtThud
Funka : https://facebook.com/FunKaSC2
TKL : https://facebook.com/TKLStarcraft/
YoGo : https://facebook.com/DrYoGo/

â™¦ Twitter
Oâ€™Gaming : https://twitter.com/OGaming_TV
Pomf & Thud : https://twitter.com/PomfThud
Funka : https://twitter.com/FunKaStarcraft
TKL : https://twitter.com/TKLStarcraft
Koka : https://twitter.com/Koka_Starcraft
Yogo : https://twitter.com/DocteurYoGo",2019-02-05T17:45:25.000Z,UCU1nH5X8eC0aD3PkveRjjgw,OG Starcraft II Replays FR,33114,343,15,0,58,Gaming,0,0
5,20,h0UBfmOJYO4,PT1H47M25S,FALSE,hd,Stats vs Serral PvZ - Grand Final - 2018 WCS Global Finals - StarCraft II,"Stats vs Serral face off in the Grand Final of the 2018 WCS Global Finals.

Follow the whole series on http://www.StarCraft2.com/WCS

Check out all the matches from the 2018 WCS Global Finals: https://www.youtube.com/playlist?list=PLHZ-lw26q81XkuQlvpAf7GaDtFqgXQ8Ie

Follow us for the latest news and updates!

https://WCS.StarCraft2.com/en-us/
https://www.YouTube.com/StarCraftEsports
https://www.YouTube.com/StarCraft
https://www.Facebook.com/StarCraft
https://Twitter.com/EsportStarCraft
https://Twitter.com/StarCraft
https://www.Twitch.tv/StarCraft -- Watch live at https://www.twitch.tv/starcraft",2018-11-04T21:21:59.000Z,UC2WWBPpcENmF3CkHQx3UB2A,StarCraft Esports,2198379,13341,770,0,1698,Gaming,0,0
6,22,Ft1waA3p2_w,PT29M15S,FALSE,hd,Nikola Tesla - Limitless Energy & the Pyramids of Egypt,"Stream 2 full seasons of Ancient Civilizations for free at http://bit.ly/Ancient_Civilizations only on Gaia.
DISCLOSURE: This post may contain affiliate links, meaning when you click the links and make a purchase, we receive a commission.

Nikola Tesla (10 July 1856 â€“ 7 January 1943) was a Serbian-American inventor, electrical engineer, mechanical engineer, and futurist who is best known for his contributions to the design of the modern alternating current (AC) electricity supply system. Tesla held over 300 patents and is responsible for inventing the laser, x-ray, radio, Tesla coil, Tesla turbine, neon signs, induction motor, remote control and many more. Tesla was a brilliant mind, but did not focus his energy on monetizing his inventions and had difficulty socializing. He died alone in a small hotel in New York. 
The Great Pyramid of Giza (also known as the Pyramid of Khufu or the Pyramid of Cheops) is the oldest and largest of the three pyramids in the Giza pyramid complex bordering present-day El Giza, Egypt. It is the oldest of the Seven Wonders of the Ancient World, and the only one to remain largely intact. Correction: In the video I draw a line pointing to the middle pyramid as The Great Pyramid. The Great Pyramid is actually the northern most pyramid of the 3. 

Please consider supporting After Skool on Patreon https://www.patreon.com/AfterSkool
We have a book coming out very soon. Visit our site to preorder https://www.afterskool.net/
Check out the new After Skool T-shirt design! https://teespring.com/stores/afterskool
If you'd like us to make a custom animation for your company, send us an email at afterskool100@gmail.com

Music: Mars by Stellardrone",2019-10-15T16:00:41.000Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,3854918,71673,7973,0,11185,People & Blogs,1,0
7,22,xvzZ56ZbWy8,PT10M21S,TRUE,hd,THOTH's PROPHECY read from the Hermetic Texts by Graham Hancock,"Graham Hancock is a British author who specializes in theories involving ancient civilizations, Earth changes, stone monuments or megaliths, altered states of consciousness, ancient myths, and astronomical or astrological data from the past. He has become recognized as an unconventional thinker who raises controversial questions about humanityâ€™s past. Learn more at https://grahamhancock.com/

Huge thank you to Lubomir Arsov for creating the extraordinary animation from 2-6 minutes of the video. Please watch his original work In Shadow - Modern Odyssey - Short Film https://www.youtube.com/watch?v=j800SVeiS5I
Special thank you to The Angry Hippie for the inspiration for this video. Check out their channel https://www.youtube.com/channel/UCMWx2YgH38DEJFjxyY3vnPQ
Background music: Arrival of the Birds by Cinematic Orchestra

Original reading from Graham Hancock https://www.youtube.com/watch?v=E4Kou9TGdi8&t=122s

Please consider supporting After Skool on Patreon https://www.patreon.com/AfterSkool
We have a book coming out very soon. Visit our site to preorder https://www.afterskool.net/
Check out the new After Skool T-shirt design! https://teespring.com/stores/afterskool
If you'd like us to make a custom animation for your company, send us an email at afterskool100@gmail.com",2019-08-06T16:33:10.000Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,1955002,78492,2213,0,8530,People & Blogs,1,0
8,22,8pcLuwxhhkk,PT35M23S,FALSE,hd,Alan Watts - When you're silent it speaks,Famous lecture from Alan Watts,2016-08-08T20:43:03.000Z,UCiqU-QU9PtMztjWad6UdK5w,Alexander Lewis,1700716,29920,1131,0,1696,People & Blogs,0,0
9,22,qOZqGUCrje8,PT12M32S,TRUE,hd,What Happens When You Only Pursue Pleasure - Alan Watts,"The goal of this channel has always been to take the most empowering ideas and enhance them with art. Creating videos like this is my purpose on earth. When you find your purpose, nothing will stop you, because...the purpose is bigger than you. I don't care if I get paid to make these videos. The satisfaction of creating something like this exceeds any amount of fame or fortune. I hope you enjoy this and share it around. And I wish you all the best in finding your purpose. 

Alan Wilson Watts (6 January 1915 â€“ 16 November 1973) was a British-American philosopher who interpreted and popularized Eastern philosophy for a Western audience. Watts proposed that Buddhism could be thought of as a form of psychotherapy and not a religion. His thought provoking lectures aim to answer life's greatest mysteries and are more relevant today than ever before. 

Please consider supporting After Skool on Patreon https://www.patreon.com/AfterSkool
We have a book coming out very soon. Visit our site to preorder https://www.afterskool.net/

And don't forget to subscribe for more inspiring videos!",2019-04-02T15:59:50.000Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,1517918,77380,1374,0,3226,People & Blogs,0,0
10,22,iBF0hP2_nGw,PT32M39S,TRUE,hd,The Lost Ancient Humans of Antarctica,"Stream 2 full seasons of Ancient Civilizations for free at http://bit.ly/Ancient_Civilizations only on Gaia.
The earth has gone through countless changes in its history. Antarctica at one time was not covered with ice, and could have been home to ancient humans. As we develop new methods for uncovering the ice, we are beginning to see the possibilities that lay below. Mainstream ideology puts forward the ""Out of Africa"" theory, which tracks humans originating in Africa and spreading out by land across the world. However, genetic research is finding evidence that makes our story far more complex. One of these findings is the discovery of the Denisovan people of Siberia, which reveals an entirely new, intelligent human subspecies (first discovered in 2008). It is findings like this, that cause us to have to rewrite human history. 

Please consider supporting After Skool on Patreon https://www.patreon.com/AfterSkool
Check out the new After Skool T-shirt design! https://teespring.com/stores/afterskool
If you'd like us to make a custom animation for your company, send us an email at afterskool100@gmail.com

Music: Mars by Stellardrone",2020-02-25T17:00:11.000Z,UC1KmNKYC1l0stjctkGswl6g,After Skool,1378351,28797,2944,0,6202,People & Blogs,1,0
