"","id","duration","caption","definition"
"1","Ft1waA3p2_w","PT29M15S","false","hd"
"2","VNGFep6rncY","PT11M26S","true","hd"
"3","azq0S0DKS50","PT10M27S","true","hd"
"4","aJMP0BPeKVs","PT3H30M46S","false","hd"
"5","UygnXqoKrC4","PT40M25S","false","sd"
"6","N-yALPEpV4w","PT17M33S","true","hd"
"7","fxRo8qHjJaw","PT22M49S","false","hd"
"8","vuIlsN32WaE","PT21M26S","false","hd"
"9","mPqWstVnRjQ","PT2H13M49S","false","hd"
"10","OI_HFnNTfyU","PT18M39S","false","sd"
"11","npoNbXXS4oQ","PT31M","false","hd"
"12","hqKafI7Amd8","PT17M50S","true","sd"
"13","xDyJkFehDk0","PT30M27S","true","hd"
"14","mI6IzPCmIW8","PT22M56S","true","hd"
"15","Y1OpbDWp8KY","PT1H6M16S","true","hd"
"16","dL0XnbWlwBw","PT44M20S","false","hd"
"17","c-ErA_acTq8","PT34M19S","false","hd"
"18","TswyyjybUjQ","PT2H43M36S","false","hd"
"19","Nxn2LlBJDl0","PT11M6S","true","hd"
"20","K-Fc08X56R0","PT13M59S","true","hd"
"21","kybenSq0KPo","PT16M7S","true","hd"
"22","i-T7tCMUDXU","PT24M15S","true","hd"
"23","ZQ--scjcAZ4","PT16M31S","true","hd"
"24","wxL4ElboiuA","PT37M50S","false","hd"
"25","wAGdinXZjSc","PT27M19S","false","sd"
"26","klXj198vY4A","PT11M12S","false","hd"
"27","SSH5EY-W5oM","PT20M31S","true","hd"
"28","WBFoV6jn79c","PT46M39S","true","hd"
"29","eOUWgtbIhgE","PT9M10S","true","hd"
"30","xvzZ56ZbWy8","PT10M21S","true","hd"
"31","4-079YIasck","PT18M37S","false","hd"
"32","1VPfZ_XzisU","PT14M49S","false","hd"
"33","K60xHx836T0","PT18M32S","false","hd"
"34","3MNQXhA-Pso","PT41M18S","false","hd"
"35","ecni9SjkWoM","PT52M51S","false","hd"
"36","7T6GaDht6do","PT9M57S","true","hd"
"37","WXuK6gekU1Y","PT1H30M28S","true","hd"
"38","PHe0bXAIuk0","PT31M","true","hd"
"39","iBF0hP2_nGw","PT32M39S","true","hd"
"40","vJybfmbrOCE","PT48M46S","false","hd"
"41","Abz3Ab9HhaQ","PT1H30M3S","false","hd"
"42","ThwuT3_AG6w","PT18M22S","true","hd"
"43","kFQJNeQDDHA","PT50M30S","true","hd"
"44","qOZqGUCrje8","PT12M32S","true","hd"
"45","Zk11vI-7czE","PT1H40M2S","true","hd"
"46","B9XGUpQZY38","PT28M47S","true","hd"
"47","cUTMhmVh1qs","PT2H22M25S","false","hd"
"48","ovJcsL7vyrk","PT18M39S","true","hd"
"49","hIXhnWUmMvw","PT50M","true","hd"
"50","aDejwCGdUV8","PT3H1M55S","false","hd"
"51","A6Dkt7zyImk","PT12M45S","true","hd"
"52","stCxLxBMjYA","PT31M37S","true","hd"
"53","nbiVbd_CEIA","PT33M49S","false","hd"
"54","A2aBKnr3Ep4","PT20M24S","true","hd"
"55","WA1Ji-Hj1qo","PT46M18S","false","hd"
"56","tHO1ebNxhVI","PT18M31S","false","hd"
"57","h0UBfmOJYO4","PT1H47M25S","false","hd"
"58","taJ7Rb3qgi8","PT2H7M30S","false","hd"
"59","JHDkALRz5Rk","PT42M26S","true","hd"
"60","8pcLuwxhhkk","PT35M23S","false","hd"
"61","aLg4AV60uWY","PT25M47S","false","sd"
"62","wtV5ev6813I","PT25M58S","true","hd"
"63","IzQxaUVtmUA","PT9M43S","false","hd"
"64","ciStnd9Y2ak","PT20M29S","true","hd"
"65","I1IDC8FEIBU","PT10M28S","false","sd"
"66","XI5frPV58tY","PT18M18S","true","sd"
"67","_98m4Vod6_8","PT15M32S","true","hd"
"68","hutT5j6G-Kw","PT17M56S","true","hd"
"69","zR3Igc3Rhfg","PT7M7S","true","hd"
