title,genre,views,likes,dislikes,description,duration,datePublished,uploadDate,key,channel,channel_url,channel_id,recommendations,id
11-year-old arrested for his pregnant soon-to-be stepmother's murder: 20/20 Oct 19 Pt 1,News & Politics,15864512,"96,756","8,959","WATCH THE FULL EPISODE OF 20/20:https://bit.ly/2Pekl6cTwenty-six-year-old Kenzie Houk had been shot in the back of the head, and police charged Jordan Brown, the son of Houk's fiance, for her murder.Part 2https://www.youtube.com/watch?v=uuqTJ... SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/Watch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/",PT7M33S,2018-11-02,2018-11-02,113122,ABC News,/channel/UCBi2mrWuNuyYy4gbM6fU18Q,UCBi2mrWuNuyYy4gbM6fU18Q,20,TA6bvn9e8Oc
Convicted sex offender attacked by prisoner in courtroom,News & Politics,4184078,"27,269","1,237",A man sentenced for sexually assaulting a 4-year-old girl was attacked in a courtroom by another prisoner.Subscribe to WMUR on YouTube now for more: http://bit.ly/1lOjX9CGet more Manchester news: http://wmur.comLike us: http://facebook.com/wmur9Follow us: http://twitter.com/WMUR9Google+: https://plus.google.com/+wmur,PT1M46S,2017-11-30,2017-11-30,112411,WMUR-TV,/channel/UCwuZjWoiT30kDTz0G41Y8gQ,UCwuZjWoiT30kDTz0G41Y8gQ,20,900OgNEVtWY
Russell Williams - The Confession - the fifth estate,News & Politics,7182232,"24,192","4,337","Bob McKeown deconstructs the interrogation and shocking confession of Russell Williams. From his initial denial to the full declaration of guilt, the fifth estate deciphers one of the most compelling and distressing confessions in Canadian criminal history with the help of people who know the art of interrogation better than anyone else. For many months, the fifth estate has been following the story of Russell Williams and now is able to piece it together from the early clues to the final confession.Original airdate : October 22nd, 2010For more on the fifth estate : http://www.cbc.ca/fifthFollow us on Twitter : http://www.twitter.com/cbcfifthLike us on Facebook : https://www.facebook.com/thefifthestate",PT57M24S,2014-09-05,2014-09-05,111444,CBC News,/channel/UCuFFtHWoLl5fauMMD5Ww2jA,UCuFFtHWoLl5fauMMD5Ww2jA,20,lj7QRP37Wn0
Family tackles alleged sexual predator in their backyard,News & Politics,957498,"6,634",185,"An Oklahoma father carried out an elaborate sting to catch an alleged sexual predator. Police say Jeremy Dewayne Gibson pursued a 15-year-old online and went to her home to have sex with her, but when he arrived, her family tackled him to the ground. David Begnaud reports.Subscribe to the ""CBS This Morning"" Channel HERE: http://bit.ly/1Q0v2hEWatch ""CBS This Morning"" HERE: http://bit.ly/1T88yARWatch the latest installment of ""Note to Self,"" only on ""CBS This Morning,"" HERE: http://cbsn.ws/1Sh8XlBFollow ""CBS This Morning"" on Instagram HERE: http://bit.ly/1Q7NGnYLike ""CBS This Morning"" on Facebook HERE: http://on.fb.me/1LhtdvIFollow ""CBS This Morning"" on Twitter HERE: http://bit.ly/1Xj5W3pFollow ""CBS This Morning"" on Google+ HERE: http://bit.ly/1SIM4I8Get the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7TGet your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---Delivered by Charlie Rose, Norah O’Donnell and Gayle King, ""CBS This Morning"" offers a thoughtful, substantive and insightful source of news and information to a daily audience of 3 million viewers. The Emmy Award-winning broadcast presents a mix of daily news, coverage of developing stories of national and global significance, and interviews with leading figures in politics, business and entertainment. Check local listings for ""CBS This Morning"" broadcast times.",PT3M36S,2017-06-30,2017-06-30,111324,CBS This Morning,/channel/UC-SJ6nODDmufqBzPBwCvYvQ,UC-SJ6nODDmufqBzPBwCvYvQ,20,pC0wIEkdco0
Nikko Jenkins sentenced to death,News & Politics,40860282,"144,543","12,378",#nikkokjenkins #omaha #deathpenaltyNikko Jenkins sentenced to death,PT2M49S,2017-05-30,2017-05-30,111321,KMTV 3 News Now,/channel/UC0duMiBZmDlbUue0eqd0htw,UC0duMiBZmDlbUue0eqd0htw,20,wNfq4mlfU6k
Man appears in court to face judge who taped his mouth,News & Politics,126041,748,113,,PT12M40S,2018-08-06,2018-08-06,111343,FOX 8 News Cleveland,/channel/UCqk7J74c0gWpV9p7eVglFZw,UCqk7J74c0gWpV9p7eVglFZw,20,oANwriDMH0E
Judge John McBain sentences Dawn Dixon-Bey in the death of Gregory Stack,News & Politics,372618,"1,971",101,Video as Jackson County Circuit Court Judge John McBain sentences Dawn Dixon-Bey in the death of Gregory Stack,PT1M25S,2016-01-27,2016-01-27,11333,MLive,/channel/UClmFQfVyDvdtCralM-Oo_mw,UClmFQfVyDvdtCralM-Oo_mw,20,xfxrNRWWdFQ
Long Lost Family (UK) S08E01,People & Blogs,318470,"3,312",117,"Long Lost Family UK Season 08 Episode 01In this episode, two of our youngest ever searchers look for birth family on the other side of the world.- - - - - - - - - - Presented by: Davina McCall, Nicky CampbellNetworks: ITV, STVhttps://www.youtube.com/channel/UCoEq...Executive producers: Colette Flight, Leanne Klein, Sally Benton, Clare Bradbury, Duncan Coates, Kate Scholefield- - - - - - - - - - This video is NOT being monetized. Uploaded for the love of LLF :)- - - - - - - - - - #LongLostFamilyUK #LongLostFamily #DNAtest #23andMe- - - - - - - - - - long lost family season 8 episode 1long lost family uk season 8 episode 1long lost family series 8 episode 1",PT46M8S,2019-12-21,2019-12-21,113213,Cinelic,/channel/UCIc2VdSTM4VZNme-3rG3Edg,UCIc2VdSTM4VZNme-3rG3Edg,20,m_kEd7mqo5A
Closing arguments: Prosecutors make final argument in Mark Sievers trial,News & Politics,28585,151,12,"Prosecutor Hamid Hunter addresses the jury with the state's closing argument in the Mark Sievers murder trial on December 4, 2019.",PT66M11S,2019-12-04,2019-12-04,111112,FOX 4 Now,/channel/UC2rLSYDm92QMytS9yIkT8UQ,UC2rLSYDm92QMytS9yIkT8UQ,20,JDOwx5ypjkY
Top 10 Craziest Judge Judy Cases,Entertainment,1359945,"12,825","1,111","Subscribe: http://www.youtube.com/c/MsMojo?sub_c...All rise! For this list, we’ll be raising our right hands and taking an oath of jaw dropping proportions. From bizarre lawsuits, to questionable plaintiffs and defendants, these are the cases that’ll make you go, “What?!” Parties may now be seated. Our list includes you’re a MORON, push, the fake case, wealthy friend, for mature audiences, and more! Join MsMojo as we count down our picks for the Top 10 Craziest Judge Judy Cases.10. You’re a MORON9. Push8. The Fake Case7. It’s Not the Same Dressing6. Wealthy Friend5. Can My Mom Have Your Autograph?4. For Mature Audiences3, 2 & 1???Check out these other great videos:Top 10 Best Judge Judy Moments: https://youtu.be/CS7W64rXPiwTop 10 Snatch Game Performances from RuPaul's Drag Race: https://youtu.be/-xoeJ7zJEGcTop 10 Heartwarming Judge Caprio Verdicts: https://youtu.be/XN4fLuEc9oUCheck out the voting page for this list and add your picks: https://www.watchmojo.com/suggest/Top...Special thanks to our users edewhirst and smizetillyoumakeit for suggesting this idea!MsMojo's Social Media: Facebook►►http://www.Facebook.com/MsWatchMojo Twitter►►http://www.Twitter.com/MsWatchMojoInstagram►►http://instagram.com/MsWatchMojo Snapchat ►►https://snapchat.com/add/mswatchmojoGet MsMojo Merchandise at http://www.watchmojo.com/storeShop: https://shop.watchmojo.com/collection...WatchMojo is a leading producer of reference online video content of Top 10 Lists, Origins, Biographies, Commentary and more on Pop Culture, Celebrity, Movies, Music, TV, Film, Video Games, Politics, News, Comics, Superheroes. Your trusted authority on ranking Pop Culture.#JudgeJudy",PT10M3S,2019-04-19,2019-04-19,112141,MsMojo,/channel/UC3rLoj87ctEHCcS7BuvIzkQ,UC3rLoj87ctEHCcS7BuvIzkQ,19,MTaqe7dD53U
