"","channel","N"
"1","92nd Street Y",2
"2","ABC News",6
"3","ABC News In-depth",3
"4","ABC Science",1
"5","ABP NEWS",1
"6","ATOM",1
"7","Absolute History",1
"8","After Skool",2
"9","Agatan Foundation",1
"10","Al Jazeera Arabic قناة الجزيرة",8
"11","Al Jazeera English",33
"12","AlArabiya العربية",1
"13","AlHadath الحدث",1
"14","All Hands",1
"15","Alltime10s",1
"16","Alux.com",1
"17","American Museum of Natural History",1
"18","Andrew DC TV",1
"19","Anglophenia",1
"20","Aramco",1
"21","AsapSCIENCE",9
"22","Asian Boss",1
"23","BBC News",2
"24","BBC News Africa",1
"25","BBC Newsnight",2
"26","Back Intelligence",1
"27","BePure - Ben Warren",1
"28","BeckmanInstitute",1
"29","Belfer Center",1
"30","Ben Sullins",1
"31","Best of It's Okay To Be Smart!",2
"32","Better Than Yesterday",7
"33","Big Think",1
"34","Bloomberg",6
"35","Brew",4
"36","Business Insider",2
"37","BuzzFeed Multiplayer",14
"38","BuzzFeed UK",1
"39","BuzzFeed Unsolved Network",1
"40","C-SPAN",1
"41","CBC News",4
"42","CBC News: The National",2
"43","CBN News",9
"44","CBS",1
"45","CBS News",8
"46","CGTN",1
"47","CMX",1
"48","CNA",6
"49","CNA Insider",1
"50","CNBC",11
"51","CNBC Television",2
"52","CNN",8
"53","CNN-News18",1
"54","CUNYQueensborough",1
"55","Cambridge University",1
"56","CaspianReport",1
"57","Cerebralfire",1
"58","Channel 4 News",1
"59","Channels Television",1
"60","Chesapeake Urology",1
"61","ChessNetwork",1
"62","Chicago Humanities Festival",2
"63","China Uncensored",1
"64","China in Focus - NTD",1
"65","Choose Your Boat",1
"66","Chromosome8",1
"67","Closer To Truth",1
"68","Commonwealth Club",1
"69","Compiler Revolt",1
"70","Conversations That Matter",1
"71","Corporals Corner",1
"72","DDPmeetings",6
"73","DTTV - Science Answers",1
"74","DW Documentary",21
"75","Dad Builds a House",1
"76","Daniel Halsey",1
"77","Derek Van Schaik",1
"78","Diet Doctor",1
"79","Dig And Delve",1
"80","Digiday",1
"81","Discover",1
"82","Doctor Mike Hansen",2
"83","Documentary Base",1
"84","Documentary House 2.0",1
"85","Dreksler Astral",1
"86","Drew Durnil",1
"87","ECHO Inc.",1
"88","Earth Titan",1
"89","EatSleepCruise.com",1
"90","EdChoice",1
"91","English with Lucy",4
"92","Epic History TV",7
"93","European Space Agency, ESA",2
"94","Evan Carmichael",2
"95","Everyday Astronaut",2
"96","Eyewitness News ABC7NY",1
"97","FLORB",1
"98","FOCLOnline",1
"99","FORA.tv",1
"100","FOX 10 Phoenix",1
"101","FOX31 Denver",1
"102","Fall of Civilizations",4
"103","Fire of Learning",4
"104","Flagey",1
"105","Flash Point History",6
"106","Fondation Mérieux",1
"107","Forces TV",1
"108","Foreign Policy Association",3
"109","Fox Business",1
"110","Fox News",6
"111","Friends of Science",1
"112","GWPF",1
"113","General Knowledge",1
"114","Geography Now",1
"115","Global News",3
"116","Great Big Story",1
"117","Harvard Law School",1
"118","Harvard Semitic Museum",1
"119","Harvard University",1
"120","HinduismTodayVideos",3
"121","Historia Civilis",1
"122","History Matters",16
"123","History Time",4
"124","History With Hilbert",10
"125","HistoryMarche",2
"126","HomeSteadHow",1
"127","HooverInstitution",36
"128","Horizon",1
"129","How To Academy",2
"130","How Your Body Works!",2
"131","Huckabee",2
"132","I Need More Space",1
"133","Imperial College London",3
"134","Independent Institute",1
"135","Insight SBS",6
"136","Institute of Public Affairs",2
"137","Intelligence Squared",1
"138","Invicta",1
"139","It's Okay To Be Smart",14
"140","JFK Library",1
"141","Jack Rickard",3
"142","Jason Fung",1
"143","John Nord",1
"144","Journeyman Pictures",3
"145","Just The News",1
"146","KING 5",1
"147","KISSCaltech",1
"148","KVIEvideo",1
"149","Key & Peele",1
"150","Kings and Generals",8
"151","KnowledgeHub",1
"152","KoreanBilly's English",1
"153","Kraut",1
"154","Kurzgesagt – In a Nutshell",13
"155","LA MAGRA",1
"156","Late Night with Seth Meyers",2
"157","Learn Engineering",2
"158","Learn English with Gill (engVid)",3
"159","Lectures by Walter Lewin. They will make you ♥ Physics.",2
"160","LetThemTalkTV",3
"161","Lewis Howes",1
"162","Liberty University",5
"163","Life Noggin",1
"164","Lindybeige",2
"165","Living Web Farms",1
"166","London",1
"167","Long Beach City College",1
"168","Los Angeles",1
"169","Low Carb Down Under",1
"170","MAD LAB",1
"171","MSNBC",7
"172","Mark Bowden",1
"173","Mark Felton Productions",2
"174","Mark Rober",1
"175","Metafora Production",1
"176","Military Videos",1
"177","Mind Field",4
"178","Minds Eye Design",2
"179","Mitch Manly",1
"180","Montemayor",1
"181","Motivation Madness",1
"182","MulliganBrothers",1
"183","NASA",12
"184","NASA Jet Propulsion Laboratory",1
"185","NASA Video",1
"186","NBC New York",1
"187","NBC News",16
"188","NCASVideo",1
"189","NETNebraska",1
"190","Naked Science",3
"191","Nat Geo Abu Dhabi",1
"192","National Geographic",1
"193","Ninja Nerd Science",1
"194","NowThis News",3
"195","Oscar Boyson",1
"196","OxfordUnion",1
"197","PA3DMI",1
"198","PBS",1
"199","PBS Eons",12
"200","PBS NewsHour",9
"201","Panama Canal",1
"202","Paul Hicks",1
"203","Performance Coaching",1
"204","Perimeter Institute for Theoretical Physics",3
"205","Periodic Videos",3
"206","Permaculturenews",1
"207","Peter Zachar",1
"208","PierceCollegeDist11",1
"209","Plasticized Doc",1
"210","Politics and Prose",2
"211","Poly-glot-a-lot",1
"212","PolyMatter",1
"213","PowerfulJRE",18
"214","Prairie Public",1
"215","Prince Ea",1
"216","Principles by Ray Dalio",1
"217","Professor Dave Explains",2
"218","Public Health Collaboration",1
"219","Quantum Gravity Research",2
"220","RT Documentary",1
"221","ReaganFoundation",5
"222","Real Crusades History",1
"223","Real Royalty",1
"224","Real Stories",1
"225","RealLifeLore",2
"226","ReasonTV",2
"227","Reel Truth Science Documentaries",2
"228","Republic World",1
"229","Rive Monsters 7",1
"230","SBS Dateline",4
"231","SMIT Salvage | Towage",1
"232","Saint Louis Chess Club",1
"233","Saint-Hubert",1
"234","Salt Lake City",1
"235","SandRhoman History",3
