"","channel","V1","N","news_source"
"1","92nd Street Y",1,2,NA
"2","ABC News",2,6,"ABC News"
"3","ABC News In-depth",3,3,NA
"4","ABC Science",4,1,NA
"5","ABP NEWS",5,1,NA
"6","ATOM",6,1,NA
"7","Absolute History",7,1,NA
"8","After Skool",8,2,NA
"9","Agatan Foundation",9,1,NA
"10","Al Jazeera Arabic قناة الجزيرة",10,8,NA
"11","Al Jazeera English",11,33,NA
"12","AlArabiya العربية",12,1,NA
"13","AlHadath الحدث",13,1,NA
"14","All Hands",14,1,NA
"15","Alltime10s",15,1,NA
"16","Alux.com",16,1,NA
"17","American Museum of Natural History",17,1,NA
"18","Andrew DC TV",18,1,NA
"19","Anglophenia",19,1,NA
"20","Aramco",20,1,NA
"21","AsapSCIENCE",21,9,NA
"22","Asian Boss",22,1,NA
"23","BBC News",23,2,"BBC News"
"24","BBC News Africa",24,1,NA
"25","BBC Newsnight",25,2,NA
"26","Back Intelligence",26,1,NA
"27","BePure - Ben Warren",27,1,NA
"28","BeckmanInstitute",28,1,NA
"29","Belfer Center",29,1,NA
"30","Ben Sullins",30,1,NA
"31","Best of It's Okay To Be Smart!",31,2,NA
"32","Better Than Yesterday",32,7,NA
"33","Big Think",33,1,"Big Think"
"34","Bloomberg",34,6,"Bloomberg"
"35","Brew",35,4,NA
"36","Business Insider",36,2,"Business Insider"
"37","BuzzFeed Multiplayer",37,14,NA
"38","BuzzFeed UK",38,1,NA
"39","BuzzFeed Unsolved Network",39,1,NA
"40","C-SPAN",40,1,NA
"41","CBC News",41,4,"CBC News"
"42","CBC News: The National",42,2,NA
"43","CBN News",43,9,NA
"44","CBS",44,1,NA
"45","CBS News",45,8,"CBS News"
"46","CGTN",46,1,NA
"47","CMX",47,1,NA
"48","CNA",48,6,NA
"49","CNA Insider",49,1,NA
"50","CNBC",50,11,"CNBC"
"51","CNBC Television",51,2,NA
"52","CNN",52,8,"CNN"
"53","CNN-News18",53,1,NA
"54","CUNYQueensborough",54,1,NA
"55","Cambridge University",55,1,NA
"56","CaspianReport",56,1,NA
"57","Cerebralfire",57,1,NA
"58","Channel 4 News",58,1,"Channel 4 News"
"59","Channels Television",59,1,NA
"60","Chesapeake Urology",60,1,NA
"61","ChessNetwork",61,1,NA
"62","Chicago Humanities Festival",62,2,NA
"63","China Uncensored",63,1,NA
"64","China in Focus - NTD",64,1,NA
"65","Choose Your Boat",65,1,NA
"66","Chromosome8",66,1,NA
"67","Closer To Truth",67,1,NA
"68","Commonwealth Club",68,1,NA
"69","Compiler Revolt",69,1,NA
"70","Conversations That Matter",70,1,NA
"71","Corporals Corner",71,1,NA
"72","DDPmeetings",72,6,NA
"73","DTTV - Science Answers",73,1,NA
"74","DW Documentary",74,21,NA
"75","Dad Builds a House",75,1,NA
"76","Daniel Halsey",76,1,NA
"77","Derek Van Schaik",77,1,NA
"78","Diet Doctor",78,1,NA
"79","Dig And Delve",79,1,NA
"80","Digiday",80,1,NA
"81","Discover",81,1,NA
"82","Doctor Mike Hansen",82,2,NA
"83","Documentary Base",83,1,NA
"84","Documentary House 2.0",84,1,NA
"85","Dreksler Astral",85,1,NA
"86","Drew Durnil",86,1,NA
"87","ECHO Inc.",87,1,NA
"88","Earth Titan",88,1,NA
"89","EatSleepCruise.com",89,1,NA
"90","EdChoice",90,1,NA
"91","English with Lucy",91,4,NA
"92","Epic History TV",92,7,NA
"93","European Space Agency, ESA",93,2,NA
"94","Evan Carmichael",94,2,NA
"95","Everyday Astronaut",95,2,NA
"96","Eyewitness News ABC7NY",96,1,NA
"97","FLORB",97,1,NA
"98","FOCLOnline",98,1,NA
"99","FORA.tv",99,1,NA
"100","FOX 10 Phoenix",100,1,NA
"101","FOX31 Denver",101,1,NA
"102","Fall of Civilizations",102,4,NA
"103","Fire of Learning",103,4,NA
"104","Flagey",104,1,NA
"105","Flash Point History",105,6,NA
"106","Fondation Mérieux",106,1,NA
"107","Forces TV",107,1,NA
"108","Foreign Policy Association",108,3,NA
"109","Fox Business",109,1,"Fox Business"
"110","Fox News",110,6,"Fox News"
"111","Friends of Science",111,1,"Friends of Science"
"112","GWPF",112,1,NA
"113","General Knowledge",113,1,NA
"114","Geography Now",114,1,NA
"115","Global News",115,3,"Global News"
"116","Great Big Story",116,1,NA
"117","Harvard Law School",117,1,NA
"118","Harvard Semitic Museum",118,1,NA
"119","Harvard University",119,1,NA
"120","HinduismTodayVideos",120,3,NA
"121","Historia Civilis",121,1,NA
"122","History Matters",122,16,NA
"123","History Time",123,4,NA
"124","History With Hilbert",124,10,NA
"125","HistoryMarche",125,2,NA
"126","HomeSteadHow",126,1,NA
"127","HooverInstitution",127,36,NA
"128","Horizon",128,1,NA
"129","How To Academy",129,2,NA
"130","How Your Body Works!",130,2,NA
"131","Huckabee",131,2,NA
"132","I Need More Space",132,1,NA
"133","Imperial College London",133,3,NA
"134","Independent Institute",134,1,NA
"135","Insight SBS",135,6,NA
"136","Institute of Public Affairs",136,2,NA
"137","Intelligence Squared",137,1,NA
"138","Invicta",138,1,NA
"139","It's Okay To Be Smart",139,14,NA
"140","JFK Library",140,1,NA
"141","Jack Rickard",141,3,NA
"142","Jason Fung",142,1,NA
"143","John Nord",143,1,NA
"144","Journeyman Pictures",144,3,NA
"145","Just The News",145,1,NA
"146","KING 5",146,1,NA
"147","KISSCaltech",147,1,NA
