title,channel,genre,id,key
How I Tricked My Brain To Like Doing Hard Things (dopamine detox),Better Than Yesterday,Education,9QiE-M1LrZk,8
North Korea - All the dictator's men | DW Documentary,DW Documentary,Education,JmqV2vIXpUY,7
The surprising habits of original thinkers | Adam Grant,TED,People & Blogs,fxbCHn6gE3U,7
Strange answers to the psychopath test | Jon Ronson,TED,People & Blogs,xYemnKEKx0c,5
Inside the mind of a master procrastinator | Tim Urban,TED,People & Blogs,arj7oStGLkU,5
How To Fix Your Sleep Schedule - Reset Your Sleep Pattern (animated),Better Than Yesterday,Education,iMfsa7ntJZE,4
"The Bizarre Behavior of Rotating Bodies, Explained",Veritasium,Education,1VPfZ_XzisU,4
The Shocking Case Of O.J. Simpson,BuzzFeed Multiplayer,People & Blogs,YLmDE_JYUNU,4
Why You Can't FOCUS - And How To Fix That,Better Than Yesterday,Education,52nqjrCs57s,4
Life in North Korea | DW Documentary,DW Documentary,Education,StjIv33zJ9c,4
"Who are you, really? The puzzle of personality | Brian Little",TED,Science & Technology,qYvXk_bqlBk,4
"Why Are 96,000,000 Black Balls on This Reservoir?",Veritasium,Education,uxPdPpi5W4o,3
Vaccines: Last Week Tonight with John Oliver (HBO),LastWeekTonight,Entertainment,7VG_s2PCH_c,3
How to Talk to Aliens,Mind Field,Science & Technology,xna-kdXZQHQ,3
The Science of Thinking,Veritasium,Education,UBVV8pch1dM,3
Coronavirus VI: Testing: Last Week Tonight with John Oliver (HBO),LastWeekTonight,Entertainment,7rl4c-jr7g0,3
What Marine Recruits Go Through In Boot Camp - Earning The Title - Making Marines on Parris Island,Military Videos,People & Blogs,ywMOVae6FWI,3
How To Fall Asleep In 2 Minutes,AsapSCIENCE,Education,EiYm20F9WXU,3
Can You Swim in Shade Balls?,Veritasium,Education,BZbChKzedEk,3
The Suspicious Assassination of JFK,BuzzFeed Multiplayer,People & Blogs,cDZweMXXY6Y,3
Visiting North Korea | DW Documentary,DW Documentary,Education,reEZn3mJ-Fo,3
What North Koreans Think of America [Full] | ASIAN BOSS,Asian Boss,News & Politics,YXo-Vov_98Y,3
Admit it. Republicans have broken politics.,Vox,News & Politics,mICxKmCjF-4,3
Why every social media site is a dumpster fire,Vox,News & Politics,wZSRxfHMr5s,3
My Video Went Viral. Here's Why,Veritasium,Education,fHsa9DqmId8,3
