pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2020-04-28,39368,240,3228,597,7T6GaDht6do,1.014705882352941,Why No One Cares About Climate Change,2,4,After Skool,1
2020-03-13,949581,452,27797,5428,WXuK6gekU1Y,1.522058823529411,AlphaGo - The Movie | Full Documentary,3,1,DeepMind,1a
2019-01-24,1545001,828,20492,8545,cUTMhmVh1qs,1.014705882352941,DeepMind StarCraft II Demonstration,2,2,DeepMind,1aa
2019-11-18,249861,833,3474,2029,nbiVbd_CEIA,0.50735294117647,AlphaStar vs Serral - Game 1,1,1,ArtosisTV,1aaa
2020-03-13,949581,452,27797,5428,WXuK6gekU1Y,1.522058823529411,AlphaGo - The Movie | Full Documentary,3,1,DeepMind,1aab
2018-11-04,2196470,771,13331,6445,h0UBfmOJYO4,0.50735294117647,Stats vs Serral PvZ - Grand Final - 2018 WCS Global Finals - StarCraft II,1,1,StarCraft Esports,1aac
2019-02-05,33100,16,344,9816,TswyyjybUjQ,0.50735294117647,"🤖 AlphaStar, l'IA qui botte du pro gamer 🤖",1,1,OG Starcraft II Replays FR,1aad
2019-12-20,1608937,1324,32104,3000,hIXhnWUmMvw,1.522058823529411,Shoshana Zuboff sur le capitalisme de surveillance | VPRO Documentaire,3,2,Vpro Documentaire,1ab
2013-11-04,1467781,523,11463,3030,kFQJNeQDDHA,0.50735294117647,Le code de Wall Street - VPRO Documentaire - 2013,1,1,Vpro Documentaire,1aba
2019-09-17,1895312,835,19226,5403,Abz3Ab9HhaQ,1.522058823529411,Ces financiers qui dirigent le monde - BlackRock | ARTE,3,1,ARTE,1abb
2019-03-01,65549,43,1118,2799,WBFoV6jn79c,0.50735294117647,Vivons déconnectés! - VPRO Documentaire,1,1,Vpro Documentaire,1abc
2019-11-27,10815268,17033,120885,2546,JHDkALRz5Rk,0.50735294117647,How poor people survive in the USA | DW Documentary,1,1,DW Documentary,1abd
2020-04-21,5030424,-1,-1,6002,Zk11vI-7czE,2.029411764705882,Michael Moore Presents: Planet of the Humans | Full Documentary | Directed by Jeff Gibbs,4,2,Michael Moore,1ac
2020-04-27,314372,770,7111,583,IzQxaUVtmUA,0.50735294117647,The Left 'has attacked' Michael Moore for his 'Planet Human' documentary,1,1,Sky News Australia,1aca
2019-09-17,1895312,835,19226,5403,Abz3Ab9HhaQ,1.522058823529411,Ces financiers qui dirigent le monde - BlackRock | ARTE,3,1,ARTE,1acb
2020-05-01,1536,42,158,3690,dL0XnbWlwBw,0.50735294117647,Watch Live: New York Governor Andrew Cuomo Delivers Briefing On COVID-19 | TIME,1,1,TIME,1acc
2019-01-04,1790142,5540,44325,1053,N-yALPEpV4w,1.522058823529411,Why renewables can’t save the planet | Michael Shellenberger | TEDxDanubia,3,1,TEDx Talks,1acd
2013-09-22,15561820,6897,260547,1860,PHe0bXAIuk0,3.551470588235294,How The Economic Machine Works by Ray Dalio,7,2,Principles by Ray Dalio,1ad
2018-05-21,4996417,3014,66376,1727,B9XGUpQZY38,0.50735294117647,Principles For Success by Ray Dalio (In 30 Minutes),1,1,Principles by Ray Dalio,1ada
2019-01-08,846018,367,9116,3976,Y1OpbDWp8KY,1.014705882352941,Principles for Success from Ray Dalio: Founder of the World’s Largest Hedge Fund,2,1,Summit,1adb
2020-04-15,506039,581,5983,2778,WA1Ji-Hj1qo,0.50735294117647,Ray Dalio on the Economic Impact of the Coronavirus Crisis,1,1,Bloomberg Markets and Finance,1adc
2015-01-22,1910050,369,23773,1860,npoNbXXS4oQ,0.50735294117647,"Cómo funciona la máquina económica, por Ray Dalio",1,1,Principles by Ray Dalio,1add
2019-01-04,1790142,5540,44325,1053,N-yALPEpV4w,1.522058823529411,Why renewables can’t save the planet | Michael Shellenberger | TEDxDanubia,3,1,TEDx Talks,1b
2017-11-17,1137716,2181,32994,1229,ciStnd9Y2ak,2.029411764705882,Why I changed my mind about nuclear power | Michael Shellenberger | TEDxBerlin,4,2,TEDx Talks,1ba
2016-11-15,536535,343,9311,1111,tHO1ebNxhVI,0.50735294117647,Making Safe Nuclear Power from Thorium | Thomas Jam Pedersen | TEDxCopenhagen,1,1,TEDx Talks,1baa
2017-01-05,111697,96,1925,1376,mI6IzPCmIW8,0.50735294117647,How Fear of Nuclear Ends | Michael Shellenberger | TEDxCalPoly,1,1,TEDx Talks,1bab
2013-09-06,1104513,588,16518,1455,i-T7tCMUDXU,0.50735294117647,The Fourth Phase of Water: Dr. Gerald Pollack at TEDxGuelphU,1,1,TEDx Talks,1bac
2015-09-16,439395,942,8280,1224,A2aBKnr3Ep4,0.50735294117647,Basic income and other ways to fix capitalism | Federico Pistono | TEDxHaarlem,1,1,TEDx Talks,1bad
2013-10-10,8573607,6149,127540,1286,vuIlsN32WaE,1.522058823529411,The mathematics of weight loss | Ruben Meerman | TEDxQUT (edited version),3,2,TEDx Talks,1bb
2014-11-18,1029767,424,23613,1112,K60xHx836T0,0.50735294117647,Winning The Mental Battle of Physical Fitness and Obesity | Ogie Shaw | TEDxSpokane,1,1,TEDx Talks,1bba
2012-08-30,22054178,8959,222102,1070,hqKafI7Amd8,1.014705882352941,Top hacker shows us how it's done | Pablos Holman | TEDxMidwest,2,1,TEDx Talks,1bbb
2018-03-14,1060360,1231,25396,1076,hutT5j6G-Kw,0.50735294117647,Todo lo que sabes sobre nutrición puede ser mentira. | Aitor Sánchez | TEDxMalagueta,1,1,TEDx Talks,1bbc
2019-05-15,5614961,3980,77393,765,A6Dkt7zyImk,0.50735294117647,Intermittent Fasting: Transformational Technique | Cynthia Thurlow | TEDxGreenville,1,1,TEDx Talks,1bbd
,-1,-1,-1,-1,kybenSq0KPo,1.522058823529411,,3,2,,1bc
2017-01-30,1862506,2986,34694,1558,wtV5ev6813I,1.522058823529411,"Germany: Low Crime, Clean Prisons, Lessons for America | Jeff Rosen | TEDxMountainViewHighSchool",3,2,TEDx Talks,1bd
2014-10-21,3203669,4488,74525,686,VNGFep6rncY,1.522058823529411,Why the majority is always wrong | Paul Rulkens | TEDxMaastricht,3,1,TEDx Talks,1bda
2017-12-20,1933132,3244,58341,1231,SSH5EY-W5oM,0.50735294117647,My descent into America's neo-Nazi movement & how I got out | Christian Picciolini | TEDxMileHigh,1,1,TEDx Talks,1bdb
2012-08-30,22054178,8959,222102,1070,hqKafI7Amd8,1.014705882352941,Top hacker shows us how it's done | Pablos Holman | TEDxMidwest,2,1,TEDx Talks,1bdc
2016-11-08,1242883,1117,34984,932,_98m4Vod6_8,0.50735294117647,Comment apprendre l'allemand m'a enseigné le lien entre les maths et la poésie | Harry Baker | TEDxV,1,1,TEDx Talks,1bdd
2019-04-02,1515898,1375,77297,752,qOZqGUCrje8,0.50735294117647,What Happens When You Only Pursue Pleasure - Alan Watts,1,3,After Skool,1c
2017-11-14,1211004,1228,20356,1369,fxRo8qHjJaw,0.50735294117647,Alan Watts - Most EPIC Speech Of All Time,1,2,MULLIGAN BROTHERS INTERVIEWS,1ca
2015-12-05,5338760,4826,94803,1547,aLg4AV60uWY,1.522058823529411,Alan Watts - Nature of God,3,1,Ambient Life,1caa
2015-01-01,1834926,1920,44148,2425,UygnXqoKrC4,1.014705882352941,The Strangest Secret in the World by Earl Nightingale full 1950,2,1,The Coconut Code,1cab
2020-02-13,2319447,972,33289,7650,taJ7Rb3qgi8,0.50735294117647,528Hz Energy CLEANSE Yourself & Your Home - Heal Old Negative Energies From Your House Frequency,1,1,WOKE NATION,1cac
2018-06-02,178483,136,3065,2478,3MNQXhA-Pso,1.014705882352941,Alan Watts The Art of Attracting Your Soul Mate,2,1,Spiritual Mind,1cad
2015-12-05,5338760,4826,94803,1547,aLg4AV60uWY,1.522058823529411,Alan Watts - Nature of God,3,1,Ambient Life,1cb
2015-11-26,1581731,1003,26160,1639,wAGdinXZjSc,1.014705882352941,Alan Watts - Outwitting the Devil,2,1,Ambient Life,1cba
2018-02-22,1029508,527,21387,2059,c-ErA_acTq8,1.014705882352941,Psychedelica - Psychedelics And Consciousness - S1:Ep1 | Gaia,2,1,Gaia,1cbb
2017-01-30,180921,164,1396,12646,aJMP0BPeKVs,1.014705882352941,The Ultimate Lecture 3 5 Hours   Alan Watts,2,1,Spiritual Mind,1cbc
2016-08-08,1697042,1132,29843,2123,8pcLuwxhhkk,1.014705882352941,Alan Watts - When you're silent it speaks,2,1,Alexander Lewis,1cbd
,-1,-1,-1,-1,4-079YIasck,0.50735294117647,,1,2,,1cc
2018-03-13,1601728,1558,54299,666,Nxn2LlBJDl0,0.50735294117647,Stoned Ape & Fungal Intelligence - Paul Stamets,1,2,After Skool,1cd
2008-05-08,2866093,704,45366,1098,XI5frPV58tY,1.014705882352941,Paul Stamets présente 6 manières de changer le monde avec les champignons,2,1,TED,1cda
2017-11-07,5961476,3289,103385,8029,mPqWstVnRjQ,1.014705882352941,Joe Rogan Experience #1035 - Paul Stamets,2,1,PowerfulJRE,1cdb
2018-07-10,1111823,2057,58205,550,eOUWgtbIhgE,1.014705882352941,La guerre contre la conscience - Graham Hancock,2,1,After Skool,1cdc
2019-08-06,1952346,2213,78391,621,xvzZ56ZbWy8,1.014705882352941,THOTH's PROPHECY read from the Hermetic Texts by Graham Hancock,2,1,After Skool,1cdd
2019-10-15,3844195,7964,71472,1755,Ft1waA3p2_w,2.029411764705882,Nikola Tesla - Limitless Energy & the Pyramids of Egypt,4,1,After Skool,1d
2014-02-04,1909881,868,41029,3171,ecni9SjkWoM,2.029411764705882,Free energy of Tesla. Film (Dubbed into English).,4,2,FILM.UA Group,1da
2019-10-15,3844195,7964,71472,1755,Ft1waA3p2_w,2.029411764705882,Nikola Tesla - Limitless Energy & the Pyramids of Egypt,4,1,After Skool,1daa
2016-09-29,3130672,1389,79192,2270,wxL4ElboiuA,2.029411764705882,The Art of Making a Nixie Tube,4,1,Dalibor Farný,1dab
2019-06-29,2611460,2006,67530,1897,stCxLxBMjYA,0.50735294117647,Une espèce à part (intégrale) | ARTE,1,1,ARTE,1dac
2012-11-18,2396372,932,46746,1119,OI_HFnNTfyU,1.522058823529411,Professor Eric Laithwaite: Magnetic River 1975,3,1,Imperial College London,1dad
2019-09-19,4621144,2596,164929,889,1VPfZ_XzisU,2.5367647058823533,"The Bizarre Behavior of Rotating Bodies, Explained",5,2,Veritasium,1db
2019-10-04,4149508,943,106029,1102,ThwuT3_AG6w,1.014705882352941,Engineering with Origami,2,1,Veritasium,1dba
2019-11-20,3065913,2499,135040,839,K-Fc08X56R0,0.50735294117647,3 Perplexing Physics Problems,1,1,Veritasium,1dbb
2019-02-06,1942681,1018,81641,991,ZQ--scjcAZ4,0.50735294117647,Are Negative Ions Good For You?,1,1,Veritasium,1dbc
2020-01-29,4610161,3600,238534,1119,ovJcsL7vyrk,1.014705882352941,Cette équation va changer la façon dont vous voyez le monde,2,1,Veritasium,1dbd
2020-02-25,1353018,2891,28414,1959,iBF0hP2_nGw,2.5367647058823533,The Lost Ancient Humans of Antarctica,5,2,After Skool,1dc
2019-10-15,3844195,7964,71472,1755,Ft1waA3p2_w,2.029411764705882,Nikola Tesla - Limitless Energy & the Pyramids of Egypt,4,1,After Skool,1dca
2017-08-16,2614451,1783,14526,2926,vJybfmbrOCE,0.50735294117647,The First Human (Evolution Documentary) | Timeline,1,1,Timeline - World History Documentaries,1dcb
2015-11-19,7653812,5491,76758,10915,aDejwCGdUV8,0.50735294117647,Joe Rogan Experience #725 - Graham Hancock & Randall Carlson,1,1,PowerfulJRE,1dcc
2019-12-10,2290893,3136,15724,1827,xDyJkFehDk0,0.50735294117647,How To Levitate | The Edge of Science,1,1,BBC Earth,1dcd
2019-12-11,2224268,3167,75299,672,klXj198vY4A,1.522058823529411,"""It Will Be The End Of Energy Companies"" | The FORBIDDEN Technology of Nikola Tesla",3,2,Be Inspired,1dd
2010-06-16,1075410,359,8360,628,I1IDC8FEIBU,0.50735294117647,How tesla electricity can create wireless power | The Economist,1,1,The Economist,1dda
2015-09-16,8069157,5390,275105,427,zR3Igc3Rhfg,0.50735294117647,To Scale: The Solar System,1,1,To Scale:,1ddb
2019-08-06,7457672,7643,293359,627,azq0S0DKS50,0.50735294117647,Robert Kiyosaki 2019 - The Speech That Broke The Internet!!! KEEP THEM POOR!,1,1,MotivationHub,1ddc
2012-11-18,2396372,932,46746,1119,OI_HFnNTfyU,1.522058823529411,Professor Eric Laithwaite: Magnetic River 1975,3,1,Imperial College London,1ddd
