pubdate,views,dislikes,likes,key,duration,id,mult,title,nb_recommendations,depth,recommendations,channel
2019-10-15,3844195,7964,71472,"['1d', '1daa', '1dca']",1755,Ft1waA3p2_w,2.029411764705882,Nikola Tesla - Limitless Energy & the Pyramids of Egypt,4,1,"['ecni9SjkWoM', '1VPfZ_XzisU', 'iBF0hP2_nGw', 'klXj198vY4A', 'xvzZ56ZbWy8', 'PHe0bXAIuk0', 'mBL9pS6GMdA', 'a19OpQfwB2w', 'wxL4ElboiuA', '9mK93gHFWXs', 'kTXTPe3wahc', 'd83mn1yxCHc', 'OI_HFnNTfyU', 'oYp5XuGYqqY', 'stCxLxBMjYA', 'giQ8xEWjnBs', '0g8lANs6zpQ', 'sNhhvQGsMEc', 'xPmUjobCfhE', 'arj7oStGLkU']",After Skool
2014-10-21,3203669,4488,74525,['1bda'],686,VNGFep6rncY,1.522058823529411,Why the majority is always wrong | Paul Rulkens | TEDxMaastricht,3,1,"['jobYTQTgeUE', '_VB39Jo8mAQ', 'zeAEFEXvcBg', '9vJRopau0g0', 'hqKafI7Amd8', 'luvthTjC0OI', 'PJy8vTu66tE', 'GkLlqobr3PY', 'N-yALPEpV4w', 'MdZAMSyn_As', 'vuIlsN32WaE', 'nVRco_eLjdc', 'UUnRKf2CemA', 'JsC9ZHi79jo', '5MgBikgcWnY', 'esPRsT-lmw8', '4-079YIasck', 'SSH5EY-W5oM', 'LBvHI1awWaI', '3E46oWB4V0s']",TEDx Talks
2019-08-06,7457672,7643,293359,['1ddc'],627,azq0S0DKS50,0.50735294117647,Robert Kiyosaki 2019 - The Speech That Broke The Internet!!! KEEP THEM POOR!,1,1,"['az6NibAUf7Y', 'ftBeTIDv8Vg', 'fM3qRdToXss', 'bQxqIKTO2Ck', 'j1p2PbfNk0c', 'f7V0NELM8BQ', 'N6zqatiur3A', 'QSQsZ7EXWfY', 'TcNpoc-lF0M', 'RT4KI_g0QT4', '_pbdAW2ewLQ', 'yR0B8Y31CIk', 'MdqIJBCRavE', 'klXj198vY4A', 'mBL9pS6GMdA', 'A8vD_XO0vUU', 'sYMOGwtl1vk', 'A2VTw5M-vcY', 'iGh_zhbuJCA']",MotivationHub
2017-01-30,180921,164,1396,['1cbc'],12646,aJMP0BPeKVs,1.014705882352941,The Ultimate Lecture 3 5 Hours   Alan Watts,2,1,"['s5McTV4rv8k', 'PpES4QKAfGw', 'lxFB9YSFyJE', 'plCk1lX-6zU', 'cKVg3UPM_g0', 'doiDgPvJ1F0', 'v7vFOU8e0wU', 'BHynrDx5oDI', 'Ft0fQ1uj3cw', 'JaE1QiYQPog', 'jfNbdINZcBY', 'vF655HgbdGA', '8aUkulXLZ3Q', 'bE6mRYypmJY', 'OAFH_nwqSHQ', 'N74aBER9vpU', 'rnFkOnggkU4', '22kmvNxJCzs', 'Z9NWC4I16ac']",Spiritual Mind
2015-01-01,1834926,1920,44148,['1cab'],2425,UygnXqoKrC4,1.014705882352941,The Strangest Secret in the World by Earl Nightingale full 1950,2,1,"['v7KQsS2kLM4', 'SDkAGkd4NLc', 'hBl0cwyn5GY', '6tbHYvH347A', 'EFhkdzj-x80', 'tbnzAVRZ9Xc', 'EzOdr3pZ83A', 'kyEjDt_-Ee0', '3MvGGjcTEpQ', 'E44kFkyl_Y8', 'XEiYKJGiLtI', '7pDxQPWD3L4', 'az6NibAUf7Y', 'fxRo8qHjJaw', '2AMu-G51yTY', 'uT_GcOGEFsk', '01ZCnCXpG4A', '6cGNcgzWZT8', 'CjOvWYcpRaU', 'B-ieqbSSrnY']",The Coconut Code
2019-01-04,1790142,5540,44325,"['1acd', '1b']",1053,N-yALPEpV4w,1.522058823529411,Why renewables can’t save the planet | Michael Shellenberger | TEDxDanubia,3,1,"['ciStnd9Y2ak', 'vuIlsN32WaE', 'kybenSq0KPo', 'wtV5ev6813I', 'd0yGdNEWdn0', '2VWS_F_UeQI', 'VNGFep6rncY', '3lTvVTnjU5U', '3WMuzhQXJoY', 'HEfpxiUIZPs', 'QZ_NJkpdG2A', 'btF6nKHo2i0', 'vVsXO9brK7M', '_HytJn6uaRk', 'jobYTQTgeUE', '0z03xkwFbw4', 'mI6IzPCmIW8', 'FbqnaoU-3VI', 'gn4bvjMh4vc', 'jX2btaDOBK8']",TEDx Talks
2017-11-14,1211004,1228,20356,['1ca'],1369,fxRo8qHjJaw,0.50735294117647,Alan Watts - Most EPIC Speech Of All Time,1,2,"['aLg4AV60uWY', 'UygnXqoKrC4', 'taJ7Rb3qgi8', '3MNQXhA-Pso', '4JI-HDhzucc', 'OAFH_nwqSHQ', 'iapX9xiDAFY', 'doiDgPvJ1F0', '8pcLuwxhhkk', '_h-FswIACKE', 'GBKpKFD7UCU', 'VmdIH4uPF0Y', 'rZTFfyUnEnc', 'cKVg3UPM_g0', 'kIB2iPhkAH0', 'plCk1lX-6zU', 'YG7Bgxn2Ysw', 's42V8BGBvTk', 'jPpUNAFHgxM']",MULLIGAN BROTHERS INTERVIEWS
2013-10-10,8573607,6149,127540,['1bb'],1286,vuIlsN32WaE,1.522058823529411,The mathematics of weight loss | Ruben Meerman | TEDxQUT (edited version),3,2,"['K60xHx836T0', 'hqKafI7Amd8', 'hutT5j6G-Kw', 'A6Dkt7zyImk', 'VNGFep6rncY', 'JsC9ZHi79jo', '4-079YIasck', 'nM-ySWyID9o', 'lrYx7HaUlMY', 'Fqw-9yMV0sI', '0z03xkwFbw4', 'xp0O2vi8DX4', '2paoNvG5Nmo', 'KTT7i3SKpMQ', 'd0yGdNEWdn0', 'luvthTjC0OI', 'Y6U728AZnV0', 'P3fIZuW9P_M', 'awtmTJW9ic8', 'ZiDfZLJZTGU']",TEDx Talks
2017-11-07,5961476,3289,103385,['1cdb'],8029,mPqWstVnRjQ,1.014705882352941,Joe Rogan Experience #1035 - Paul Stamets,2,1,"['xJ6Ym719urg', 'XI5frPV58tY', 'Ra4522ikFoU', 'efs3QRr8LWw', 'oKiKfAmysrI', 'ycPr5-27vSI', 'OtL1fEEtLaA', 'HM8WDZIhs3M', '-5yh2HcIlkU', '7Dtv8ibI1vk', 'sqsBfhCbMjw', '7MNv4_rTkfU', 'Rxmw9eizOAo', 'tz4CrWE_P0g', 'pwaWilO_Pig', '7agK0nkiZpA', 'WjYYdMNUXF8', 'PhHtBqsGAoA', 'VUDAdOdF6Zg', '04wyGK6k6HE']",PowerfulJRE
2012-11-18,2396372,932,46746,"['1dad', '1ddd']",1119,OI_HFnNTfyU,1.522058823529411,Professor Eric Laithwaite: Magnetic River 1975,3,1,"['oWiYsRi2Dss', 'wxL4ElboiuA', 'OtWVA7_9Rik', 'O7zewtuUM_0', 'XPUuF_dECVI', '0g8lANs6zpQ', '0tJfqMYHaQw', 'f5mA4l6xmGs', 'Ft1waA3p2_w', 'KRgurx00G1o', '0T--WC4D1C0', 'x4im3M9IFcI', '1VPfZ_XzisU', 'a19OpQfwB2w', '6fedjvyRt5w', 'HESOat2iPzU', 'i-T7tCMUDXU', 'xDyJkFehDk0', 'SxqyfB83tSo', 'M86YM6QA4-M']",Imperial College London
