"","channel","genre","title","views","likes","dislikes","description","duration","datePublished","uploadDate","key","channel_url","channel_id","recommendations","id","N.video","N.channel","relevant","media_bias","Bias"
"1","BBC Newsnight","News & Politics","Richard Dawkins on Islam, Jews, science and the burka - BBC Newsnight",1936611,"22,176","2,485","Evan Davis speaks to Richard Dawkins. ** Subscribe to BBC Newsnight http://bbc.in/1iouM30 **","PT8M40S","2015-02-18","2015-02-18",133132,"/channel/UC6o-wWU-v2ClFMwougmK7dA","UC6o-wWU-v2ClFMwougmK7dA",20,"YAV_0s1c2V4",39,16,1,"BBC News","Left-Center"
"2","CNBC International","News & Politics","What would a second wave look like? | CNBC Explains",908464,"12,827","749","Past pandemics have shown that multiple waves of infection are likely and tend to be more severe. Despite warnings from health experts and economists about against easing restrictions too soon — not only to protect lives but also the economy — there is growing opposition against the social distancing measures. CNBC’s Tom Chitty explains.-----Subscribe to us on YouTube: http://cnb.cx/2wuoARMSubscribe to CNBC International TV on YouTube: https://cnb.cx/2NGytpzLike our Facebook page:https://www.facebook.com/cnbcinternat...Follow us on Instagram:https://www.instagram.com/cnbcinterna...Follow us on Twitter:https://twitter.com/CNBCi#CNBC #Coronavirus #Economy","PT4M44S","2020-05-18","2020-05-18",222323,"/channel/UCo7a6riBFJ3tkeHjvkXPn1g","UCo7a6riBFJ3tkeHjvkXPn1g",20,"Hc2kSVBuDns",39,16,1,"CNBC","Left-Center"
"3","Center for Inquiry","Education","Ricky Gervais and Richard Dawkins in Conversation",655300,"12,534","664","Multi-award-winning stand-up comedian, screenwriter, and actor Ricky Gervais was presented with this year’s Richard Dawkins Award, from the Center for Inquiry. CFI campaigns to remove the influence of religion in science education and public policy, and to eliminate the stigma that surrounds atheism and non-belief.The Richard Dawkins Award has been presented annually since 2003. Past winners have included philosopher and cognitive scientist Daniel Dennett, activist and feminist Ayaan Hirsi Ali, and actor and writer Stephen Fry.This event was an unscripted conversation between Gervais and Dawkins, in which everything is on the table and nothing is sacred. They were joined by host, best-selling author and professor of psychology, Richard Wiseman.","PT81M53S","2020-05-11","2020-05-11",113133,"/channel/UCp7LPFmh6pyFpWQY6htER3A","UCp7LPFmh6pyFpWQY6htER3A",20,"b0BC3F0kqtw",42,20,1,"Center for Inquiry","Left-Center"
"4","Center for Inquiry","Education","Stephen Fry and Richard Dawkins in Conversation",1169413,"20,491","803","Stephen Fry and Richard Dawkins, two of the most respected minds in their respective fields, sit together on the CSICon stage to discuss science, religion, politics, and more.The Center for Inquiry is a 501(c)(3) charitable nonprofit organization. CFI’s vision is a world in which evidence, science, and compassion—rather than superstition, pseudoscience, or prejudice—guide public policy.You can join CFI and find out what we do to protect critical thinking and science by visiting: https://centerforinquiry.orgStephen Fry is an English actor, screenwriter, author, playwright, journalist, poet, comedian, television presenter, film director and all round national treasure. Stephen’s new book, Mythos, his unique retelling of the Greek myths, was published in November 2017 and he is currently working on a one man stage show of the book for a first run at the Shaw Festival in Niagara.Richard Dawkins is one of the most respected scientists in the world and an internationally best-selling author. Among his books are The Selfish Gene, The God Delusion, and his autobiography A Brief Candle in the Dark. He is a fellow of the Royal Society and of the Royal Society of Literature.This talk took place at the CSICon 2018 in Las Vegas on October 20, 2018","PT55M11S","2019-02-22","2019-02-22",113331,"/channel/UCp7LPFmh6pyFpWQY6htER3A","UCp7LPFmh6pyFpWQY6htER3A",20,"SYPZwZud_PA",42,20,1,"Center for Inquiry","Left-Center"
"5","Channel 4","Entertainment","GREG DAVIES FREAKS OUT WHEN CHRIS EUBANK TURNS UP!! | 8 Out Of 10 Cats Does Countdown Best Bits Pt 4",5124369,"39,866","809","Watch the new series of 8 Out of 10 Cats Does Countdown every Friday at 9pm on Channel 4Check out the funniest moments from 8 Out Of 10 Cats Does Countdown - part 4!Why not watch ALL of the 8 Out Of 10 Cats Does Countdown episodes for free on All 4? http://www.channel4.com/programmes/8-...","PT15M21S","2018-05-02","2018-05-02",323213,"/channel/UCz1hQ68G3XPVYEBoFDgSjcQ","UCz1hQ68G3XPVYEBoFDgSjcQ",20,"xU-3Zdei1N0",124,20,1,"News Channel 4","Left-Center"
"6","Channel 4","Entertainment","""""What's The F*****g Point?!"""" | When Panel Shows Break Down | Best Of 8 Out Of 10 Cats Does Countdown",11895805,"70,445","2,278","Watch the new series of 8 Out of 10 Cats Does Countdown every Friday at 9pm on Channel 4Check out the funniest moments from 8 Out Of 10 Cats Does Countdown - part 1!Watch the series on All 4: http://www.channel4.com/programmes/8-...","PT11M33S","2017-12-09","2017-12-09",321232,"/channel/UCz1hQ68G3XPVYEBoFDgSjcQ","UCz1hQ68G3XPVYEBoFDgSjcQ",19,"mBfaXBqq_k8",124,20,1,"News Channel 4","Left-Center"
"7","Channel 4","Entertainment","ALL TIME FUNNIEST MOMENTS from 8 YEARS of 8 Out of 10 Cats Does Countdown!!",3730500,"32,685","876","To celebrate 8 years of 8 Out of 10 Cats Does Countdown, here's the ultimate funniest moments mash-up! Featuring Jimmy Carr, Jon Richardson, Sean Lock, Joe Wilkinson, Roisin Conaty, Greg Davies, Aisling Bea, Johnny Vegas, Richard Ayoade, Miles Jupp, Lee Mack and more!Watch FULL EPISODES on All 4: https://bit.ly/2vQu7RmSubscribe to Channel 4 for more: https://bit.ly/2v2I6SY#CatsCountdown #JimmyCarr #Channel4 #SeanLock #JonRichardson #JoeWilkinson","PT38M54S","2020-01-04","2020-01-04",111223,"/channel/UCz1hQ68G3XPVYEBoFDgSjcQ","UCz1hQ68G3XPVYEBoFDgSjcQ",20,"1Gdd2x9AIJw",124,20,1,"News Channel 4","Left-Center"
"8","Channel 4","Entertainment","""""You've Had WORSE Things Spat at You?!"""" Best of 8 Out of 10 Cats Does Countdown Series 18 | Part 2",2346915,"18,625","525","Jimmy Carr is joined by Sean Lock, Miles Jupp, Joe Wilkinson, Katherine Ryan, Alan Carr and more in the funniest moments from series 18 of 8 Out of 10 Cats Does Countdown!Subscribe to Channel 4 for more: https://bit.ly/2v2I6SYWatch FULL EPISODES on All 4: https://bit.ly/2vQu7Rm#JimmyCarr #SeanLock #8OutOf10CatsDoesCountdown #Channel4 #CatsCountdown","PT17M20S","2019-09-21","2019-09-21",122323,"/channel/UCz1hQ68G3XPVYEBoFDgSjcQ","UCz1hQ68G3XPVYEBoFDgSjcQ",20,"PnCL4_lhh7M",124,20,1,"News Channel 4","Left-Center"
"9","Channel 4","Entertainment","The FUNNIEST STORIES! Told by Joe Lycett, James Acaster & More | 8 Out of 10 Cats Does Countdown",1372611,"13,988","315","The funniest stories told by Joe Lycett, James Acaster, Sean Lock, Katherine Ryan, Jack Whitehall and more!Watch FULL EPISODES on All 4: https://bit.ly/2vQu7RmSubscribe to Channel 4 for more: https://bit.ly/2v2I6SY#CatsCountdown #JoeLycett #JamesAcaster #SeanLock #JimmyCarr #Channel4","PT15M26S","2019-12-21","2019-12-21",122122,"/channel/UCz1hQ68G3XPVYEBoFDgSjcQ","UCz1hQ68G3XPVYEBoFDgSjcQ",18,"pTRwMUfAHng",124,20,1,"News Channel 4","Left-Center"
"10","Channel 4","Entertainment","Everyone Completely Loses It After Jimmy's Unnecessary Joke! | 8 Out Of 10 Cats Does Countdown",16308954,"80,597","4,542","Watch the new series of 8 Out of 10 Cats Does Countdown every Friday at 9pm on Channel 4Joe Wilkinson, David Mitchell, Roisin Conaty, Jon Richardson, Tom Allen, Rachel Riley and Susie Dent completely lose it after Jimmy Carr's joke about Susie and glory holes!http://www.channel4.com/programmes/8-...","PT4M13S","2017-02-13","2017-02-13",123133,"/channel/UCz1hQ68G3XPVYEBoFDgSjcQ","UCz1hQ68G3XPVYEBoFDgSjcQ",20,"pHTTQ_gI76k",124,20,1,"News Channel 4","Left-Center"
