"","channel","N"
"1","101Facts",3
"2","60 Minutes Australia",1
"3","92nd Street Y",2
"4","BBC Newsnight",1
"5","Barton Nod",1
"6","Best of It's Okay To Be Smart!",2
"7","BiolaUniversity",1
"8","CNBC International",1
"9","Center for Inquiry",2
"10","CenturaHealth",1
"11","Channel 4",6
"12","Davor Pavlic",2
"13","DazzleOnTv",1
"14","Digiday",1
"15","Doctor Mike",4
"16","Filmmaker IQ",4
"17","Fire Films",1
"18","Free Thinker",1
"19","GETSLOSSED",1
"20","Glad You Asked",8
"21","Global News",1
"22","House M.D.",4
"23","How Your Body Works!",3
"24","It's Okay To Be Smart",6
"25","Iz Harris",1
"26","Johnny Harris",1
"27","KTLA 5",1
"28","LastWeekTonight",35
"29","LaughPlanet",14
"30","Lewis Howes",1
"31","MSNBC",4
"32","Mark Bowden",1
"33","Motivation Madness",1
"34","Mr.President 420",1
"35","MsMojo",1
"36","Ninja Nerd Lectures",3
"37","OverSimplified",1
"38","OxfordUnion",5
"39","Patriot Act",7
"40","RT America",2
"41","RealLifeLore",1
"42","Rep. Adam Schiff",1
"43","Rob Logan",1
"44","SMHCS",1
"45","SapientiVerbum",1
"46","Sarah Millican",1
"47","Steve TV Show",1
"48","TED",4
"49","TEDx Talks",4
"50","That Atheist Guy",1
"51","The Democrats",1
"52","The Economist",1
"53","The Late Late Show with James Corden",13
"54","The Late Show with Stephen Colbert",27
"55","The Obama White House",1
"56","The Trigger Mechanism",1
"57","Tony Robbins",1
"58","UK Panel & TV Shows",1
"59","United States",1
"60","UnityPoint Health - Cedar Rapids",1
"61","Vox",14
"62","Vsauce",1
"63","Wall Street Journal",3
"64","Washington D. C.",1
"65","WatchMojo.com",3
"66","WonderWhy",6
"67","euronews (in English)",1
"68","ferise1",1
"69","mistervincenoir",1
"70","pcrobec",1
"71","the hulk",1
"72","verono94",1
