"","channel","title","Bias"
"1","7NEWS","American riots update: Los Angeles declares state of emergency | 7NEWS","Right-Center"
"2","92nd Street Y","Dr. Neil deGrasse Tyson: Pluto's Place in the Universe","Left"
"3","92nd Street Y","Oh, Hello: Nick Kroll and John Mulaney as Gil Faizon and George St. Geegland","Left"
"4","92nd Street Y","A mind-expanding tour of the cosmos with Neil deGrasse Tyson and Robert Krulwich","Left"
"5","92nd Street Y","Science and Communication: Alan Alda in Conversation with Neil deGrasse Tyson","Left"
"6","92nd Street Y","Christopher Hitchens and Rabbi Shmuley Boteach Debate on God","Left"
"7","92nd Street Y","Neil DeGrasse Tyson: Blackholes and Other Cosmic Quandries","Left"
"8","92nd Street Y","Fred Armisen, Bill Hader and Seth Meyers talk about their hit show, Documentary Now! (Full Talk)","Left"
"9","92nd Street Y","Nell Scovell in Conversation With John Oliver","Left"
"10","ABC News","Sacramento City Council meeting gets heated after Monday protests | RAW, Explicit language","Left-Center"
"11","ABC News","Watch the Latest News Headlines and Live Events — ABC News Live","Left-Center"
"12","ABC News","Ex-police officer charged in George Floyd’s death faces judge | WNT","Left-Center"
"13","ABC News","Man jailed at age 11 for a murder he says he didn't commit speaks out","Left-Center"
"14","ABC News","Babysitter sentenced to 15 years in prison","Left-Center"
"15","ABC News","George Floyd’s death reopens old wounds of similar police-involved incidents | Nightline","Left-Center"
"16","ABC News","Slender Man Stabbing Survivor's Remarkable Recovery | Nightline | ABC News","Left-Center"
"17","ABC News","Remembering George Floyd and his ties to Florida","Left-Center"
"18","ABC News","Plea deal falls apart for ex-officer involved in George Floyd’s death | WNT","Left-Center"
"19","ABC News","Hasan Minhaj full White House Correspondents Dinner speech","Left-Center"
"20","ABC News","11-year-old arrested for his pregnant soon-to-be stepmother's murder: 20/20 Oct 19 Pt 1","Left-Center"
"21","ABC News","Jordan Peterson Destroys Q&A | 25 February 2019","Left-Center"
"22","ABC News","Transgender Parents Who Conceived Two Sons Naturally | 20/20 | ABC News","Left-Center"
"23","ABC News","Obama White House Correspondents Dinner 2016 | President Obama's FULL SPEECH","Left-Center"
"24","ABC11 Eyewitness News","NYC protesters call cops on 2 men from Ohio armed with weapons","Left-Center"
"25","ABC11 Eyewitness News","Protesters in Smithtown met by large group of counter-protesters","Left-Center"
"26","AFP News Agency","London: Man disrupts Black Lives Matter demo, kicks away protest signs at Churchill statue | AFP","Left-Center"
