"","binary","title","description","channel","id"
"1",1,"American riots update: Los Angeles declares state of emergency | 7NEWS","Los Angeles has declared a state of emergency and called in National Guard troops following a fourth day of violent protests in the city, which saw demonstrators clash repeatedly with officers, torch police vehicles and loot businesses.Subscribe to 7NEWS for the latest video » https://7news.link/YTSubscribeConnect with 7NEWS onlineVisit » https://7news.com.auFacebook » https://www.facebook.com/7NewsAustraliaTwitter » https://twitter.com/7NewsAustraliaInstagram » https://www.instagram.com/7newsaustra... 7NEWS combines the trusted and powerful news brands including Sunrise, The Morning Show, The Daily Edition, The Latest, and 7NEWS.com.au, delivering unique, engaging and continuous coverage on the issues that matter most to Australians. Watch 7NEWS nightly at 6pm and weekdays at 11:30am and 4pm on Channel 7 and 7plus.#BreakingNews #LosAngeles #7NEWS","7NEWS","ZlU8OOUMq94"
"2",0,"Dr. Neil deGrasse Tyson: Pluto's Place in the Universe","http://92Y.org/Talks","92nd Street Y","e98L6mftkNU"
"3",0,"Oh, Hello: Nick Kroll and John Mulaney as Gil Faizon and George St. Geegland","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateOh, Hello on Broadway came to 92Y with comedians Nick Kroll and John Mulaney as Gil Faizon and George St. Geegland — appearing in character for an evening of conversation moderated by John Oliver. Recorded June 13, 2017 at 92nd Street Y. Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org#ohhello #johnmulaney #nickkroll","92nd Street Y","pUgwTkDhgbo"
"4",0,"A mind-expanding tour of the cosmos with Neil deGrasse Tyson and Robert Krulwich","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateEver wonder about the our vast, mysterious universe — but don’t have time to earn that PhD? Superstar scientist Neil deGrasse Tyson has come to the rescue with Astrophysics for People in a Hurry, the brilliantly witty guide you’ve been waiting for. Recorded May 3, 2017 at 92nd Street Y. Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org","92nd Street Y","AyAK3QBnMGQ"
"5",0,"Science and Communication: Alan Alda in Conversation with Neil deGrasse Tyson","What does it mean to be a true communicator? Two of the best, Academy Award-nominated actor Alan Alda and astrophysicist and science communicator Neil deGrasse Tyson discuss Alda’s new book, If I Understood You, Would I Have This Look on My Face? It’s a guide to improving the way we relate to each other using improv games, storytelling, acting, empathy, science and our own innate abilities.Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org","92nd Street Y","syIb73RQqVU"
"6",0,"Christopher Hitchens and Rabbi Shmuley Boteach Debate on God","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateFull version of the Christopher Hitchens and Rabbi Shmuley Boteach Debate on God at New York's 92nd Street Y. Recorded January 30, 2008 at 92nd Street Y.Click Here to subscribe for more: http://youtube.com/subscription_cente...Follow us on Facebook: http://facebook.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/","92nd Street Y","vnMYL8sF7bQ"
"7",0,"Neil DeGrasse Tyson: Blackholes and Other Cosmic Quandries","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateRecorded February 1, 2007 at 92nd Street Y.Subscribe for more videos like this: http://bit.ly/1GpwawVFacebook: http://facebook.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/Instagram: http://Instagram.com/92ndStreetYOn Demand: http://www.92yondemand.org","92nd Street Y","rYzBxo3hbYQ"
"8",0,"Fred Armisen, Bill Hader and Seth Meyers talk about their hit show, Documentary Now! (Full Talk)","Documentary Now! with Fred Armisen, Bill Hader and Seth Meyers, moderated by Janice Min in partnership with The Hollywood Reporter’s TV Talks series. Documentary Now! is IFC’s hit series co-created by the dream team of Seth Meyers, Fred Armisen, Bill Hader and Rhys Thomas and executive produced by Armisen, Hader, Meyers, Thomas, Lorne Michaels, Andrew Singer and Alex Bueno. Season 2 debuts this September, hosted by Helen Mirren and featuring hilarious spins on classic docs ranging from Stop Making Sense to The War Room. Don’t miss the Season 2 premiere preview and the three of the brilliant comic minds behind the show — nominated for a 2016 Emmy for outstanding variety sketch series — when they stop by 92Y to discuss this delightfully off-the-wall project. The Mayor's Office of Media and Entertainment is co-presenting this panel with the 92nd Street Y as part of The Hollywood Reporter’s TV Talks series in recognition of the Mayor’s Office of Film, Theatre and Broadcasting’s milestone 50th anniversary.Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/Instagram: http://Instagram.com/92ndStreetYVine: https://vine.co/92YOn Demand: http://www.92yondemand.org","92nd Street Y","7giM-dKSOdQ"
"9",0,"Nell Scovell in Conversation With John Oliver","Comedy writer, producer and director Nell Scovell sits down with John Oliver, host of HBO’s Last Week Tonight, to discuss her new memoir — Just the Funny Parts: … And a Few Hard Truths About Sneaking Into the Hollywood Boys’ Club.Recorded on March 20, 2018 at 92nd Street Y.Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org","92nd Street Y","r5xlwkvHIF8"
"10",0,"Sacramento City Council meeting gets heated after Monday protests | RAW, Explicit language","WARNING: Video may contain explicit language.There were plenty of heated exchanges following a Monday protest that resulted in the arrests of 84 people. Leadership heard nearly four hours of public comment from many people addressing the response that night.Subscribe at: https://goo.gl/vai8EuFind ABC10 online: https://www.abc10.com/Sign up for our newsletter: https://www.abc10.com/email Stream ABC10 on Roku: https://channelstore.roku.com/details...Stream ABC10 on Amazon Fire: https://www.amazon.com/Gannett-Broadc...Stream ABC10 on AppleTV: https://itunes.apple.com/us/app/abc10...Like ABC10 on Facebook: https://www.facebook.com/ABC10tv/ Like ABC10 on Instagram: https://www.instagram.com/abc10tvFollow ABC10 on Twitter: https://twitter.com/ABC10","ABC News","kPaWcDGMTYU"
