title,genre,views,likes,dislikes,description,duration,datePublished,uploadDate,key,channel,channel_url,channel_id,recommendations,id,channelDescription,viewCount,commentCount,subscriberCount,hiddenSubscriberCount,videoCount
Joe Rogan Experience #1463 - Tom Green,People & Blogs,2861180,"39,246","2,490","Tom Green is a comedian, actor, filmmaker, and talk show host. His podcast ""The Tom Green Podcast"" is available via Apple Podcasts and Spotify.  @Tom Green ​",PT204M46S,2020-04-24,2020-04-24,121141,PowerfulJRE,/channel/UCzQUP1qoWDoEbmsQxvdjxgQ,UCzQUP1qoWDoEbmsQxvdjxgQ,20,CzqONHtFiHQ,The Joe Rogan Experience podcast,2128849308,0,8190000,False,2375
Being offline is the new luxury - VPRO documentary,News & Politics,66528,"1,137",43,"When have you been offline for the last time? Did you choose yourself to be offline or was internet not working? To be offline seems more and more to become a choice that we see as a luxury. Is being offline the new luxury or is it still a luxury to be online for some people?Digital networks are becoming denser and denser. We are online all the time everywhere and they are fewer places where we really can be alone. Where and when can we still disconnect? To be offline has become a luxury. Will we permanently use data or do we take back control over our connectivity? In this documentary we go on a journey to the edge of internet. To be online all the time and everywhere. It sounds great, but it has its drawbacks. As digital networks are closing in, there are fewer places to be really on your own. Being offline is becoming a luxury. Where can you be offline? We are connected to the internet even in our bedrooms. It’s the ambition of companies like Google and Facebook to connect the entire world, so that we can be online all the time and everywhere. Google has sent balloons up into the skies over Sri Lanka to provide the island state with free Wi-Fi for a month. On the ground, more and more devices communicate through the so-called Internet-of-Things. We are going to be ‘glass citizens’ in a transparent house, connected for life to a wireless intravenous drip and traced anywhere via our smartphones. What does it mean? A small but growing group of people is saying goodbye to lifetime connectability. They are researching ways to keep control. What can we learn from them about life in the digital era? With: Paul Frissen (political scientist), Sherry Turkle (psychologist MIT), Evgeny Morozov (internet critic) and Birgitta Jonsdottir (hacker & founder Pirate Party)Original title: Offline als luxeOriginally broadcasted by VPRO in 2016.© VPRO Backlight May 2016On VPRO broadcast you will find nonfiction videos with English subtitles, French subtitles and Spanish subtitles, such as documentaries, short interviews and documentary series.VPRO Documentary publishes one new subtitled documentary about current affairs, finance, sustainability, climate change or politics every week. We research subjects like politics, world economy, society and science with experts and try to grasp the essence of prominent trends and developments.Subscribe to our channel for great, subtitled, recent documentaries.Visit additional youtube channels bij VPRO broadcast:VPRO Broadcast, all international VPRO programs: https://www.youtube.com/VPRObroadcastVPRO DOK, German only documentaries: https://www.youtube.com/channel/UCBi0...VPRO Metropolis, remarkable stories from all over the world: https://www.youtube.com/user/VPROmetr...VPRO World Stories, the travel series of VPRO: https://www.youtube.com/VPROworldstoriesVPRO Extra, additional footage and one off's: https://www.youtube.com/channel/UCTLr...www.VPRObroadcast.comCredits:Director: Bregtje van der HaakResearch: Tijl van Hillekom, Wiesje Kuijpers, Marijntje DentersProducer: Jeroen BeumerCommissioning Editors: Marije Meerman, Doke RomeijnEnglish, French and Spanish subtitles: Ericsson.French and Spanish subtitles are co-funded by European Union.",PT46M39S,2019-03-01,2019-03-01,112232,vpro documentary,/channel/UC9sXw4ZdPEIp6bYGvLW-_iA,UC9sXw4ZdPEIp6bYGvLW-_iA,19,WBFoV6jn79c,"VPRO Documentary publishes a new subtitled documentary every week, investigating current affairs, finance, sustainability, climate change or politics. Subscribe to our channel for great subtitled recent documentaries. 
The French and Spanish subtitles are co-funded by the EU and produced in collaboration with Ericsson. 
For our Dutch fans: De VPRO is vanwege de nederlandse wetgeving genoodzaakt deze video te blokkeren binnen Nederland. Afleveringen van VPRO Tegenlicht zijn te bekijken op http://www.vpro.nl/programmas/tegenlicht.html.
VPRO Broadcast: https://www.youtube.com/vprobroadcast
VPRO Metropolis: https://www.youtube.com/vprometropolis
VPRO World Stories: https://www.youtube.com/vproworldstories
VPRO Extra: https://www.youtube.com/vproextra
For more information on VPRO: www.vprobroadcast.com",22640360,0,186000,False,241
Hallucinogen Honey Hunters - Hunting Mad Honey - Full Documentary,Entertainment,10173339,"71,816","3,280","A tribe of Nepal hunt a wild honey with natural psychoactive properties (""mad honey""), they use it as a medicine and a soft drug. Dipak, my translator is overdosing and falls unconscious.▶FOLLOW ME◀Facebook:  https://www.facebook.com/raphaeltreza...Instagram: https://www.instagram.com/raphaeltreza/Website     https://www.raphaeltreza.com▶SUPPORT ME◀Donate     https://www.raphaeltreza.com/donatePatreon     https://www.patreon.com/raphaeltreza▶MORE CONTENT◀Cobra Gypsies     https://youtu.be/aNUYGRn3W9QBorneo Death Blow   https://youtu.be/TiQBTesZUJQ▶MUSIC◀Spotify https://open.spotify.com/artist/3O3iv...Soundcloud  https://soundcloud.com/treza/hallucin...",PT26M39S,2013-09-29,2013-09-29,213432,Raphael Treza,/channel/UCObIuA3fISxZ0Ptnr-IEOHA,UCObIuA3fISxZ0Ptnr-IEOHA,19,Y_b2i_FvYPw,"Raphael Treza, filmmaker and composer

- Support me, Donate:   https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=N6FZ4DPH4XKRE
- Follow me: www.facebook.com/raphaeltrezafilm
- listen to the songs:  www.soundcloud.com/treza",44824878,0,179000,False,37
"The National for Wednesday, April 29 — Floods devastate Fort McMurray; Military helicopter missing",News & Politics,81317,274,58,"Welcome to The National, the flagship nightly newscast of CBC News.»»» Subscribe to The National to watch more videos here:   https://www.youtube.com/user/CBCTheNa...Voice your opinion and connect with us online:Facebook | https://www.facebook.com/thenationalTwitter | https://twitter.com/CBCTheNationalInstagram | https://www.instagram.com/cbcthenational»»» »»» »»» »»» »»» The National is CBC Television's flagship news program, featuring the day's top stories with in-depth and original journalism.",PT45M34S,2020-04-29,2020-04-29,221311,CBC News: The National,/channel/UCKjU3KzdbJE1EFcHVqXC3_g,UCKjU3KzdbJE1EFcHVqXC3_g,20,UuiBlj2a4b4,"The National is the flagship news and current affairs program of the Canadian Broadcasting Corporation, Canada's public broadcaster.",379318793,0,743000,False,14847
Finding Atlantis - Full Science Documentary,Film & Animation,1509766,"8,409",815,"Atlantis. The name echoes through the ages like a magic spell. Did it really exist? Where is it? Are there any remaining artifacts that can tell us what it was really like? Who were the Atlanteans? Is it all myth, or is it historical fact?🎞 🍿🎥📽🎬 Watch more free movies on Syndicado TV https://www.youtube.com/watch?v=wFP5r...📼 Syndicado TV is where you’ll find an eclectic mix of mind-bending documentaries, cult classic films and investigative television documentaries. https://youtube.com/syndicadotvDiscover our other channels with free movies and tv series:▶️ I Love Docs for documentaries: https://youtube.com/ILOVEDOCS▶️ North of Main for Independent movies: https://youtube.com/NORTHOFMAIN▶️ Syndicado Reality: https://youtube.com/SYNDICADOREALITY#syndicadotv #atlantis #documentary",PT50M25S,2019-04-04,2019-04-04,224114,Syndicado TV,/channel/UCuLhRj43ZJzQV-5_im_BwQA,UCuLhRj43ZJzQV-5_im_BwQA,19,RveQwOB1XfI,"An eclectic mix of reality TV, mind-bending documentaries, cult classic films, and upcoming clips and trailers!",46221930,0,161000,False,1510
Tucker Investigates: How did Chris Cuomo get into Yale?,News & Politics,3514152,"79,779","6,312","Getting into prestigious schools is suspiciously easy for some. #Tucker #FoxNewsFOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Radio, FOX News Headlines 24/7, FOXNews.com and the direct-to-consumer streaming service, FOX Nation. FOX News also produces FOX News Sunday on FOX Broadcasting Company and FOX News Edge. A top five-cable network, FNC has been the most watched news channel in the country for 17 consecutive years. According to a 2018 Research Intelligencer study by Brand Keys, FOX News ranks as the second most trusted television brand in the country. Additionally, a Suffolk University/USA Today survey states Fox News is the most trusted source for television news or commentary in the country, while a 2017 Gallup/Knight Foundation survey found that among Americans who could name an objective news source, FOX News is the top-cited outlet. FNC is available in nearly 90 million homes and dominates the cable news landscape while routinely notching the top ten programs in the genre. Subscribe to Fox News!  https://bit.ly/2vBUvASWatch more Fox News Video: http://video.foxnews.comWatch Fox News Channel Live: http://www.foxnewsgo.com/Watch full episodes of your favorite showsThe Five: http://video.foxnews.com/playlist/lon...Special Report with Bret Baier: http://video.foxnews.com/playlist/lon...The Story with Martha Maccallum: http://video.foxnews.com/playlist/lon...Tucker Carlson Tonight: http://video.foxnews.com/playlist/lon...Hannity:  http://video.foxnews.com/playlist/lon...The Ingraham Angle: http://video.foxnews.com/playlist/lon...Fox News @ Night: http://video.foxnews.com/playlist/lon... Follow Fox News on Facebook: https://www.facebook.com/FoxNews/Follow Fox News on Twitter: https://twitter.com/FoxNews/Follow Fox News on Instagram: https://www.instagram.com/foxnews/",PT6M57S,2019-07-08,2019-07-08,23214,Fox News,/channel/UCXIJgqnII2ZOINSWNOGFThA,UCXIJgqnII2ZOINSWNOGFThA,20,fhHH1AJtZ3Y,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre.",4214012393,0,4940000,False,64106
Traditional Cooper - George Smithwick - History and how to make a wooden bucket,Education,1756882,"29,082",471,"George Smithwick is a sixth generation cooper who makes traditional wooden buckets and barrels. He is continuing a family tradition that began in the 18th century in Ireland. George talks to us about what a Cooper is, some history of the trade, tools he uses, and the step-by-step process of making a wooden bucket.Edward Washington and Jimmy Murray from the Sydney Living Museums' Programs team flew down to catch up with George to see if he could help with making us some new buckets and he was happy to show us how he worked; using tools, techniques and practises that have remained the same for hundreds of years. George also let us into what was once a very tight-knit and sometimes secretive coopering industry – and we captured it all on camera.See our other traditional trade vids here: https://www.youtube.com/playlist?list...",PT52M28S,2016-06-26,2016-06-26,113432,Sydney Living Museums,/channel/UCLjeUPvTffpHRH3CP1_yddA,UCLjeUPvTffpHRH3CP1_yddA,19,GE7QA1chUzw,"Videos from Sydney Living Museum (the Historic Houses Trust of NSW).

You're invited to discover Sydney's living past with us. From early gastronomy and home interiors, to historic gardens, rural lives, architecture, crime and punishment, we have the best 12 places, exhibitions and events to experience a whole other life. 

Come and see what's happening at our places.",3663429,0,19400,False,396
Vandana Shiva: We Must Fight Back Against the 1 Percent to Stop the Sixth Mass Extinction,News & Politics,247013,"9,826",243,"https://democracynow.org - New research finds at least a third of the Himalayan ice cap will melt by the end of the century due to climate change, even if the world’s most ambitious environmental reforms are implemented. A report released earlier this month by the Hindu Kush Himalaya Assessment warns rising temperatures in the Himalayas could lead to mass population displacements, as well as catastrophic food and water insecurity. The glaciers are a vital water source for the 250 million people who live in the Hindu Kush Himalaya range, which spans from Afghanistan to Burma. More than a billion-and-a-half people depend on the rivers that flow from the Himalayan peaks. We speak with world-renowned environmental leader and ecologist Dr. Vandana Shiva about climate change, seed sovereignty and her new book, “Oneness vs. the 1%.” Shiva is an Indian scholar, physicist, and food sovereignty and seed freedom advocate. She was was born in Doon Valley in the Himalayan foothills.Democracy Now! is an independent global news hour that airs weekdays on nearly 1,400 TV and radio stations Monday through Friday. Watch our livestream 8-9AM ET: https://democracynow.orgPlease consider supporting independent media by making a donation to Democracy Now! today: https://democracynow.org/donateFOLLOW DEMOCRACY NOW! ONLINE:Facebook: http://facebook.com/democracynow Twitter: https://twitter.com/democracynowYouTube: http://youtube.com/democracynow SoundCloud: http://soundcloud.com/democracynow Daily Email: https://democracynow.org/subscribe Google+: https://plus.google.com/+DemocracyNowInstagram: http://instagram.com/democracynowTumblr: http://democracynow.tumblr.comPinterest: http://pinterest.com/democracynowiTunes: https://itunes.apple.com/podcast/demo... TuneIn: http://tunein.com/radio/Democracy-Now...Stitcher Radio: http://www.stitcher.com/podcast/democ...",PT28M21S,2019-02-22,2019-02-22,23124,Democracy Now!,/channel/UCzuqE7-t13O4NIDYJfakrhw,UCzuqE7-t13O4NIDYJfakrhw,20,GwxOxQ1AOEg,"Democracy Now! is an independent, global weekday news hour anchored by award-winning journalists Amy Goodman and Juan González. The show is broadcast on nearly 1,400 TV, radio and Internet stations. Stream the show live Monday through Friday at 8AM ET at http://www.democracynow.org.",201064908,0,711000,False,11500
"Which Car Air Filter is Best? Let's find out! Fram, K&N, Wix, Purolator, & AC Delco showdown",Howto & Style,876801,"39,472",452,"Best car air filter showdown: Fram Extra Guard, K&N Performance, Purolator, Wix, AC Delco, and EP Auto. Performance testing: filtering particles 5 microns and larger, filtering particles 1-5 micons, new filter static pressure and air flow speed, used filter static pressure and air flow speed, and vehicle 0-60 performance with each brand.I could use your help.  If you'd like to help me decide on which products to test, please consider subscribing to the channel (it's free).  I occasionally ask viewers to vote on products to test and YouTube only includes those subscribed to the channel in the opportunity to vote.  Please select the bell so you get notified when there's a chance to vote on a product to test.  https://www.youtube.com/channel/UC2rz...Thank you very much for supporting the channel by watching the commercials and through Patreon support. https://www.patreon.com/projectfarmMerch: https://teespring.com/nl/stores/proje...This video is only for entertainment purposes. If you rely on the information portrayed in this video, you assume the responsibility for the results. Project Farm LLC",PT15M34S,2020-03-09,2020-03-09,314144,Project Farm,/channel/UC2rzsm1Qi6N1X-wuOg_p0Ng,UC2rzsm1Qi6N1X-wuOg_p0Ng,19,sJ3L-E-ufYo,"The Project Farm channel creates content about using alternative fuels, engine additives, epoxies, testing shop tools, etc.  This channel has awesome Patrons and does not want commercial sponsorship or free items from manufacturers. Hope you enjoy the videos.

Feel free to comment, like and subscribe.  Let me know what you think!

Project Farm, LLC 2020",188632283,0,1120000,False,197
Glasses: Price check. Are expensive glasses better?  (CBC Marketplace),News & Politics,712623,"5,719",234,"Framed | Originally broadcast February 24, 2012The materials in them are downright cheap. Even crafting the lenses is hardly labour-intensive. So why are prescription eyeglasses so darned expensive?For more: http://www.cbc.ca/marketplace/episode...»»» Subscribe to CBC News to watch more videos:   https://www.youtube.com/user/cbcnews?...Connect with CBC News Online:For breaking news, video, audio and in-depth coverage: http://www.cbcnews.caFind CBC News on Facebook: https://www.facebook.com/cbcnewsFollow CBC News on Twitter: https://twitter.com/cbcnewsFor breaking news on Twitter: https://twitter.com/CBCAlertsFollow CBC News on Google+:  https://plus.google.com/+CBCNews/postsFollow CBC News on Instagram: http://instagram.com/cbcnewsFollow CBC News on Pinterest: https://www.pinterest.com/cbcnews//Follow CBC News on Tumblr: http://cbcnews.tumblr.com»»»»»»»»»»»»»»»»»»For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",PT21M38S,2015-07-16,2015-07-16,214434,CBC News,/channel/UCuFFtHWoLl5fauMMD5Ww2jA,UCuFFtHWoLl5fauMMD5Ww2jA,20,n8vNi6IeRNU,"As Canada's national public news and information service, the CBC is committed to a set of values that include accuracy, fairness, balance, impartiality and integrity.
Since the 1930s, CBC News services have kept Canadians at home and abroad informed about their communities, their country and the world. CBC/Radio-Canada is the country’s largest news organization, employing several hundred journalists in Canada and around the globe. Our stories appear on CBC Television, CBC Radio, the CBC News Network, CBCNews.ca and other digital platforms.",947424461,0,2060000,False,16356
