channel,channel_id,channel_url,datePublished,description,dislikes,duration,genre,id,key,likes,recommendations,title,uploadDate,views,channelDescription,viewCount,commentCount,subscriberCount,hiddenSubscriberCount,videoCount
Fox News,UCXIJgqnII2ZOINSWNOGFThA,/channel/UCXIJgqnII2ZOINSWNOGFThA,2019-08-07,"FULL INTERVIEW: 2020 hopeful Bill de Blasio clashes with Hannity in this Fox News exclusive. Hannity presses the big city mayor on violence against the NYPD, abortion restrictions, and his support of the Green New Deal. #Hannity #FoxNewsFOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Radio, FOX News Headlines 24/7, FOXNews.com and the direct-to-consumer streaming service, FOX Nation. FOX News also produces FOX News Sunday on FOX Broadcasting Company and FOX News Edge. A top five-cable network, FNC has been the most watched news channel in the country for 17 consecutive years. According to a 2018 Research Intelligencer study by Brand Keys, FOX News ranks as the second most trusted television brand in the country. Additionally, a Suffolk University/USA Today survey states Fox News is the most trusted source for television news or commentary in the country, while a 2017 Gallup/Knight Foundation survey found that among Americans who could name an objective news source, FOX News is the top-cited outlet. FNC is available in nearly 90 million homes and dominates the cable news landscape while routinely notching the top ten programs in the genre. Subscribe to Fox News!  https://bit.ly/2vBUvASWatch more Fox News Video: http://video.foxnews.comWatch Fox News Channel Live: http://www.foxnewsgo.com/Watch full episodes of your favorite showsThe Five: http://video.foxnews.com/playlist/lon...Special Report with Bret Baier: http://video.foxnews.com/playlist/lon...The Story with Martha Maccallum: http://video.foxnews.com/playlist/lon...Tucker Carlson Tonight: http://video.foxnews.com/playlist/lon...Hannity:  http://video.foxnews.com/playlist/lon...The Ingraham Angle: http://video.foxnews.com/playlist/lon...Fox News @ Night: http://video.foxnews.com/playlist/lon... Follow Fox News on Facebook: https://www.facebook.com/FoxNews/Follow Fox News on Twitter: https://twitter.com/FoxNews/Follow Fox News on Instagram: https://www.instagram.com/foxnews/om/","2,738",PT41M44S,News & Politics,YT5VECbL3Os,3241,"25,913",20,Hannity grills NYC Mayor De Blasio in explosive interview,2019-08-07,1890331,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre.",4223231321,0,4950000,False,64122
Saturday Night Live,UCqFzWxSCi39LnW1JKFR3efg,/channel/UCqFzWxSCi39LnW1JKFR3efg,2013-09-12,"Kathie Lee Gifford (Kristen Wiig), Tom Hanks, Sean Connery (Darrell Hammond) and Burt Reynolds (Norm Macdonald) take on Alex Trebek (Will Ferrell) in a new round of ""Celebrity Jeopardy!"" [Season 34, 2009]WATCH PAST SNL SEASONSGoogle Play - http://bit.ly/SNLGooglePlayiTunes - http://bit.ly/SNLiTunes SNL ON SOCIALSNL Instagram: http://instagram.com/nbcsnlSNL Facebook: https://www.facebook.com/snlSNL Twitter: https://twitter.com/nbcsnlSNL Tumblr: http://nbcsnl.tumblr.com/SNL Pinterest: http://www.pinterest.com/nbcsnl/ GET MORE NBCLike NBC: http://Facebook.com/NBCFollow NBC: http://Twitter.com/NBCNBC Tumblr: http://NBCtv.tumblr.com/YouTube: http://www.youtube.com/nbcNBC Instagram: http://instagram.com/nbctv #SNL","7,162",PT9M45S,Entertainment,Ch_hoYPPeGc,6213,"116,244",19,"Celebrity Jeopardy! Kathie Lee, Tom Hanks, Sean Connery, Burt Reynolds - SNL",2013-09-12,24291584,"Welcome to the official Saturday Night Live channel on YouTube!  Here you will find your favorite sketches, behind the scenes clips and web exclusives, featuring all your favorite hosts and cast members.  Check out more SNL at http://www.nbc.com/saturday-night-live",9122623166,0,10100000,False,7303
WIRED UK,UCWrXlzhIENTJrAuKVuPgdEA,/channel/UCWrXlzhIENTJrAuKVuPgdEA,2016-07-05,"Future Cities, a full-length documentary strand from WIRED Video, takes us inside the bustling Chinese city of Shenzhen. Subscribe to WIRED►► http://po.st/SubscribeWiredWe examine the unique manufacturing ecosystem that has emerged, gaining access to the world’s leading hardware-prototyping culture whilst challenging misconceptions from the west. The film looks at how the evolution of “Shanzhai” – or copycat manufacturing – has transformed traditional models of business, distribution and innovation, and asks what the rest of the world can learn from this so-called “Silicon Valley of hardware"".ABOUT FUTURE CITIESFuture Cities is part of a new flagship documentary strand from WIRED Video that explores the technologies, trends and ideas that are changing our world. Subscribe to the WIRED YouTube channel to ensure you never miss an episode.HOLY LAND: STARTUP NATIONS (SERIES 2)Premiering in February, the second season of WIRED’s Future Cities series takes us inside one of the world’s biggest startup nations. With the most tech startups and venture capital per capita in the world, Israel has long been hailed as The Startup Nation. WIRED’s four-part series will look beyond Tel Aviv’s vibrant, liberal tech epicentre to the wider Holy Land region – the Palestinian territories, where a parallel Startup Nation story is emerging in East Jerusalem, Ramallah and the West Bank, as well as in the Israeli cybersecurity hub of Beersheba. And we will learn how the fertile innovation ecosystem of Silicon Wadi has evolved as a result of its unique political, geographical and cultural situation and explore the future challenges – and solutions – these nations are facing.CONNECT WITH WIREDWeb: http://po.st/WiredVideoTwitter: http://po.st/TwitterWiredFacebook: http://po.st/FacebookWiredGoogle+: http://po.st/GoogleWiredInstagram: http://po.st/InstagramWiredMagazine: http://po.st/MagazineWiredNewsletter: http://po.st/NewslettersWiredABOUT WIREDWIRED brings you the future as it happens - the people, the trends, the big ideas that will change our lives. An award-winning printed monthly and online publication. WIRED is an agenda-setting magazine offering brain food on a wide range of topics, from science, technology and business to pop-culture and politics.","3,644",PT67M51S,Science & Technology,SGJ5cZnoodY,3133,"68,929",20,Shenzhen: The Silicon Valley of Hardware (Full Documentary) | Future Cities | WIRED,2016-07-05,9427223,"WIRED brings you the future as it happens - the people, the trends, the big ideas that will change our lives. An award-winning printed monthly and online publication. WIRED is an agenda-setting magazine offering brain food on a wide range of topics, from science, technology and business to pop-culture and politics.

Watch our Future Cities series now: https://www.youtube.com/watch?v=hp6F_ApUq-c&list=PLPoleY2BUvKc3kvmYOrjJsmRdho1qBDlR",34870839,0,172000,False,1021
Tom Bilyeu,UCnYMOamNKLGVlJgRUbamveA,/channel/UCnYMOamNKLGVlJgRUbamveA,2017-05-23,"Determined to become the ‘hardest man alive,’ David Goggins is the only member of the U.S. Armed Forces to have completed Navy SEAL Training, the U.S. Army Ranger and Air Force tactical air controller training. Completing over 50 endurance races, Goggins has lived through the unthinkable to strengthen his mind and body. David Goggins reveals his belief in the dark power of suffering to transform in this episode of Impact Theory with Tom Bilyeu.SHOW NOTES:David talks about the struggles he faced as a child [6:08] David discusses the importance of introspection [9:44] David discusses a belief in suffering in order to grow [10:30] David talks about self discovery and truth [13:35] David shares his experience of qualifying for his first ultra marathon [19:50]David talks about the impact of his childhood [23:04]David shares the excruciating pain he dealt with during his race [27:46] David talks about the dark side [30:43] David talks about cultivating a warrior’s mindset [38:05] David talks about his experience as a U.S. Navy Seal [40:25] David discusses being true to yourself [43:00] David shares his sentiments of gratitude for his life thus far [48:55] David talks about authenticity  [51:05]David explains non-cognitive skills required for success [54:52]FOLLOW DAVID GOGGINS: Website: http://davidgoggins.comFacebook: https://www.facebook.com/iamdavidgogg...Instagram: instagram.com/iamdavidgogginsTwitter: twitter.com/iamdavidgogginsTom Bilyeu is the co-founder of 2014 Inc. 500 company Quest Nutrition — a unicorn startup valued at over $1 billion — and the co-founder and host of Impact Theory. Impact Theory is a first-of-its-kind company designed to facilitate global change through the incubation of mission-based businesses and the cultivation of empowering content. Every piece of content Impact Theory creates is meant to underscore the company mission to free people from The Matrix and help them unlock their true potential. Impact Theory exists to inspire the next generation of game-changing companies and creators that will make a true and lasting impact on the world.FOLLOW TOM BILYEUTWITTER: http://bit.ly/2iyjY5PINSTAGRAM: http://bit.ly/2j7vqX8FACEBOOK: http://bit.ly/2hPStWoSHOP:https://shop.impacttheory.com/FACEBOOK GROUP:https://www.facebook.com/groups/impac...TOM BILYEU READING LIST:http://impacttheory.com/reading-list/FOLLOW IMPACT THEORYTWITTER: http://bit.ly/2iC5lN3INSTAGRAM: http://bit.ly/2hPSGJaFACEBOOK: http://bit.ly/2iystOfSubscribe to the PODCAST to get episodes early:http://apple.co/2icO5wzIMPACT THEORY MERCHANDISE:Check out Impact Theory's Merch Shop: http://bit.ly/ImpactTheoryShop","1,636",PT57M40S,People & Blogs,78I9dTB9vqM,3334,"78,956",19,How to Make Yourself Immune to Pain | David Goggins on Impact Theory,2017-05-23,3224269,"Welcome to my channel! I'm Tom Bilyeu and my goal with this YouTube channel is to introduce you to the people and ideas that will help you actually execute on your dreams. You will learn how to level up your mindset, develop leadership skills in business and in your personal life, and learn how to live to your full potential. 

I drop weekly dose of inspiration every Tuesday and Thursday. 
-On Tuesdays, I have a long-format interview, Impact Theory, with elite entrepreneurs, athletes, and more.
-On Thursdays, I release Health Theory, where I interview the top health experts in their respective field and share those findings with you! Educational videos on ways to optimize your health!

Subscribe to this channel if you want to keep up to date with our content! 

Follow me on Instagram at www.instagram.com/tombilyeu",98462506,0,1530000,False,645
ChessNetwork,UCCDOQrpqLqKVcTCKzqarxLg,/channel/UCCDOQrpqLqKVcTCKzqarxLg,2017-09-02,"Bobby Fischer creates a chess masterpiece in only 21 moves against Robert Eugene Byrne, an International Master, at the 1963/1964 United States Chess Championship, held in New York. At 20 years young, Grandmaster Robert James Fischer was already among the world's very best chess players. In this brilliancy, Fischer demonstrates how to inject multiple imbalances into a highly symmetrical position, how to properly highlight these differences to benefit oneself, and how to accurately assess the true value of the pieces as they rest on the board.PGN:1. d4 Nf6 2. c4 g6 3. g3 { E60 King's Indian Defense: Fianchetto Variation, Immediate Fianchetto } c6 4. Bg2 d5 5. cxd5 cxd5 6. Nc3 Bg7 7. e3 O-O 8. Nge2 Nc6 9. O-O b6 10. b3 Ba6 11. Ba3 Re8 12. Qd2 e5 13. dxe5 Nxe5 14. Rfd1 Nd3 15. Qc2 Nxf2 16. Kxf2 Ng4+ 17. Kg1 Nxe3 18. Qd2 Nxg2 19. Kxg2 d4 20. Nxd4 Bb7+ 21. Kf1 Qd7Internet Chess Club (ICC)Software: Blitzinhttp://bit.ly/179O93NDiscount Code: CHESSNETWORKI'm a self-taught National Master in chess out of Pennsylvania, USA who was introduced to the game by my father in 1988 at the age of 8. The purpose of this channel is to share my knowledge of chess to help others improve their game. I enjoy continuing to improve my understanding of this great game, albeit slowly. Consider subscribing here on YouTube for frequent content, and/or connecting via any or all of the below social medias. Your support is greatly appreciated. Take care, bye. :D★ LIVESTREAM http://twitch.tv/ChessNetwork★ FACEBOOK http://facebook.com/ChessNetwork★ TWITTER http://twitter.com/ChessNetwork★ GOOGLE+ http://google.com/+ChessNetwork★ PATREON https://www.patreon.com/ChessNetwork★ DONATE https://www.paypal.com/cgi-bin/webscr...","8,995",PT19M42S,Education,QHydkEARVKE,431,"100,076",19,Bobby Fischer's 21-move brilliancy,2017-09-02,8443386,"I'm a self-taught National Master in chess out of Pennsylvania, USA who learned how to play from my father in 1988 at the age of 8. The purpose of this channel is to share my knowledge of chess to help others improve their game. I enjoy continuing to improve my understanding of this great game, albeit slowly. Consider subscribing here on YouTube for frequent chess content.
-Jerry",99895979,0,407000,False,1460
WIRED,UCftwRNsjfRo08xYE31tkiyw,/channel/UCftwRNsjfRo08xYE31tkiyw,2019-05-21,"Former FBI agent and body language expert Joe Navarro breaks down the various ways we communicate non-verbally. What does it mean when we fold our arms? Why do we interlace our fingers? Can a poker player actually hide their body language?Check out Joe's book ""The Dictionary of Body Language""https://www.jnforensics.com/ Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7 Also, check out the free WIRED channel on Roku, Apple TV, Amazon Fire TV, and Android TV. Here you can find your favorite WIRED shows and new episodes of our latest hit series Masterminds.ABOUT WIREDWIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.Former FBI Agent Explains How to Read Body Language | Tradecraft | WIRED","16,070",PT14M44S,Entertainment,4jwUXV4QaTw,3124,"759,990",20,Former FBI Agent Explains How to Read Body Language | Tradecraft | WIRED,2019-05-21,29836383,WIRED is where tomorrow is realized.,1971883232,0,6410000,False,3042
DW Documentary,UCW39zufHfsuGgpLviKh297Q,/channel/UCW39zufHfsuGgpLviKh297Q,2017-07-05,"Exploding real estate prices, zero interest rate and a rising stock market – the rich are getting richer. What danger lies in wait for average citizens? For years, the world’s central banks have been pursuing a policy of cheap money. The first and foremost is the ECB (European Central Bank), which buys bad stocks and bonds to save banks, tries to fuel economic growth and props up states that are in debt. But what relieves state budgets to the tune of hundreds of billions annoys savers: interest rates are close to zero.The fiscal policies of the central banks are causing an uncontrolled global deluge of money. Experts are warning of new bubbles. In real estate, for example: it’s not just in German cities that prices are shooting up. In London, a one-bed apartment can easily cost more than a million Euro. More and more money is moving away from the real economy and into the speculative field. Highly complex financial bets are taking place in the global casino - gambling without checks and balances. The winners are set from the start: in Germany and around the world, the rich just get richer. Professor Max Otte says: ""This flood of money has caused a dangerous redistribution. Those who have, get more."" But with low interest rates, any money in savings accounts just melts away. Those with debts can be happy. But big companies that want to swallow up others are also happy: they can borrow cheap money for their acquisitions. Coupled with the liberalization of the financial markets, money deals have become detached from the real economy. But it’s not just the banks that need a constant source of new, cheap money today. So do states. They need it to keep a grip on their mountains of debt. It’s a kind of snowball system. What happens to our money? Is a new crisis looming? The film 'The Money Deluge' casts a new and surprising light on our money in these times of zero interest rates._______Exciting, powerful and informative – DW Documentary is always close to current affairs and international events. Our eclectic mix of award-winning films and reports take you straight to the heart of the story. Dive into different cultures, journey across distant lands, and discover the inner workings of modern-day life. Subscribe and explore the world around you – every day, one DW Documentary at a time.Subscribe to DW Documentary:https://www.youtube.com/channel/UCW39... For more information visit:https://www.dw.com/documentaries Instagramhttps://www.instagram.com/dwdocumentary/Facebook:https://www.facebook.com/dw.stories DW netiquette policy: http://www.dw.com/en/dws-netiquette-p...","2,601",PT42M25S,Education,t6m49vNjEGs,3434,"39,126",20,How the rich get richer – money in the world economy | DW Documentary,2017-07-05,4550948,"DW Documentary gives you information beyond the headlines. Watch high-class documentaries from German broadcasters and international production companies. Meet intriguing people, travel to distant lands, get a look behind the complexities of daily life and build a deeper understanding of current affairs and global events. Subscribe and explore the world around you with DW Documentary from Deutsche Welle (DW), Germany's international broadcaster.

DW netiquette policy: http://www.dw.com/en/dws-netiquette-policy/a-5300954

Subscribe to DW Documentary:
https://www.youtube.com/channel/UCW39zufHfsuGgpLviKh297Q?sub_confirmation=1#
For more documentaries visit:
http://www.dw.com/en/tv/docfilm/s-3610
Instagram
https://www.instagram.com/dwdocumentary/
Facebook:
https://www.facebook.com/dw.stories",193030169,0,1500000,False,573
Chat With Traders,UCdnzT5Tl6pAkATOiDsPhqcg,/channel/UCdnzT5Tl6pAkATOiDsPhqcg,2017-08-20,"Host of Chat With Traders podcast, Aaron Fifield, presents '6 Ways to Emulate Talented Traders' at Noosapalooza 2017. Many thanks to Nick Radge (The Chartist) for the invite and for hosting this event.",62,PT40M57S,People & Blogs,eestOVjy41w,4444,"1,150",19,6 Ways to Emulate Talented Traders · Aaron Fifield,2017-08-20,52846,"Conversations with talented traders—in stocks, futures, options, forex and crypto markets. Podcast hosted by Aaron Fifield.",6727708,0,113000,False,210
NBC New York,UCxCfoSInadl-4i3F70zDt1A,/channel/UCxCfoSInadl-4i3F70zDt1A,2020-05-03,Gov. Andrew Cuomo of New York updates on the state's response to the COVID-19 pandemic.https://www.nbcnewyork.com/coronavirus#live#cuomo#coronavirus,11,PT0M0S,News & Politics,IsJ6_5ru8A0,2443,71,20,Cuomo Updates on NY Coronavirus Response,2020-05-03,684,"Get breaking news, I-Team investigations, and Storm Team 4 weather updates from the official  YouTube channel for NBC 4 New York. Have a news tip or question? Email tips@nbcnewyork.com",69051342,0,145000,False,3269
CBS News,UC8p1vwvWtl6T73JiExfWs1g,/channel/UC8p1vwvWtl6T73JiExfWs1g,2016-10-20,"Just one night after the final presidential debate, Donald Trump roasted Hillary Clinton at the Al Smith Dinner. The Catholic charity fundraiser is an opportunity for the candidates to trade jokes and blows amid the heated campaign. CBSN has Trump's full speech.","3,825",PT15M51S,News & Politics,Bmvxx_YbDsM,1343,"54,083",20,Trump roasts Clinton at Al Smith charity dinner,2016-10-20,4266312,Welcome to the OFFICIAL CBS News YouTube Channel!,1862682691,0,2600000,False,75977
