title,channel,genre,id,key
Coronavirus outbreak: NY Governor Cuomo provides update on state's COVID-19 crisis | LIVE,Global News,News & Politics,ZQYAElmOXEI,34
LIVE: New York Governor Cuomo delivers update on coronavirus,Yahoo Finance,News & Politics,4cGK-iQRrTk,28
Live: New York Governor Cuomo Holds Coronavirus Briefing,NBC News,News & Politics,P0UaGdFvN7Q,25
New York Gov. Cuomo Delivers COVID-19 Update | LIVE | NowThis,NowThis News,News & Politics,wwOGS9fLbKw,21
Coronavirus: New York governor Andrew Cuomo holds briefing – watch live,Guardian News,News & Politics,SczCxUdMzPo,20
Tri-State area governors make joint announcement during Gov. Cuomo's daily briefing.,Eyewitness News ABC7NY,News & Politics,LBFwWgdsJP4,16
'The Dangerous Case Of Donald Trump': 27 Psychiatrists Assess | The Last Word | MSNBC,MSNBC,News & Politics,6nhoGIvOKJU,9
PM Justin Trudeau and federal ministers address Canadians on COVID-19 response | LIVE,Global News,News & Politics,r4RUTHwCfZw,9
Cuomo Updates on NY Coronavirus Response,NBC New York,News & Politics,IsJ6_5ru8A0,8
Psychiatrist On ‘The Essential Emptiness Of President Donald Trump’ | The Last Word | MSNBC,MSNBC,News & Politics,0B4nS1-ScYw,7
Jordan Klepper vs. Trump Supporters | The Daily Show,The Daily Show with Trevor Noah,Comedy,NzDhm808oU4,7
"Frank Abagnale: ""Catch Me If You Can"" | Talks at Google",Talks at Google,People & Blogs,vsMydMDi3rI,7
Trump Talk: All Our Best Mashups In One Video,VICE News,News & Politics,2i4JxWkSYzU,7
"All about Donald Trump’s early years, from troubled teen to military academy and business school",PBS NewsHour,News & Politics,rFGE3X6Yhj0,7
"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",The Daily Show with Trevor Noah,Comedy,BWO6i8cH8SA,7
"Full Interview: Edward Snowden On Trump, Privacy, And Threats To Democracy | The 11th Hour | MSNBC",MSNBC,News & Politics,e9yK1QndJSM,6
"""HEARING IS A JOKE"" Democrats MELTDOWN During Mike Pompeo Testimony",FOX 10 Phoenix,News & Politics,OKifiMcnnek,6
Live: Michael Gove leads coronavirus daily briefing,The Telegraph,News & Politics,f5zukRrgPhk,6
Joe Rogan Experience #1368 - Edward Snowden,PowerfulJRE,People & Blogs,efs3QRr8LWw,6
Psychiatrist On Trump’s ‘Dangerous’ Response To Coronavirus Crisis | The Last Word | MSNBC,MSNBC,News & Politics,AKgq0rnIR7g,5
Watch CNBC's full interview with Berkshire Hathaway CEO Warren Buffett,CNBC Television,News & Politics,JvEas_zZ4fM,5
Diana: The Royal Truth,YouTube Movies,Movies,ri8YBB5v878,5
Requiem for the American Dream,YouTube Movies,Movies,hZnuc-Fv_Tc,5
Top psychiatrist: Trump's 'mental impairment' poses danger to world,FRANCE 24 English,News & Politics,ghg4-1rEZzk,5
COVID-19 update: Trudeau addresses Canadians | Special coverage,CBC News,News & Politics,QjCtIWEimTk,5
