Bias;id
1;2LiDZFHsBzY
1;3iw72CsBOwc
0;iLKTVvBjnsk
1;UJgRk1p8ktY
0;Wfw0OAWwlSA
1;LWsgbgz5euc
1;mOpG-cWtphI
1;qLqj4Ym9T7w
1;xuM7ZS7nodk
0;L-eTce6lfCg
1;VYJp813tGH4
0;vMP6W_JrwAk
1;QnShqaHdYgo
1;YRfwZcLeOm4
1;bQxqIKTO2Ck
0;o4LRa5XQF6E
1;a2y4_eOOn_Y
1;A1pwaZ0xM20
0;dvqj84EYAlI
1;eV8xBZj-IPA
1;q2zoh9A6d7M
1;VK0Wtjh3HVA
1;_lIeY-ZhB3k
0;h_bCSbPAzk0
1;mSa3yRL_ovE
0;4idvDJk356Y
1;g9nePRUD7Jg
1;nXVfhrxQ5tc
0;TXh1r0vOX0I
1;UQCipqsjsW8
1;sA5-ZDtrNhk
1;LAT66OjarGA
1;4HgUYU_qNl0
1;SBQXrhd7Cf0
1;HAerJkWHk5E
0;3E46oWB4V0s
1;x5sAB-woeKU
0;ZML0eAZ-RwI
0;FPEHm2x8bdE
1;yzAlYRBh0AE
0;hqKafI7Amd8
1;WBFoV6jn79c
1;#NAME?
0;6X1Y0Mj7Qzc
0;MDYJWIWsgBA
1;Ftaq1lp5jOk
1;EmmisnAjP9Y
1;ouZrZa5pLXk
1;ugaWG5xYSWM
0;JvEas_zZ4fM
1;5xxoREftKwk
1;_2SYY9lXbTU
1;mn6Ou6GDI40
1;QZM04iCXuvo
1;nxyxcTZccsE
1;PPfhZsAGsEI
0;8z16lgmpTcA
1;2OlY8pLfPs8
1;qa7zGZmiLNk
1;LV8wWhjTKRU
1;KzKvIYwqQkE
0;SEZwkbliJr8
1;KaA2gW2jnaw
1;GESBI9pWWmI
0;HXiq2nBRTPw
1;wyFZ3cJRrcg
1;f3N3PEIYPXk
1;fvNsWKqAebY
0;CVuVlk2E_e4
1;xtSBgLJWbTk
1;NYfmxb1OqzE
1;_yIl-OTDRXo
0;93QGMEERgMk
1;K8hEDxMY1AI
0;ljqra3BcqWM
1;MRNkiOpPc20
0;D16gv1uxISI
0;KwJyKmCbOws
0;Mo4NiHaSxLw
0;MLKj1puoWCg
0;XdT4DIiX7Nk
1;gUEgQMWyVig
1;lkuuXIvAJVo
1;OTktJvum7cs
0;Lp7E973zozc
1;v5WDDZqhn2s
1;iVCMsbF_OD0
1;XTA0qW6nZh8
1;7CZq5SkIiu0
0;P27HRClMf2U
0;n9u-TITxwoM
1;nR5Z2kRPmAc
1;dvBbxbjFRw4
1;uT_GcOGEFsk
0;gdGwl8h9ePo
1;IHDEX6Ui_7g
1;TLM94DnKkQo
0;hTbh4p-eZdM
1;hd0-eiOPetc
1;D0Ll6aDOMkU
1;XuTRUMkk5o8
1;D-ZeurlEleg
1;DtPwfihjyrY
1;7G5d_0k-0fc
0;bp5RMutCNoI
1;CERDnUKcgMk
1;N6jF1dxN6eQ
0;8s3bdVxuFBs
0;WbSjVBmsgrc
0;LHhNvskLWG4
1;FoI94Epkjrc
1;DBhzDSwU3uA
1;MX5gScTw2JA
1;78SkTuk8Zd4
0;JHDkALRz5Rk
0;Waq7koz_Gkw
0;N-yALPEpV4w
0;BgydC490NG4
0;F0NEaPTu9oI
1;mQUhJTxK5mA
1;CcXt4DG_vDE
0;Ef3iXUzLVMo
0;GOZ1pF-Xd28
0;rP01bH9Ljf4
1;N6zqatiur3A
0;aMcjxSThD54
0;5dZ_lvDgevk
1;PavzagKeQKE
1;_uJs0iGQN0M
0;mh45igK4Esw
0;1UMHUPPQ96c
1;Ol_71HtGe2w
1;dVDhYtQkuO8
1;NNnIGh9g6fA
0;kasiov0ytEc
0;sO_a0VIxejw
0;UUnRKf2CemA
1;95otBlepVHc
1;qHkQ7AbsnLo
0;WE3aYi8bD18
1;xvFYII0yxLY
0;aaOOdpIPlXQ
1;TKc_-tdMcLE
0;veEQQ-N9xWU
1;Le_rfTdayLs
1;E9mB0IMFvBQ
0;TmNSlF7lcaw
1;B4bupkt2FGU
0;5c6AADI7Pb4
0;esPRsT-lmw8
1;CoJ3eGsEBXE
1;5zROWGCXRIQ
1;kzuijFHquQk
1;aaFGOCou_7I
0;hutT5j6G-Kw
0;v93rcPkFkZc
0;Uxp_gZN8H5k
0;#NAME?
0;FlP3ioqGWMs
1;8z2Hn8ePKPM
0;Q51WsAHyOu8
1;F9lS8wAUh2M
0;e9yK1QndJSM
1;cMcibRGh4Nk
0;rRMkEDwJxbU
0;WOUczLNNwYM
1;xRel1JKOEbI
1;ah2H1bhSFTQ
1;HAnw168huqA
1;Gee0b2F0vtk
0;4BZuWrdC-9Q
0;H02YcexnEqc
1;yy-rae-aUSc
1;Bd8_vO5zrjo
0;3WMuzhQXJoY
1;e7zqrxF6lB8
1;Mgo3LQTUwvw
0;zMqAYJg7acE
0;AFIxi7BiScI
1;-0ioNHLz18s
1;6dIpS1Tya9s
0;0TPaKGny5fs
0;oVN8Zp0bbCs
0;#NAME?
1;9Auq9mYxFEE
1;D_Eiar3MPck
0;SQSg15sXdEQ
0;#NAME?
1;kFQJNeQDDHA
1;rlTfGnKV5oI
1;0Qp26KcDrGw
0;NvqKZHpKs-g
1;G8ObSe1l1qQ
0;kIC3glleO5U
0;PJy8vTu66tE
1;YktlzyMgfZo
1;PaJQpgWV9f0
1;UAHhhweamIU
1;bwreHReBH2A
1;QWfFaOoUVF0
1;cwPqmLoZA4s
0;sEqwlK8l6w0
0;b8XOUMLkueM
0;VNGFep6rncY
1;BJzSJlMwQcA
1;Aj2vB_VITXQ
0;30qZjexZ8bQ
0;wqiMASk5MIU
0;TQMbvJNRpLE
0;oesJxfP85H0
1;MGsgA5mldZw
0;I7QZD9iseDA
1;noj4phMT9OE
0;qLSt4VtmT5M
1;9WWJGSH4TsI
1;22Bn8jsGI54
1;EzOdr3pZ83A
1;IlET7pIdaSY
1;fHh19Baj_pM
0;TFbv757kup4
1;YPpmIDlBQkI
1;H4hfTQjq8HA
1;uAvs_0Nctek
0;PjxkjF_4KRA
1;JIWJdKnfvRE
1;bfYy6hxm6sA
1;VDmaYezwk0Y
1;_HD-XYp3SGo
1;FLYdhfgF6Pg
0;2DsVhaXx8_I
0;2GLsM169izM
1;hIXhnWUmMvw
0;fAELIuje7Vo
1;j9e5pHl2n1k
1;VNqNnUJVcVs
0;qvWFImhzJrU
0;iBMfg4WkKL8
1;E_2JnawwbmA
1;ZXHv_Cc-834
0;ORp3q1Oaezw
1;6gi-pPrf7Ew
