"","binary","title","description","channel","id"
"1",1,"Washington protests: Demonstrations escalate on Trump's doorstep | Nine News Australia","Police have used force to push protesters back from the White House in Washington D.C. as people continue to demonstrate following the death in custody of George Floyd in Minneapolis. 9 News Australia US correspondent Amelia Adams speaks to those on the frontlines. Subscribe: https://bit.ly/2noaGhv Get more breaking news at: https://bit.ly/2nobVgFJoin Nine News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.Follow Nine News on Facebook: https://www.facebook.com/9News/Follow Nine News on Twitter: https://twitter.com/9NewsAUSFollow Nine News on Instagram: https://www.instagram.com/9news/#9News #BreakingNews #NineNewsAustralia #9NewsAUS","9 News","JG0N6b9EPJw"
"2",0,"A mind-expanding tour of the cosmos with Neil deGrasse Tyson and Robert Krulwich","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateEver wonder about the our vast, mysterious universe — but don’t have time to earn that PhD? Superstar scientist Neil deGrasse Tyson has come to the rescue with Astrophysics for People in a Hurry, the brilliantly witty guide you’ve been waiting for. Recorded May 3, 2017 at 92nd Street Y. Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org","92nd Street Y","AyAK3QBnMGQ"
"3",0,"Neil DeGrasse Tyson: Blackholes and Other Cosmic Quandries","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateRecorded February 1, 2007 at 92nd Street Y.Subscribe for more videos like this: http://bit.ly/1GpwawVFacebook: http://facebook.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/Instagram: http://Instagram.com/92ndStreetYOn Demand: http://www.92yondemand.org","92nd Street Y","rYzBxo3hbYQ"
"4",0,"Science and Communication: Alan Alda in Conversation with Neil deGrasse Tyson","What does it mean to be a true communicator? Two of the best, Academy Award-nominated actor Alan Alda and astrophysicist and science communicator Neil deGrasse Tyson discuss Alda’s new book, If I Understood You, Would I Have This Look on My Face? It’s a guide to improving the way we relate to each other using improv games, storytelling, acting, empathy, science and our own innate abilities.Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org","92nd Street Y","syIb73RQqVU"
"5",0,"Bob Woodward’s ""FEAR: Trump in The White House""","Watergate journalist Bob Woodward’s new book, FEAR: Trump in the White House, announced as the most acute and penetrating portrait of a sitting president ever published during the first years of an administration, is unprecedented.Talking with Jacob Weisberg, Bob Woodward gives a front-row-seat view of life inside Donald Trump’s White House, as revealed in his new book, FEAR: Trump in the White House. The Pulitzer Prize-winning journalist, an associate editor at The Washington Post, shows how the president makes decisions on major foreign and domestic policies. Drawing from hundreds of hours of interviews with firsthand sources, contemporaneous meeting notes, files, documents, and personal diaries, FEAR brings to light the most explosive debates that drive decision-making in the Oval Office, the Situation Room, Air Force One, and the White House residence. It’s the inside story on President Trump as only Bob Woodward can tell it. Don’t miss this opportunity to hear first-hand as the legendary journalist sits down with the chairman and editor-in-chief of Slate.Recorded on September 12, 2018 at 92nd Street Y.Subscribe for more videos like this: http://bit.ly/1GpwawVYour support helps us keep our content free for all. Donate now: http://www.92y.org/donatenow?utm_sour...Facebook: http://facebook.com/92ndStreetYInstagram: http://Instagram.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/On Demand: http://www.92yondemand.org","92nd Street Y","UkrBSUp55Xk"
"6",0,"Dr. Neil deGrasse Tyson: Pluto's Place in the Universe","http://92Y.org/Talks","92nd Street Y","e98L6mftkNU"
"7",0,"Christopher Hitchens and Tariq Ramadan Debate: Is Islam a Religion of Peace?","Your support helps us keep our content free for all. Donate now: https://www.92y.org/donateChristopher Hitchens and Tariq Ramadan Debate: Is Islam a Religion of Peace? Moderated by Laurie Goodsteing, October 5, 2010 at 92Y. Subscribe for more videos like this: http://bit.ly/1GpwawVFacebook: http://facebook.com/92ndStreetYTwitter: https://twitter.com/92YTumblr: http://92y.tumblr.com/Instagram: http://Instagram.com/92ndStreetYOn Demand: http://www.92yondemand.org","92nd Street Y","mMraxhd9Z9Q"
"8",0,"Pence meets with black pastors, refuses to acknowledge Black Lives Matter | ABC News","The mayor of Tulsa prepared for a “civil emergency,"" while the Oklahoma governor called in hundreds of National Guard troops.SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yPWatch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/","ABC News","ZGeAGDCCd1k"
"9",0,"Trump rally comes against backdrop of racial protests | ABC News","Movement for Black Lives organizer Thenjiwe McHarris discdiscusses Trump's rally amid nationwide protests and ""Black Wall Street"" author Hannibal Johnson gives insight on the 1921 Tulsa race massacre.SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yPWatch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/","ABC News","vv96rzYp9rc"
"10",0,"Oklahoma state legislator reacts to Trump rally | ABC News","Oklahoma state Rep. Ajay Pittman discusses Trump holding a rally in Tulsa given the city's history of being the site of the Tulsa race massacre and Dr. Simone Wilds discusses health concerns.SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yPWatch More on http://abcnews.go.com/LIKE ABC News on FACEBOOKhttps://www.facebook.com/abcnewsFOLLOW ABC News on TWITTER:https://twitter.com/abcGOOD MORNING AMERICA'S HOMEPAGE:https://www.goodmorningamerica.com/","ABC News","79BUU8vhVvM"
