"","id","duration","caption","definition"
"1","kD5yc1LQrpQ","PT1H1M","false","hd"
"2","nVCqp-MAnNY","PT6M45S","true","hd"
"3","rgVQGwvmMwk","PT7M52S","false","hd"
"4","zc1YM9fNATQ","PT32M23S","false","hd"
"5","bgHm62OIJgk","PT38M25S","false","hd"
"6","NPEj_VAxPzI","PT8M7S","false","hd"
"7","Unzc731iCUY","PT1H3M43S","true","hd"
"8","53woXWFsiHA","PT1H1M36S","false","sd"
"9","T3bJsCsekTQ","PT23M8S","false","hd"
"10","3wQqxUXAz68","PT1H7M34S","false","hd"
"11","2n2yf5DvvJA","PT21M37S","false","hd"
"12","05fiNaWLnHo","PT13M55S","true","hd"
"13","-FACDlqC2ZU","PT26M47S","true","hd"
"14","2X1Tgmsv9Ao","PT4M11S","false","hd"
"15","ZWSuqvWdPMo","PT21M14S","false","hd"
"16","EElCj8NjGxo","PT24M10S","false","hd"
"17","k1ifq8-KRIg","PT52M38S","false","sd"
"18","21STUhQ-iP0","PT9M47S","false","hd"
"19","VooHiweb1sw","PT6M48S","true","hd"
"20","FK-h12yGvk8","PT8M53S","false","hd"
"21","eyYWgo_B8WY","PT3M47S","false","hd"
"22","iRAD6U-ZDXY","PT43M17S","false","hd"
"23","sm-EvazNCjU","PT24M28S","false","hd"
"24","N7h5JoxutSM","PT59M30S","false","hd"
"25","IsRlN1oDm60","PT47M7S","false","sd"
"26","s3YTfhJmh1I","PT11M40S","true","hd"
"27","ZzA1L1nNabI","PT17M38S","false","hd"
"28","VGml1ErQySI","PT11M","false","hd"
"29","3HKHeSIUIVI","PT13M24S","false","hd"
"30","UX6K-Z67vI4","PT6M47S","true","hd"
"31","WDE4H7KH-oc","PT10M10S","false","hd"
"32","Aq6RMo7RJ9c","PT14M30S","false","hd"
"33","F2n56fNFH6c","PT16M52S","false","hd"
"34","9ZxWTXoW_SM","PT42M35S","false","hd"
"35","CFwLVMGypxI","PT52M22S","false","hd"
"36","h8IEtlOVzq4","PT1H43M12S","false","hd"
"37","DcDtgLdJCCM","PT33M35S","true","hd"
"38","k4vRFodAqWo","PT3M52S","true","hd"
"39","TMXsUYBXaZw","PT1H52M20S","false","sd"
"40","fs9Gr8Gj6Cg","PT1H41M55S","false","hd"
"41","ZEvog3uLLnQ","PT6M9S","false","hd"
"42","3THtcukktug","PT37M1S","false","sd"
"43","DgxGa7-hVsY","PT46M9S","false","hd"
"44","Fwfk5FUUbTM","PT13M54S","false","hd"
"45","4nfdSp5ljHw","PT48M5S","false","hd"
"46","Z4HGQL_McDQ","PT49M20S","false","hd"
"47","XZx_UGfItZE","PT1H44M6S","false","hd"
"48","JYQ6eZDXXRE","PT15M28S","false","hd"
"49","Bf16ajbpfLY","PT9M5S","true","hd"
"50","GhizMqo5SGg","PT23M48S","false","hd"
"51","ldPh0_zEykU","PT56M41S","false","sd"
"52","Vm-MMki4sY4","PT51M31S","false","hd"
"53","bHGA_N-qMUs","PT4M48S","false","hd"
"54","28_hVGw-gZI","PT11M19S","true","hd"
"55","giQ8xEWjnBs","PT15M41S","true","hd"
"56","1MqukDzhlqA","PT2H1M16S","false","hd"
"57","YmAyjhL2sSs","PT14M12S","true","hd"
"58","MB5IX-np5fE","PT20M32S","true","hd"
"59","pn-Kxynk5cU","PT28M22S","false","hd"
"60","IvGMegJIKmw","PT13M45S","false","hd"
"61","g-1xloWdSvU","PT4M29S","false","hd"
"62","n84tqtgG7a8","PT17M56S","true","sd"
"63","9-wFM3nrKAI","PT7M32S","true","hd"
"64","xYwaPI4Rz9M","PT12M34S","false","hd"
"65","wbQIJags_dg","PT42M54S","false","hd"
"66","ACQy3x3pJ88","PT47M39S","true","hd"
"67","HHfxP4W3OuA","PT58M30S","false","sd"
"68","wsbebAJ40DQ","PT41M5S","false","sd"
"69","X2EJsOShr5s","PT9M10S","false","hd"
"70","3ODfwJBDgBs","PT1H14M37S","true","hd"
"71","4cDC4wEY9SQ","PT18M58S","true","hd"
"72","wK3ETTZUO6M","PT14M4S","true","hd"
"73","BR-eMMCp7tg","PT28M27S","true","hd"
"74","hdqI14rBswE","PT27M49S","true","hd"
"75","vcUf5C7SqOQ","PT48M22S","false","hd"
"76","wnF-zTrHvGs","PT5M47S","false","hd"
"77","iWg7qr28-CM","PT1H4M4S","false","hd"
"78","cyzXgTaU3bo","PT9M45S","true","hd"
"79","yMKJR5n4gLw","PT18M49S","false","hd"
"80","QTN9GlIMXco","PT10M32S","false","hd"
"81","edvdzh9Pggg","PT59M45S","true","hd"
"82","tp6H3c2x5d4","PT50M","false","hd"
"83","yPsvgmZlVuQ","PT1H17M52S","false","hd"
"84","RN7ONTVTW0U","PT14M48S","false","hd"
"85","Couo-cxNipI","PT1H6M53S","false","hd"
"86","D6h5bvxnBKk","PT53M5S","true","hd"
"87","vyaNeKZjHcI","PT5M56S","false","hd"
"88","JlnYLko5rG0","PT6M6S","true","hd"
"89","PvQGiY6vD5M","PT14M52S","false","hd"
"90","0Ac5u6hBkDA","PT1H5M58S","true","hd"
"91","_cUWQQUky1k","PT16M9S","false","hd"
"92","Hd8MFmUDbg4","PT40M34S","false","sd"
"93","02l9CzT8s1E","PT1H41M1S","false","hd"
"94","YEQYkaJCC-c","PT34M38S","false","hd"
"95","lg5uIvX3Bec","PT12M","false","hd"
"96","cCv63fuOdDE","PT1H3M57S","false","hd"
"97","P2AUat93a8Q","PT21M31S","true","hd"
"98","rqe4TzDsDXY","PT16M24S","false","hd"
"99","1AWUUYX89LU","PT1H27M40S","false","hd"
"100","d8qtdnezqDc","PT1H23M51S","true","hd"
"101","lPtFENMkj7A","PT15M42S","false","hd"
"102","L4Zau-K1168","PT20M45S","true","hd"
"103","NBxITdVy5_o","PT48M9S","false","hd"
