pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2020-04-25,294,3072,2757,142,a6f0DkdQ5Ns,0.14222047450517702,Trump's COVID-19 disinfectant ideas horrify health experts,2,6,Reuters,1
2020-04-25,3042,4,80,195,hLY4prFqcGE,0.8533228470310651,Trump faces backlash over comments about using disinfectant l GMA,12,1,Good Morning America,1a
2020-04-24,27,13,333,202,OjSikfK2sO0,2.4888583038406082,New warning issued over cleaning supply usage l GMA,35,1,Good Morning America,1aa
2020-04-25,2745,6,96,256,JcGP-wJwwSg,0.9244330842836541,"Paula Faris reflects in new book on choosing faith, leaving dream job l GMA",13,1,Good Morning America,1aaa
2020-04-24,8740,16,201,220,0b5F_Y2l4Lo,1.279984270546598,Atlanta mayor reacts to Georgia reopening businesses l GMA,18,1,Good Morning America,1aaaa
2020-04-25,-1,133,494,0,0oX8uWNAgKs,4.835496133176039,S.O.U.L Saturday Rally | Joe Biden For President,68,1,Joe Biden,1aaaaa
2019-05-07,13,6783,601,1170,RX1KvKsGx2w,0.28444094901035505,"Visité la ciudad donde solamente vive una persona | Epecuén, Argentina",4,1,Luisito Comunica,1aaaab
2020-04-20,183,102,3917,3178,wwIkd_kKOBs,0.28444094901035505,Serena & Venus Williams on Breaking Barriers Beyond Tennis | No Filter with Naomi,4,1,Naomi,1aaaac
2020-04-23,3365,6,26,252,cVRS6tY5iW4,0.28444094901035505,San Francisco Mayor London Breed Explains How She Prepared Her City to Tackle the COVID-19 Outbreak,4,1,Katie Couric,1aaaad
2018-06-20,346,66,5602,1426,DAFwpaCPXIw,0.28444094901035505,Pedro's Bay,4,1,VISSLA,1aaaae
2014-10-28,8,4313,108,1009,xp0O2vi8DX4,1.13776379604142,How to motivate yourself to change your behavior | Tali Sharot | TEDxCambridge,16,1,TEDx Talks,1aaab
2011-06-11,23,13,353,1300,Lp7E973zozc,0.639992135273299,How to stop screwing yourself over | Mel Robbins | TEDxSF,9,1,TEDx Talks,1aaaba
2014-10-28,2,1628,22,1154,1EHZAQmw2JA,0.14222047450517702,What one skill = an awesome life? | Dr. Shimi Kang | TEDxKelowna,2,1,TEDx Talks,1aaabb
2015-12-04,12,6771,244,902,TFbv757kup4,0.5688818980207101,El secreto de convertirse en una persona mentalmente fuerte | Amy Morin | TEDxOcala,8,1,TEDx Talks,1aaabc
2013-10-10,8,6138,126,1286,vuIlsN32WaE,0.42666142351553205,The mathematics of weight loss | Ruben Meerman | TEDxQUT (edited version),6,1,TEDx Talks,1aaabd
,-1,-1,-1,-1,d0yGdNEWdn0,0.995543321536243,,14,1,,1aaabe
2018-07-26,36,9766,638,696,G1wsCworwWk,1.066653558788832,Tom Cruise Forces James Corden to Skydive,15,2,The Late Late Show with James Corden,1aaac
2016-02-04,10,2099,58,612,UEg6TDklBuE,0.42666142351553205,JAMES CORDEN BEST MOMENTS,6,1,Wilma Axelborn,1aaaca
2019-01-20,5,1216,98,633,IiFPwqblizg,0.071110237252588,"Astronaut Training w/ Chris Pratt, Elizabeth Banks & Will Arnett",1,1,The Late Late Show with James Corden,1aaacb
2017-06-08,11,2044,134,368,Z1VEG7Ku2Ys,0.071110237252588,The Next James Bond - David Beckham v James Corden,1,1,The Late Late Show with James Corden,1aaacc
2018-05-03,34,8127,403,806,5Jtvv7vQxIA,0.071110237252588,Gymnastics with Terry Crews | Kevin Hart: What The Fit Episode 9 | Laugh Out Loud Network,1,1,LOL Network,1aaacd
2018-08-02,5,2060,84,371,kV4f7gnyX3c,0.071110237252588,8 Crazy Mission: Impossible Stunts Tom Cruise Did Himself,1,1,Screen Rant,1aaace
2013-01-16,24,19,400,578,KM4Xe6Dlp0Y,1.351094507799187,"Looks aren't everything. Believe me, I'm a model. | Cameron Russell",19,1,TED,1aaad
2011-10-13,19,12,178,1131,P_6vDLq64gE,0.8533228470310651,Pamela Meyer: Cómo descubrir a un  mentiroso,12,1,TED,1aaada
2014-02-07,13,10,230,839,P3fIZuW9P_M,0.42666142351553205,The person you really need to marry | Tracy McMillan | TEDxOlympicBlvdWomen,6,1,TEDx Talks,1aaadb
2014-06-27,26,9584,482,599,eIho2S0ZahI,0.5688818980207101,Julian Treasure: Cómo hablar de forma que la gente te quiera oír,8,1,TED,1aaadc
2012-03-02,10,2903,230,1145,c0KYU2j0TM4,0.42666142351553205,Susan Cain: El poder de los introvertidos,6,1,TED,1aaadd
2014-10-07,2,1185,56,727,gXlIAS-rI4E,0.355551186262944,Meaghan Ramsey: Por qué pensar que eres feo es dañino,5,1,TED,1aaade
