pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2020-04-24,121,418,1550,235,1B5UdkzxcbE,0.128718226068144,"Today, The U.S. Passed 50,000 Deaths Due To COVID-19 | MTP Daily | MSNBC",2,4,MSNBC,1
2020-04-24,44,179,2786,531,aNxd2WvIOnA,17.44131963223364,Trump Falsely Claims Injecting Disinfectant Remark Was 'Sarcastic' | The 11th Hour | MSNBC,271,1,MSNBC,1a
2020-04-24,243,420,7606,526,HfBf1hYH3MI,13.25797728501893,Schiff On ‘Profound And Disturbing Echo’ Of Impeachment In Trump Pandemic Response | All In | MSNBC,206,1,MSNBC,1aa
2020-04-24,44,179,2786,531,aNxd2WvIOnA,17.44131963223364,Trump Falsely Claims Injecting Disinfectant Remark Was 'Sarcastic' | The 11th Hour | MSNBC,271,1,MSNBC,1aaa
2020-04-24,145,120,3445,407,8cQlqlfXzyk,11.134126554894538,"Hayes: Instead Of Plan, WH Gives Us Pathological, Narcissistic Propaganda Show | All In | MSNBC",173,1,MSNBC,1aab
2020-04-22,1,774,37,954,jyOnfK_UMV4,10.554894537587886,Gov. Andrew Cuomo - Meeting Trump and Reopening New York | The Daily Social Distancing Show,164,1,The Daily Show with Trevor Noah,1aac
2020-04-24,285,463,6257,655,lX4v9Sx99ZY,9.653866955110871,Jake Tapper calls Trump's claim of sarcasm a 'bald-faced lie',150,1,CNN,1aad
2020-04-24,347,357,7418,349,B3gy7RbwNak,12.678745267712277,'Caught': Trump Flees His Own Briefing After Getting Busted For Toxic Misinformation | MSNBC,197,1,MSNBC,1aae
2020-04-24,44,191,3977,348,YJIX11J1qzk,13.51541373715522,Brinkley: Nothing Else Like Trump's 'Cavernous Stupidity' In U.S. History | The 11th Hour | MSNBC,210,1,MSNBC,1aaf
2020-04-24,423,464,4776,1274,C92LlAnGScc,11.906435911303408,"NBC Nightly News Broadcast (Full) - April 24th, 2020 | NBC Nightly News",185,1,NBC News,1aag
2020-04-24,1,2920,17,710,sqI5_jH-AbY,6.435911303407247,Trump Suggests Disinfectant To Kill Virus Inside The Body | Morning Joe | MSNBC,100,1,MSNBC,1aah
2020-04-24,74,66,1146,677,_tlyNJxGgWs,6.371552190373174,"Shields and Brooks on Trump’s briefings, coronavirus aid",99,1,PBS NewsHour,1aai
2020-04-24,13,55,1423,269,M3w2CrYiBtc,5.921038399134668,Ignorance Among Our Nation’s Leaders Is Not A Lonely Condition | Rachel Maddow | MSNBC,92,1,MSNBC,1aaj
2020-04-24,44,191,3977,348,YJIX11J1qzk,13.51541373715522,Brinkley: Nothing Else Like Trump's 'Cavernous Stupidity' In U.S. History | The 11th Hour | MSNBC,210,1,MSNBC,1ab
2020-04-24,44,179,2786,531,aNxd2WvIOnA,17.44131963223364,Trump Falsely Claims Injecting Disinfectant Remark Was 'Sarcastic' | The 11th Hour | MSNBC,271,1,MSNBC,1aba
2020-04-24,243,420,7606,526,HfBf1hYH3MI,13.25797728501893,Schiff On ‘Profound And Disturbing Echo’ Of Impeachment In Trump Pandemic Response | All In | MSNBC,206,1,MSNBC,1abb
2020-04-24,347,357,7418,349,B3gy7RbwNak,12.678745267712277,'Caught': Trump Flees His Own Briefing After Getting Busted For Toxic Misinformation | MSNBC,197,1,MSNBC,1abc
2020-04-24,145,120,3445,407,8cQlqlfXzyk,11.134126554894538,"Hayes: Instead Of Plan, WH Gives Us Pathological, Narcissistic Propaganda Show | All In | MSNBC",173,1,MSNBC,1abd
2020-04-24,13,55,1423,269,M3w2CrYiBtc,5.921038399134668,Ignorance Among Our Nation’s Leaders Is Not A Lonely Condition | Rachel Maddow | MSNBC,92,1,MSNBC,1abe
2020-04-24,1650,15,152,386,HohStgcWYBo,2.059491617090319,Health Of Long-Term Care Facilities Crucial To Coronavirus Fight | Rachel Maddow | MSNBC,32,1,MSNBC,1abf
2020-04-24,1,2920,17,710,sqI5_jH-AbY,6.435911303407247,Trump Suggests Disinfectant To Kill Virus Inside The Body | Morning Joe | MSNBC,100,1,MSNBC,1abg
2020-04-24,22,40,447,180,WCRMF7yUkbw,4.312060573282856,Dr. Zeke Emanuel On Trump ‘Disinfectant’ Comments | The Last Word | MSNBC,67,1,MSNBC,1abh
2020-04-24,708,563,6913,903,0WuwYdSdjlw,7.272579772850189,Breaking Down Trump's Thursday Press Briefing | Morning Joe | MSNBC,113,1,MSNBC,1abi
2020-04-24,117,101,1604,536,KIWmzlgCCyo,8.495402920497567,'Dumb' And 'Vicious': Gov. Cuomo Blasts GOP Leader McConnell Amidst Trump Recession | MSNBC,132,1,MSNBC,1abj
2020-04-24,145,120,3445,407,8cQlqlfXzyk,11.134126554894538,"Hayes: Instead Of Plan, WH Gives Us Pathological, Narcissistic Propaganda Show | All In | MSNBC",173,1,MSNBC,1ac
2020-04-24,44,179,2786,531,aNxd2WvIOnA,17.44131963223364,Trump Falsely Claims Injecting Disinfectant Remark Was 'Sarcastic' | The 11th Hour | MSNBC,271,1,MSNBC,1aca
2017-05-14,3,3605,62,7755,DevNudhaGv4,1.8664142779881012,"Sun Tzu - El Arte de la Guerra (Audiolibro Completo en Español con Música) ""Voz Real Humana""",29,1,AMA Audiolibros,1acb
2020-04-24,285,463,6257,655,lX4v9Sx99ZY,9.653866955110871,Jake Tapper calls Trump's claim of sarcasm a 'bald-faced lie',150,1,CNN,1acc
2017-11-11,1,389,10,3941,IzZqeWNpe3U,1.5446187128177389,J.S. Bach: Oboe Concertos,24,1,Brilliant Classics,1acd
2020-04-22,566,477,6912,821,JBCicP17ZFY,5.47052460789616,John Kerry: Coronavirus May Be America's 'Moment Of Truth' | Morning Joe | MSNBC,85,1,MSNBC,1ace
2020-04-24,117,101,1604,536,KIWmzlgCCyo,8.495402920497567,'Dumb' And 'Vicious': Gov. Cuomo Blasts GOP Leader McConnell Amidst Trump Recession | MSNBC,132,1,MSNBC,1acf
2020-04-24,1,1625,16,659,uPxct29FqD0,4.054624121146566,Anderson Cooper: Trump just lied about something we all witnessed,63,1,CNN,1acg
2020-04-24,347,357,7418,349,B3gy7RbwNak,12.678745267712277,'Caught': Trump Flees His Own Briefing After Getting Busted For Toxic Misinformation | MSNBC,197,1,MSNBC,1ach
2017-05-04,240,236,3952,3073,_zZqwtEdgJk,1.5446187128177389,Los siete sabios de Grecia | Carlos García Gual,24,1,FUNDACIÓN JUAN MARCH,1aci
2019-09-20,1,2208,23,11971,BgoA8u5mbew,1.5446187128177389,"Hermes Trismegisto - Corpus Hermeticum (Audiolibro Completo en Español) ""Voz Real Humana""",24,1,AMA Audiolibros,1acj
2020-04-24,423,464,4776,1274,C92LlAnGScc,11.906435911303408,"NBC Nightly News Broadcast (Full) - April 24th, 2020 | NBC Nightly News",185,1,NBC News,1ad
2020-04-24,158,270,862,3198,TfIb_UqwtDQ,3.925905895078421,Live: California Gov. Newsom Gives Update On Coronavirus Response | NBC News,61,1,NBC News,1ada
2020-04-24,478,596,3681,3183,mdaX5vguCDk,4.569497025419145,Live: New York Gov. Andrew Cuomo Holds Coronavirus Briefing | NBC News,71,1,NBC News,1adb
2020-04-23,1,813,8354,1268,vIbRuNdrn6k,3.153596538669551,"NBC Nightly News Broadcast (Full) - April 23rd, 2020 | NBC Nightly News",49,1,NBC News,1adc
2020-04-24,54,56,417,3406,zjnuUQF4In4,3.153596538669551,"PBS NewsHour full episode, Apr 24, 2020",49,1,PBS NewsHour,1add
2020-02-24,3,1945,17,7258,JvEas_zZ4fM,2.896160086533261,Watch CNBC's full interview with Berkshire Hathaway CEO Warren Buffett,45,1,CNBC Television,1ade
,-1,-1,-1,-1,KZ-tCc3S8V8,2.059491617090319,,32,1,,1adf
2020-04-24,243,420,7606,526,HfBf1hYH3MI,13.25797728501893,Schiff On ‘Profound And Disturbing Echo’ Of Impeachment In Trump Pandemic Response | All In | MSNBC,206,1,MSNBC,1adg
2020-04-20,85,164,955,3590,_w3lgXDT9GU,2.381287182260681,"ABC News Prime: Lockdown protests, Boston the next COVID-19 frontline, new concerns of blood clots",37,1,ABC News,1adh
2020-04-18,4,3650,18,1131,KyOxKyupxhM,2.188209843158464,"NBC Nightly News Broadcast (Full) -  April 18th, 2020 | NBC Nightly News",34,1,NBC News,1adi
