pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
,-1,-1,-1,-1,KmXbjnRcFpM,0.12911566971211802,,2,6,,1
2020-04-29,92,70,5056,1588,Aj2vB_VITXQ,8.521634200999827,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium (Blood Vessels and Clots)?,132,1,MedCram - Medical Lectures Explained CLEARLY,2
2020-04-27,221,122,13,1021,22Bn8jsGI54,8.650749870711946,Coronavirus Pandemic Update 61: Blood Clots & Strokes in COVID-19; ACE-2 Receptor; Oxidative Stress,134,1,MedCram - Medical Lectures Explained CLEARLY,2a
2020-04-29,92,70,5056,1588,Aj2vB_VITXQ,8.521634200999827,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium (Blood Vessels and Clots)?,132,1,MedCram - Medical Lectures Explained CLEARLY,2aa
2020-04-27,221,122,13,1021,22Bn8jsGI54,8.650749870711946,Coronavirus Pandemic Update 61: Blood Clots & Strokes in COVID-19; ACE-2 Receptor; Oxidative Stress,134,1,MedCram - Medical Lectures Explained CLEARLY,2aaa
2020-04-29,92,70,5056,1588,Aj2vB_VITXQ,8.521634200999827,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium (Blood Vessels and Clots)?,132,1,MedCram - Medical Lectures Explained CLEARLY,2aaaa
2020-04-27,221,122,13,1021,22Bn8jsGI54,8.650749870711946,Coronavirus Pandemic Update 61: Blood Clots & Strokes in COVID-19; ACE-2 Receptor; Oxidative Stress,134,1,MedCram - Medical Lectures Explained CLEARLY,2aaaaa
2016-04-07,4,5940,76,290,G9KG7_Jd4WE,6.197552146181692,Wicked Game,96,1,Chris Isaak,2aaaab
,-1,-1,-1,-1,sWTMzu3xpEA,3.292449577659024,,51,1,,2aaaac
2020-04-28,129,76,4861,660,DtPwfihjyrY,8.26340286157559,Coronavirus Pandemic Update 62: Treatment with Famotidine (Pepcid)?,128,1,MedCram - Medical Lectures Explained CLEARLY,2aaaad
2020-04-21,289,164,9950,1113,NM2A2xNLWR4,3.292449577659024,"Coronavirus Pandemic Update 59: Dr. Seheult's Daily Regimen (Vitamin D, C, Zinc, Quercetin, NAC)",51,1,MedCram - Medical Lectures Explained CLEARLY,2aaaae
