channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
MSNBC,1,65,166,g8Hf4uClUyE,['1hfa'],370,0.257436452136289,4,2020-04-24,"['M3w2CrYiBtc', 'aNxd2WvIOnA', 'C92LlAnGScc', 'JBCicP17ZFY', 'HohStgcWYBo', 'c2IeCyBkFbI', 'HfBf1hYH3MI', 'TTzwdmpbbHA', 'YJIX11J1qzk', 'B3gy7RbwNak', 'KIWmzlgCCyo', 'E0WI_lbztOE', 'NnOVF1152GM', 'uPxct29FqD0', '8cQlqlfXzyk', 'z5G8UQ--FSw', 'CNHCGKZ3fQU', '0WuwYdSdjlw', 'f2UBYZkBG1E', 'zPDNlk7UcyI']",Thorough Testing Reveals Surprising Extent Of Coronavirus Spread | Rachel Maddow | MSNBC,3464
NBC News,1,560,1382,4zk_6doQ480,"['1bae', '1bbb']",1513,0.9010275824770141,14,2020-04-24,"['mdaX5vguCDk', 'TfIb_UqwtDQ', 'RUEfyJmaKQc', 'qEfBUbgAEZ4', 'gTeJujh3tSo', 'e9yK1QndJSM', 'V33U1OsFVnQ', 'vIbRuNdrn6k', 'kXybEAxL1tE', 'C92LlAnGScc', 'jyOnfK_UMV4', 'DevNudhaGv4', '6DB_p2sMJTE', 'e_Snu0jwcNc', 'x9InrkASyf8', 'DzK8dS3IcVA', 'wric4Hmlrr4', 'smkyorC5qwc', '1jUVIFfGqcM', 'Lp7z_ti5uEQ']",Live: President Donald Trump Signs Coronavirus Relief Bill | NBC News,330
MSNBC,2,18,451,phsU1vVHOQI,['1ib'],86,0.321795565170362,5,2017-09-15,"['tHv0RExQsPQ', 'jSDj9E2dgWs', '0B4nS1-ScYw', 'NxFkEj7KPC0', 'FEpwkaJQh1k', 'BWO6i8cH8SA', 'aNxd2WvIOnA', 'AKgq0rnIR7g', 'BTIfGFJqLko', 'sQOAtztz8fc', 'e9yK1QndJSM', 'YJIX11J1qzk', 'IsF53JpBMlk', 'rFGE3X6Yhj0', 'Io5V8JBHWb0', 'nPxEroNSYDo', 'B_zdHfLeaZo', 'tzZGuFJTs1I', '9Eg-myT7PDE', 'sqI5_jH-AbY']",Language Expert: Donald Trump's Way Of Speaking Is 'Oddly Adolescent' | The 11th Hour | MSNBC,12
TEDx Talks,1,1735,1003,YlI-e4QJWG0,['1ffe'],61,0.128718226068144,2,2018-03-15,"['ESwDIXXyh_Y', 'nmrRJammHqs', 'NPE7i8wuupk', 'ninrJokK-oA', 'd0yGdNEWdn0', 'aQ-IeBfQwGM', 'Veh7aIhSm_M', 'HLIJkmy3vy8', 'Vg5sfCX8B8I', 'EFdEmbuikOw', 'pFLpr4giHBM', '5s0Hw3qn5X4', 'rNwnEwlsNSA', 'iVZOAq4OO-U', '3X30vGbLol8', 'NzmImYZTX2M', 'DfVEVHi-HWw', 'tIAQtN8xer0', 'Kh0YNAtj69o']",Persuade con tu voz. Estrategias para sonar creíble. | Emma Rodero | TEDxMalagueta,2
,1,-1,-1,_PsB2e0U5FU,['1iga'],-1,0.5792320173066521,9,,[],,-1
TEDx Talks,1,10,839,P3fIZuW9P_M,['1faj'],230,1.094104921579232,17,2014-02-07,"['44J3FGYKltI', 'jodhovumkHQ', 'Lp7E973zozc', 'gh5VhaicC6g', 'o4Y5Mr8rZ9A', 'd0yGdNEWdn0', 'eyq2Wo4eUDg', 'vVsXO9brK7M', '5MgBikgcWnY', 'xp0O2vi8DX4', 'veEQQ-N9xWU', 'oDJ0dRb4-XY', 'vuIlsN32WaE', '8zw7AXwnb8M', '3E46oWB4V0s', 'TFbv757kup4', 'LNHBMFCzznE', 'Fqw-9yMV0sI', 'xnLoToJVQH4']",The person you really need to marry | Tracy McMillan | TEDxOlympicBlvdWomen,13
NBC News,1,1149,1273,QwPLPK1ax3c,['1bii'],9941,0.257436452136289,4,2020-04-20,"['vIbRuNdrn6k', 'Km-DMU1SQiY', 'mdaX5vguCDk', 'A4D4I0qNEYU', 'dRFbwjwQ4VE', '72CtMFyAmjs', 'w_Ma8oQLmSM', 'Z58KFHOaLD8', 'pCEYFxJRcGM', 'C92LlAnGScc', '-EzURpTF5c8', 'X33aqdYUAQM', 'eu-iWddghhQ', 'lX4v9Sx99ZY', 'kXybEAxL1tE', 'pvDXtJBwXAM', 'ESW4Xzm6R7M', 'STGN2-NJvvA', 'VSQnOS7t4Gg', '6wC3ohcA6R8']","NBC Nightly News Broadcast (Full) - April 20th, 2020 | NBC Nightly News",1
CNN,1,463,655,lX4v9Sx99ZY,"['1aad', '1acc', '1af', '1ahb', '1bgd', '1bjg', '1eaf', '1ebc', '1ed', '1haf', '1hbd', '1hdc', '1hib', '1jaf', '1jbd', '1jec', '1jfa']",6257,9.653866955110871,150,2020-04-24,"['uPxct29FqD0', 'D9l1M_6MNxw', 'C92LlAnGScc', 'JBCicP17ZFY', 'jSxxwrFQBhI', '_tlyNJxGgWs', 'YJIX11J1qzk', 'MGju7e0n7t0', 'c_KeluilBcs', 'B3gy7RbwNak', 'jyOnfK_UMV4', 'qVppu2_QnLI', 'ffEVhvIrbC8', 'g8VKJxZLhMo', 'HfBf1hYH3MI', 'APoSHB9pQk8', 'QFxIbxD1CYc', '0xqZaqf_1BM', 'aNxd2WvIOnA', 'r2xPTP5hr6o']",Jake Tapper calls Trump's claim of sarcasm a 'bald-faced lie',285
La Resistencia en Movistar+,1,3494,1034,efJUYhjkFLI,['1gac'],245,0.7079502433747971,11,2020-01-30,"['85d_IyE56SA', 'nLJXEX86318', 'teAGAJzPvoY', '8emUM2lEngo', 'eIBKkUvXWv8', 'zZa8PFYtWr4', 'w2lIBQXU7do', 'GGXIR6uzXJM', 'pCch9emSXqA', 'mwRSI1kS6So', 'm2Japz0oJek', 'sbJWGdoMzDQ', 'bqWfNPCqaX4', 'Z0GcXkkgyAM', 'xjtMRIS51yk', 'MPF6GOV7GOg', 'TnijhEMItQg', 'NH9AZQv05yg', 'WU9wlDoAiPE']",LA RESISTENCIA - Entrevista a Miquel Montoro | Parte 1 | #LaResistencia 30.01.2020,6
La Resistencia en Movistar+,1,2955,1185,pCch9emSXqA,"['1ga', '1gce']",56,1.029745808545159,16,2020-02-27,"['GGXIR6uzXJM', 'COlYE1ZtJOw', 'efJUYhjkFLI', 'M_zUCawOYbc', 'm2Japz0oJek', 'YPNj8p0duv0', '8emUM2lEngo', 'B1h-R2rJEfE', 'Z0GcXkkgyAM', 'NcXEssY1bAU', 'w2lIBQXU7do', 'eIBKkUvXWv8', 'NH9AZQv05yg', 'mwRSI1kS6So', '_xzAYq_nHx8', 'qe9LJNs-Y38', 'dn7xq96U0O0', 'nLJXEX86318', 'WICEA9y39gI']",LA RESISTENCIA - Entrevista a Najwa Nimri | #LaResistencia 27.02.2020,2
