channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
Gustavo Mario Rodriguez,1,4173,420,p8GrY6JLauY,['2babde'],58,0.193673504568177,3,2015-04-28,"['0pKcbU_NaGo', 'XFkzRNyygfk', 'uo92iIPOYY4', 'c8uAnqwWERM', 'k2hGmoWFzaA', '_4E7LoI5mBY', 'wIz-j0f1JHE', 'WDGKU8oeNjM', 'N5oibu-B-jo', '0S1BBUVRjcU', 'G4yRUO5IR8o', 'PIzPCybpxS4', 'P69zGo4d-zA', 'aQ1fdwqTVK0', 'rdi0XoOCV04', 'JyGNABrosb8', 'Emsh-hIadx0', 'NImOOdV6qfg', 'SNAiA4Aygpg']",Radiohead   Creep Ultrasound Extended Version,10
Dirty Medicine,1,13,1342,toNPe3bppcU,['2dedad'],484,0.322789174280296,5,2019-08-01,"['Rmx11JpKLGA', 'IpHaGrYNTag', 'N2EsvFkUTH8', 'g-61CDnGXrY', 'wI2RC3_Y1KA', 'MaOwZnSpkB4', 'XNXVGAneSyk', 'DupMaV2jzgE', 'U3VbjS7WqOE', 'IFzhdlJED8E', 'b6XbuS34TGo', 'JKlcblPQqrU', 'j3inAqpQ2aI', 'QTirwqYNNHg', 'aekJLTJNpNg', 'fFvswwX7Ops', '2OoT-RQO6Sw', '7X04ArbPp7A', 'teJcTTVZnzs', 'vGoA_EPEw-M']",Transplant Rejection,20
,1,-1,-1,sWTMzu3xpEA,"['2aaaac', '2aac', '2aadac', '2aaeac', '2abac', '2abbac', '2c', '2daaac', '2dac', '2dadac', '2daeac', '2dbac', '2dbbac', '2eaaac', '2eac', '2eadac', '2eaeac', '2ebac', '2ebbac', '2edac', '2edbac', '2eeaac']",-1,3.292449577659024,51,,[],,-1
Phil Collins,1,1164,337,vyB5pG0Wo7M,"['2bdeba', '2bdec']",16,0.581020513704533,9,2020-01-25,"['6Hmrc3IzvAA', 'Y-vj8V522OQ', 'no4qgpbJQ7E', 'IeDMnyQzS88', 'kIufLA7Bx2Q', 'ZgZCtHtmYw0', 'dYV6KZpnEak', 'CiXNIjGX1hY', 'MODkE9f3GQ8', '3sWYjqOseBA', '5soq6RLoIz8', 'u9KOaLriy_w', 'Is_2Ng2-yIY', 'YR5ApYxkU-U', 'T-3qF8v9CTw', 'jl0d0Q7MyzA', 'LNNPNweSbp8', 'ZLCG6DJTNBs', 'OUZDkBjIPS0']",In The Air Tonight (2015 Remaster),768
MrVinylObsessive,1,69,653,3TFhBmZdjs0,['2beabc'],2601,0.193673504568177,3,2015-12-28,"['cBlDgmfGCqw', '7I-Dw51Yzh8', 'V8oaxsHC0fs', 'uRd3pwHj0V8', 'dqo2DxUBb-o', 'deiV8BHs60A', 'R3hL5gj9YKc', '1eNSWZ4x2ZU', 'TEeciEYlK00', '_ytFg0hFad8', 'kxaxe4DfTfA', 'PxaMegcmrNU', 'T2u2eqerRks', 'q7uS1RxHZ_0', '0GPrFUKkXVM', 'eYhy5z2exQk', 'gFRWbugvySM', 'Ym1c7YvEIUs', 'hudgfkOm6Fk']",SADE - Sweetest Taboo & Jezebel,262
Phil Collins,1,3308,337,8_Xs8nzrrkM,"['2aabee', '2baaee', '2bdcee', '2bded', '2bee', '2beeab', '2beedc', '2dabee', '2eabee']",50,1.5493880365454231,24,2016-01-28,"['DffbA1ITSEE', 'IeDMnyQzS88', 'ZgZCtHtmYw0', 'uR_2MMar0s0', 'H7fc9NbX9a0', 'S6Y1gohk5-A', '3sWYjqOseBA', 'jl0d0Q7MyzA', '4jA-_g_iSY0', 'aQ1fdwqTVK0', 'Qt2mbGP6vFI', 'QVgqKIpMdoU', 'QkF3oxziUI4', 'P86JdaapRjo', 'QAo_Ycocl1E', 'G9KG7_Jd4WE', 'lTPf00VMnJo', 'Y9d72n2fX6g', 'XujEruAWcR4']",In The Air Tonight,3
RHINO,1,1579,483,QkF3oxziUI4,"['2baea', '2bcded', '2beeeb']",48,1.291156697121186,20,2018-07-03,"['FuD9mnWmbpE', 'bwqfwieV-mc', '_4E7LoI5mBY', '6hBLHkmBKDg', '54W8kktFE_o', 'dZitPJMh60A', '-EzURpTF5c8', 'y6lfK3bH4z8', '7G2-FPlvY58', 'H7fc9NbX9a0', 'tzVJPgCn-Z8', 'jVHhV3A5C5c', 'iXQUu5Dti4g', 'Fk0V_GGa2XM', 'lTPf00VMnJo', 'MHY8oReiE_U', 'Y9d72n2fX6g', 'xbhCPt6PZIU']",Led Zeppelin - Stairway To Heaven (Official Audio),4
ella y el abanico Montse Roura,1,1191,2350,OOlHlYX8MgA,"['2abddd', '2acedd', '2dcedd', '2ddaed', '2dddd', '2edddd']",15,1.5493880365454231,24,2014-10-28,"['Sc27blmGgvY', 'SvdCVFPDahA', 'mt298b44Npk', 'cYpiVg9sVQo', 'Z_C3Jn3PyXc', 'HCy4pEavU6I', 'iwiuxu17aCI', 'MU0pbgkq2-s', '-7zsg3jrpF0', '-0BPJ4izog0', 'UbfJIx0nQ7A', '-6cVlZhTfHI', 'FNjEaUb1BW4', 'gn0A2j3PYJs', 'F8Y_ufc5KGY', 'tld2nLkWovs', 'rXpyZ2B7isc', 'ogwcRLkjrHY', '9Jnytdb2JYk', 'CZXXttJIWkw']","""Qué podemos hacer contra la sequedad vaginal"". IIFDM/Barcelona 2014.",982
GaruruDen,1,705,1000,r7siTcM_tik,['2bcccb'],5609,0.12911566971211802,2,2017-06-07,"['6VwK4iuH_EE', 'X4J7Z3kqKLQ', 'Bdy7XhDbzxI', 'lR7icNffxXE', 'GTYJvWUHIec', 'MttxeCt_968', 'WL41kS5OFxQ', 'OY1xB2qFoYY', 'UOHdDEgXYlk', 'A0QkGThnKNQ', 'JPctC3HNLwM', 'M4EZ8kpX3Os', 'aQ1fdwqTVK0', 'NKjLhrWC02U', '0MmEEsPQnsI', 'rdi0XoOCV04', 'w9joiuc_Oic', 'c8shqjGS_3U', 'sc2ysHjSaXU']",Buffalo soldier - Bob Marley (Looped and Extended),2
Dr. Veller,1,19,3598,BBBI4zQwcGE,"['2accae', '2dccae']",697,0.9038096879848301,14,2017-01-21,"['3N854EfXQqU', 'V3WY2dEonsM', 'Uep7VII-hYE', 'FuMBIL4KfcI', 'I_pfTqf3R5E', 'T6Rb1K9bHSk', 'tygI_Aw7i8I', 'QzIpvO0COIw', 'BeKs-SwCp6Y', 'UsFXZh8Fo6M', 'cO3ZTxmDNlI', '2G546_0_hTU', '_-SVPAXbRvU', 'd3Vi5LhnAtg', 'qzuQiiSyvoc', 'SLe281LBBRU', 'UIJCuWvarDY', 'KXhWIBilEfU', 'WNt8agn1YvU', 'oLvhA1gYTaU']",Shock Cardiogénico,37
