channel,genre,N
LastWeekTonight,Entertainment,81
Fox News,News & Politics,53
MSNBC,News & Politics,43
Valuetainment,Education,37
The Obama White House,News & Politics,37
Reagan Library,Education,36
HooverInstitution,News & Politics,34
The Hill,News & Politics,30
PowerfulJRE,People & Blogs,24
Team Coco,Comedy,22
NBC News,News & Politics,20
CNN,News & Politics,20
CNBC,News & Politics,20
The Daily Show with Trevor Noah,Comedy,18
Wendover Productions,Education,17
60 Minutes Australia,Entertainment,17
ABC News,News & Politics,15
TEDx Talks,Nonprofits & Activism,14
The Late Show with Stephen Colbert,Entertainment,13
Yahoo Finance,News & Politics,13
Al Jazeera English,News & Politics,13
PBS NewsHour,News & Politics,13
LastWeekTonight,Film & Animation,12
Global News,News & Politics,11
OxfordUnion,News & Politics,11
Sam Chui,Travel & Events,11
ITV News,News & Politics,11
Democracy Now!,News & Politics,11
Kirsten Dirksen,Howto & Style,11
Loudwire,Music,10
The Rubin Report,News & Politics,10
CNBC Television,News & Politics,9
Roots and Refuge Farm,People & Blogs,9
The Eric Metaxas Radio Show,Entertainment,9
TODAY,News & Politics,8
CBS News,News & Politics,8
TheEllenShow,Entertainment,8
truly,News & Politics,8
History Buffs,Education,7
BuzzFeed Multiplayer,People & Blogs,7
Good Morning Britain,Entertainment,7
KONCRETE Podcast,Entertainment,7
FOX 10 Phoenix,News & Politics,7
Al Jazeera English,Entertainment,7
Late Night with Seth Meyers,Comedy,6
CBC News,News & Politics,6
Politics and Prose,News & Politics,6
Yad Vashem,Education,6
Experience Egypt,Autos & Vehicles,5
Living Big In A Tiny House,Howto & Style,5
criminals and crime fighters,People & Blogs,5
Advoko MAKES,Film & Animation,5
Tom McElroy-Wild Survival,People & Blogs,4
The Modern Home Project,Howto & Style,4
Bloomberg,News & Politics,4
VICE News,News & Politics,4
Urban Farmer Curtis Stone,Howto & Style,4
MsMojo,Entertainment,4
MLive,News & Politics,4
Channel 4 News,News & Politics,4
Cherzo,Entertainment,4
ReaganFoundation,Nonprofits & Activism,4
Maangchi,Howto & Style,4
Top Speed Golf - Clay Ballard,Sports,4
vpro documentary,News & Politics,4
WORLD Channel,News & Politics,4
FRONTLINE PBS | Official,News & Politics,4
Liberty University,Education,4
Guardian News,News & Politics,4
The Agenda with Steve Paikin,Education,4
Washington Week,News & Politics,4
SixthFloorMuseum,Education,4
CBC News: The National,News & Politics,3
David Rubenstein,News & Politics,3
Politics and Prose,Education,3
Sky News Australia,News & Politics,3
C-SPAN,News & Politics,3
Harvard University,Education,3
Washington Post,News & Politics,3
Governor Larry Hogan,People & Blogs,3
Stanford,Education,3
Goalcast,Entertainment,3
TED,Science & Technology,3
The View,News & Politics,3
Jimmy Kimmel Live,Entertainment,3
Exploring Alternatives,Howto & Style,3
The Intercept,News & Politics,3
The Sun,News & Politics,3
Talks at Google,People & Blogs,3
Buon-A-Petitti,Howto & Style,3
SWAY'S UNIVERSE,Entertainment,3
thechesswebsite,Education,3
ReasonTV,News & Politics,3
VICE,Entertainment,3
MotivationHub,Education,3
NBC New York,News & Politics,3
criminals and crime fighters,Entertainment,3
ReaganFoundation,Education,3
Fox Business,News & Politics,3
Real Time with Bill Maher,Film & Animation,3
socratesinthecity,Education,2
Undecided with Matt Ferrell,Science & Technology,2
True Crime Daily,News & Politics,2
Real Stories,Education,2
WatchMojo.com,Music,2
Inc.,People & Blogs,2
TEDMED,Entertainment,2
DW Documentary,Education,2
Sydney Living Museums,Education,2
92nd Street Y,Nonprofits & Activism,2
NETNebraska,Entertainment,2
TIME,News & Politics,2
USA,People & Blogs,2
Hillsdale College,Education,2
Tiny House Expedition,Nonprofits & Activism,2
Wendover Productions,Entertainment,2
CBS Evening News,News & Politics,2
Breakfast Club Power 105.1 FM,Entertainment,2
the Luxury Travel Expert,Travel & Events,2
lil Piece of Hart * LOW CARB Cooking *,Howto & Style,2
Skavlan,Music,2
Pask Makes,Howto & Style,2
NowThis News,News & Politics,2
Timeline - World History Documentaries,Education,2
TA Outdoors,People & Blogs,2
CBS,News & Politics,2
Our Journey In Myles,Travel & Events,2
CBS Sunday Morning,News & Politics,2
Pepperdine School of Public Policy,Education,2
Real Families,Howto & Style,2
Skavlan,People & Blogs,2
FRANCE 24 English,News & Politics,2
Seattle Channel,News & Politics,2
fullychargedshow,Science & Technology,2
Real Stories,Film & Animation,2
Sailing SV Delos,Travel & Events,2
The Daily Conversation,News & Politics,2
Movieclips,Film & Animation,2
The New York Times,News & Politics,2
BBC Newsnight,News & Politics,2
Click On Detroit | Local 4 | WDIV,News & Politics,2
Great Indoor Ideas,Entertainment,2
CBS This Morning,News & Politics,2
Dig And Delve,Nonprofits & Activism,2
