channel,key,fake
Fox News,4284,
LastWeekTonight,1731,
MSNBC,1670,
NBC News,1522,
CNBC Television,1016,
Global News,770,
ITV News,708,
The Sun,611,
Yahoo Finance,394,
TIME,378,
Guardian News,315,
PBS NewsHour,307,
USA TODAY,306,
HooverInstitution,212,
TheEllenShow,210,
Valuetainment,185,
CNBC,184,
The Obama White House,164,
Reagan Library,162,
The Eric Metaxas Radio Show,133,
NowThis News,129,
CBC News,110,
Democracy Now!,110,
The Hill,107,
Wendover Productions,100,
thechesswebsite,99,
CNN,97,
Kirsten Dirksen,90,
The Daily Show with Trevor Noah,79,
Click On Detroit | Local 4 | WDIV,78,
VICE,77,
Al Jazeera English,76,
PowerfulJRE,76,
60 Minutes Australia,67,
Washington Week,61,
OxfordUnion,54,
Sam Chui,52,
truly,48,
The Late Show with Stephen Colbert,44,
Team Coco,44,
NBC New York,42,
Loudwire,42,
ABC News,41,
Talks at Google,40,
C-SPAN,39,
CBC News: The National,38,
criminals and crime fighters,38,
vpro documentary,36,
CBS News,35,
Women Behind Bars: Life And Death In Indiana,33,
Roots and Refuge Farm,33,
Top Speed Golf - Clay Ballard,30,
David Rubenstein,28,
PBS,27,
Advoko MAKES,27,
KONCRETE Podcast,24,
Good Morning Britain,23,
ReaganFoundation,22,
The Intercept,22,
TEDx Talks,21,
Washington Post,20,
Dartmouth,19,
Liberty University,19,
FRONTLINE PBS | Official,18,
FOX 10 Phoenix,18,
92nd Street Y,18,
Politics and Prose,17,
MLive,16,
The Rubin Report,16,
Exploring Alternatives,16,
VICE News,16,
Guitarist,16,
The Telegraph,15,
Buon-A-Petitti,15,
WORLD Channel,15,
History Buffs,15,
Yad Vashem,15,
BePure - Ben Warren,15,
MsMojo,14,
Real Stories,13,
Channel 4 News,13,
Bloomberg,12,
BuzzFeed Multiplayer,12,
Healthy Homes,11,
Late Night with Seth Meyers,11,
Real Time with Bill Maher,11,
Sunflare Solar,11,
TODAY,11,
TA Outdoors,10,
Jimmy Kimmel Live,10,
The View,10,
socratesinthecity,10,
The University of Melbourne,9,
USA,9,
Eyewitness News ABC7NY,9,
The New York Times,9,
ReasonTV,9,
NYS Executive Chamber,8,
blacktreetv,8,
Fire Films,8,
The Daily Conversation,8,
Experience Egypt,8,
The Agenda with Steve Paikin,8,
The Modern Home Project,8,
WatchMojo.com,8,
