Column1,channel,N,media_bias
129,LastWeekTonight,81,HBO
86,Fox News,53,Fox News 
143,MSNBC,43,MSNBC 
245,The Obama White House,37,The Obama White House
281,Valuetainment,37,Valuetainment
188,Reagan Library,36,Reagan Library
105,HooverInstitution,34,Hoover Institution 
240,The Hill,30,The Hill 
225,Team Coco,23,TBS
10,Al Jazeera English,20,Al Jazeera
41,CNBC,20,CNBC
43,CNN,20,CNN
158,NBC News,20,NBC News 
294,Wendover Productions,19,Wendover Productions
3,60 Minutes Australia,18,CBS News 
236,The Daily Show with Trevor Noah,18,Comedy Central
5,ABC News,15,ABC News 
220,TEDx Talks,14,TED
176,PBS NewsHour,13,PBS News Hour 
243,The Late Show with Stephen Colbert,13,CBS News 
299,Yahoo Finance,13,Yahoo News 
70,Democracy Now!,11,Democracy Now 
90,Global News,11,Global News 
109,ITV News,11,ITV News 
174,OxfordUnion,11,OxfordUnion
248,The Rubin Report,10,The Rubin Report
42,CNBC Television,9,CNBC
184,Politics and Prose,9,Politics and Prose
238,The Eric Metaxas Radio Show,9,The Eric Metaxas Radio Show
34,CBS News,8,CBS News 
223,TODAY,8,NBC News 
257,TheEllenShow,8,TheEllenShow
317,truly,8,truly
79,FOX 10 Phoenix,7,Fox News 
92,Good Morning Britain,7,ITV News 
104,History Buffs,7,
122,KONCRETE Podcast,7,KONCRETE Podcast
189,ReaganFoundation,7,Reagan Library
29,CBC News,6,CBC News
130,Late Night with Seth Meyers,6,NBC News 
297,Yad Vashem,6,Yad Vashem
21,Bloomberg,4,Bloomberg
28,C-SPAN,4,C-SPAN
50,Channel 4 News,4,Channel 4 News 
51,Cherzo,4,
81,FRONTLINE PBS | Official,4,PBS News Hour 
97,Guardian News,4,The Guardian 
135,Liberty University,4,
142,MLive,4,MLive 
153,MsMojo,4,
206,SixthFloorMuseum,4,
229,The Agenda with Steve Paikin,4,
280,VICE News,4,Vice News 
286,WORLD Channel,4,
290,Washington Post,4,Washington Post 
291,Washington Week,4,The Week 
316,thechesswebsite,4,
318,vpro documentary,4,
4,92nd Street Y,3,NA
30,CBC News: The National,3,CBC News
67,David Rubenstein,3,David Rubenstein
85,Fox Business,3,Fox Business 
91,Goalcast,3,
98,Harvard University,3,Harvard Political Review 
117,Jimmy Kimmel Live,3,ABC News 
150,MotivationHub,3,
157,NBC New York,3,NBC News 
195,ReasonTV,3,Reason 
201,SWAY'S UNIVERSE,3,
210,Sky News Australia,3,Sky News 
213,Stanford,3,Stanford
242,The Intercept,3,The Intercept
249,The Sun,3,The Sun 
256,The View,3,ABC News 
279,VICE,3,Vice News 
304,criminals and crime fighters,3,
315,socratesinthecity,3,
19,BBC Newsnight,2,BBC News
24,Breakfast Club Power 105.1 FM,2,
32,CBS,2,CBS News
33,CBS Evening News,2,CBS News 
35,CBS Sunday Morning,2,CBS News 
36,CBS This Morning,2,CBS News 
56,Click On Detroit | Local 4 | WDIV,2,
62,DW Documentary,2,DW News 
71,Dig And Delve,2,
80,FRANCE 24 English,2,France 24 
94,Great Indoor Ideas,2,
102,Hillsdale College,2,
112,Insider,2,
136,London,2,
159,NETNebraska,2,
168,NowThis News,2,
181,Pepperdine School of Public Policy,2,
191,Real Stories,2,
198,Richard Nixon Foundation,2,
203,Seattle Channel,2,
217,Sydney Living Museums,2,
218,TED,2,TED
219,TEDMED,2,TED
222,TIME,2,
235,The Daily Conversation,2,
244,The New York Times,2,New York Times 
261,Timeline - World History Documentaries,2,
262,Tiny House Expedition,2,
268,True Crime Daily,2,
296,Women Behind Bars: Life And Death In Indiana,2,
1,10 Downing Street,1,NA
2,16x9onglobal,1,NA
6,AQUAHOLIC,1,NA
7,ARD,1,NA
8,Aashpazi.com,1,NA
9,Al Jazeera America,1,Al Jazeera
11,Alan Howard / JW3 Speaker Series,1,
12,American Diabetes Association,1,
13,American Masters PBS,1,PBS News Hour 
14,Andrew DC TV,1,
15,Ashish Pandey,1,
16,Attitude,1,
17,BBC,1,BBC News
18,BBC News,1,BBC News
20,Bloggingheads.tv,1,
22,Bloomberg Markets and Finance,1,Bloomberg
23,Bobblehead Conan,1,
25,Brian Tyler Cohen,1,
26,Business Casual,1,
27,Business Insider,1,Business Insider
31,CBN News,1,ABS-CBN 
37,CBSN,1,CBS News 
38,CMX,1,
39,CNA,1,Channel News Asia CNA 
40,CNA Insider,1,Channel News Asia CNA 
44,CTV News,1,CTV News 
45,Cambridge University,1,
46,Canberra,1,
47,Centre for International Governance Innovation,1,
48,CenturaHealth,1,
49,Channel 4,1,Channel 4 News 
52,ChessNetwork,1,
53,China in Focus - NTD,1,
54,Chris Flaten,1,
55,Christopher Johnson,1,
57,Comedy Central,1,
58,Commonwealth Club,1,
59,Conversations with Bill Kristol,1,
60,Crescendo,1,
61,DAI Heidelberg,1,
63,Danielle DiMartino Booth,1,
64,Darkness to Light,1,
65,Dartmouth,1,
66,David Pakman Show,1,
68,Davidson College,1,
69,Death Row: Inside Indiana State Prison,1,
72,Dr. Phil,1,
73,DurhamUniversity,1,
74,EdChoice,1,
75,Eric Weinstein,1,
76,Extinction Rebellion,1,
77,Eyewitness News ABC7NY,1,
78,FOCLOnline,1,
82,Face the Nation,1,
83,FactFaction,1,
84,Financial Times,1,
87,Fox5NY,1,
88,Fringes,1,
89,Gervais Junkie,1,
93,Grace John,1,
95,Greenbrier Bushcraft,1,
96,Grow Successful,1,
99,Hashiroyaa,1,
100,Healthy Homes,1,
101,Henry Schein Dental,1,
103,Hippo Education,1,
106,How To Academy,1,
107,HuffPost UK,1,
108,ICallsEmLikeISeesEm,1,
110,Independent Institute,1,The Independent Institute 
111,Inside True Crime,1,
113,J.D. Funari,1,
114,JFK Assassination History,1,
115,JamPlay,1,
116,Jeremy Vine on 5 - Official Channel,1,
118,John Anderson,1,
119,John Di Domenico,1,
120,Jordan B Peterson,1,
121,KCETOnline,1,
123,KUSI News,1,
124,Khaleej Times,1,
