News Source,Website,Bias
972 Magazine ,972mag.com),Left-Center
ABC News ,abcnews.go.com),Left-Center
ABC News Australia ,www.abc.net.au),Left-Center
ABC11 Eyewitness News ,abc11.com),Left-Center
Above the Law ,abovethelaw.com),Left-Center
AceShowbiz ,aceshowbiz.com),Left-Center
ACLU ,www.aclu.org),Left-Center
Aeon ,aeon.co),Left-Center
Affinity Magazine ,affinitymagazine.us),Left-Center
African Arguments ,africanarguments.org),Left-Center
Ahval News ,ahvalnews.com),Left-Center
Akron Beacon Journal ,beaconjournal.com),Left-Center
Al Jazeera ,www.aljazeera.com),Left-Center
Al Monitor ,www.al-monitor.com),Left-Center
Al-Hayat ,www.alhayat.com),Left-Center
Al-Masdar News ,www.almasdarnews.com),Left-Center
Al-Sura ,al-sura.com),Left-Center
Alan Guttmacher Institute ,www.guttmacher.org),Left-Center
Albany Times-Union ,www.timesunion.com),Left-Center
Alberta Views ,https://albertaviews.ca),Left-Center
AllGov ,www.allgov.com),Left-Center
Allied Progress ,alliedprogress.org),Left-Center
AM New York ,www.amny.com),Left-Center
America Magazine ,www.americamagazine.org),Left-Center
American Immigration Council ,www.americanimmigrationcouncil.org),Left-Center
American Public Media ,mediabiasfactcheck.com),Left-Center
Amnesty International ,www.amnesty.org),Left-Center
Anchorage Daily News ,adn.com),Left-Center
Anniston Star ,www.annistonstar.com),Left-Center
Anthropocene Magazine ,www.anthropocenemagazine.org),Left-Center
Anti Defamation League ,www.adl.org),Left-Center
AOL ,www.aol.com),Left-Center
APM Reports ,www.apmreports.org),Left-Center
Ara News ,aranews.net),Left-Center
Areo Magazine,,Left-Center
Arizona Daily Star ,tucson.com),Left-Center
Arizona Daily Sun ,azdailysun.com),Left-Center
Arizona Republic ,www.azcentral.com),Left-Center
Arkansas Times ,www.arktimes.com),Left-Center
Arms Control Association ,https://www.armscontrol.org),Left-Center
TED,,Left-Center
Asheville Citizen-Times ,www.citizen-times.com),Left-Center
Asia Sentinel,,Left-Center
Asian Correspondent ,asiancorrespondent.com),Left-Center
Atavist Magazine ,magazine.atavist.com),Left-Center
Atlanta Black Star ,atlantablackstar.com),Left-Center
Atlanta Journal-Constitution ,www.ajc.com),Left-Center
Atlantic ,www.theatlantic.com),Left-Center
Atlantic Media ,www.atlanticmedia.com),Left-Center
ATTN: ,www.attn.com),Left-Center
Austin American-Statesman ,www.statesman.com),Left-Center
Austin Daily Herald ,austindailyherald.com),Left-Center
AV Club ,avclub.com),Left-Center
Axios ,www.axios.com),Left-Center
BackChannel ,backchannel.com),Left-Center
Balkan Insight ,balkaninsight.com),Left-Center
Baltimore Sun ,www.baltimoresun.com),Left-Center
Bangor Daily News ,bangordailynews.com),Left-Center
Baptist News Global ,baptistnews.com),Left-Center
Battle Creek Enquirer ,www.battlecreekenquirer.com),Left-Center
BBC News ,www.bbc.com),Left-Center
Beijing Review ,www.bjreview.com),Left-Center
Bellingham Herald ,bellinghamherald.com),Left-Center
Berkeleyside ,www.berkeleyside.com),Left-Center
Berkshire Eagle ,www.berkshireeagle.com),Left-Center
BillMoyers.com ,billmoyers.com),Left-Center
Bing News ,www.bing.com),Left-Center
Birmingham Mail ,www.birminghammail.co.uk),Left-Center
Bleacher Report ,bleacherreport.com),Left-Center
