,Self,Left,Right,Right-Center,Left-Center,Least Biased,Questionable,Pro Science,Satire,Conspiracy-Pseudoscience
0,Left,0.4375,0.0625,0.125,0.3125,0.0,0.0,0.0,0.0,0.0625
1,Left,0.7647058823529411,0.0,0.058823529411764705,0.17647058823529413,0.0,0.0,0.0,0.0,0.0
2,Left,0.75,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.0
3,Left,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
4,Left,0.6875,0.0625,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0
5,Left,0.4666666666666667,0.26666666666666666,0.0,0.2,0.0,0.06666666666666667,0.0,0.0,0.0
6,Left,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.4117647058823529,0.0,0.0,0.0,0.0,0.058823529411764705
7,Left,0.5625,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0625
8,Left,0.7647058823529411,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705
9,Left,0.6875,0.0625,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0
10,Left,0.6470588235294118,0.058823529411764705,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941
11,Left,0.7142857142857143,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.0
12,Left,0.75,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.1875
13,Left,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
14,Left,0.8181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
15,Left,0.6923076923076923,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.07692307692307693
16,Left,0.7857142857142857,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
17,Left,0.6153846153846154,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693
18,Left,0.5789473684210527,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0.0,0.0
19,Left,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
20,Left,0.5,0.0,0.0625,0.3125,0.0,0.0625,0.0,0.0,0.0625
21,Left,0.8461538461538461,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
22,Left,0.5454545454545454,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091
23,Left,0.7142857142857143,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.0
24,Left,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
25,Left,0.6923076923076923,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693
26,Left,0.5454545454545454,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091
27,Left,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.0
28,Left,0.7,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0
29,Left,0.6153846153846154,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385
30,Left,0.5833333333333334,0.0,0.0,0.25,0.0,0.16666666666666666,0.0,0.0,0.0
31,Left,0.75,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0
32,Left,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
33,Left,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0
34,Left,0.5,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.125
35,Left,0.6363636363636364,0.0,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0
36,Left,0.6153846153846154,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0
37,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Left,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091
39,Left,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
40,Left,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
41,Left,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
42,Left,0.25,0.375,0.25,0.0,0.125,0.0,0.0,0.0,0.0
43,Right,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
44,Right,0.11764705882352941,0.6470588235294118,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
45,Right,0.125,0.8125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
46,Right,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Right,0.0,0.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
