,channel,media,bias,similarity
0,MSNBC,MSNBC,Left,1.0
1,Fox News,Fox News,Right,1.0
2,ITV News,ITV News,Right-Center,1.0
3,LastWeekTonight,Global Risk Insights,Left-Center,0.45714285714285713
4,Yahoo Finance,Yahoo News,Left-Center,0.6086956521739131
5,NBC News,NBC News,Left-Center,1.0
6,CNN,CNN,Left,1.0
7,PBS NewsHour,PBS News Hour,Left-Center,0.96
8,CNBC Television,USA Television,Questionable,0.7586206896551724
9,TheEllenShow,TheEllenShow,Left-Center,1.0
10,The Late Show with Stephen Colbert,The Truth Seeker,Conspiracy-Pseudoscience,0.48
11,Valuetainment,Valuetainment,Right-Center,1.0
12,Guitarist,Grist,Left-Center,0.7142857142857143
13,Global News,Global News,Left-Center,1.0
14,Matt Estlea,Rantt Media,Left,0.5454545454545454
15,The Daily Show with Trevor Noah,The Daily Wire,Right,0.5777777777777777
16,Klepper,Red Pepper,Left,0.5882352941176471
17,CBS This Morning,The Morning Star,Left,0.625
18,Fox Business,Fox Business,Right-Center,1.0
19,Guardian News,Taiwan News,Left-Center,0.75
20,The Sun,The Sun,Right,1.0
21,CBC News,CBC News,Left-Center,1.0
22,USA TODAY,USA Today,Left-Center,0.5555555555555556
23,TIME,TED,Left-Center,0.5714285714285714
24,The Eric Metaxas Radio Show,The Eric Metaxas Radio Show,Right,1.0
25,FOX 10 Phoenix,Saskatoon StarPhoenix,Right-Center,0.45714285714285713
26,Washington Week,Washington Blade,Left-Center,0.7741935483870968
27,Kirsten Dirksen,Science Direct,Pro Science,0.5517241379310345
28,Principles by Ray Dalio,Minnesota Public Radio,Left-Center,0.4888888888888889
29,CNA Insider,Insider,Left-Center,0.7777777777777778
30,Danielle DiMartino Booth,Daily Dot,Left,0.48484848484848486
31,Thom Hartmann Program,Human Progress,Right-Center,0.5714285714285714
32,Mark Knopfler Russia,Popular Resistance,Left,0.47368421052631576
33,JamPlay,HealthyWay,Left-Center,0.47058823529411764
34,James Taylor,Japan Today,Left-Center,0.5217391304347826
35,Peghead Nation,The Nation,Left,0.75
36,Normans Rare Guitars,Humans are Free,Conspiracy-Pseudoscience,0.5714285714285714
37,CNBC,CNBC,Left-Center,1.0
38,Click On Detroit | Local 4 | WDIV,Public Interest Legal Foundation,Right,0.4
39,OxfordUnion,OxfordUnion,Left-Center,1.0
40,Late Night with Seth Meyers,Watts Up with that,Conspiracy-Pseudoscience,0.4888888888888889
41,Brian Tyler Cohen,Guardian Liberty Voice,Left,0.5128205128205128
42,VICE News,ABC News,Left-Center,0.7058823529411765
43,John Di Domenico,Canadian Dimension,Left,0.5294117647058824
44,Bloomberg,Bloomberg,Left-Center,1.0
45,C-SPAN,C-Span,Least Biased,0.5
46,CBS News,CBS News,Left-Center,1.0
47,Reagan Library,Reagan Library,Right-Center,1.0
48,Dartmouth,MarketWatch,Right-Center,0.5
49,The Obama White House,The Obama White House,Left-Center,1.0
50,NBC New York,AM New York,Left-Center,0.782608695652174
51,Real Time with Bill Maher,Real Time Politics,Questionable,0.6046511627906976
52,Talks at Google,Takiís Magazine,Questionable,0.5333333333333333
53,Town Hall Seattle,Neon Nettle,Conspiracy-Pseudoscience,0.5714285714285714
54,HooverInstitution,Hoover Institution,Right-Center,0.9714285714285714
55,VICE,MIC,Left-Center,0.5714285714285714
56,NowThis News,NowThisNews,Questionable,0.9565217391304348
57,PowerfulJRE,Powerline,Right,0.6
58,The Intercept,The Intercept,Left-Center,1.0
59,vpro documentary,Worldometer,Least Biased,0.5185185185185185
60,CBC News: The National,The National,Right-Center,0.7058823529411765
61,thechesswebsite,Health Sciences Institute,Conspiracy-Pseudoscience,0.5
62,David Rubenstein,David Rubenstein,Right-Center,1.0
63,Top Speed Golf - Clay Ballard,Moon of Alabama,Left,0.4090909090909091
64,Yad Vashem,Yad Vashem,Left-Center,1.0
65,The Telegraph,The Free Telegraph,Questionable,0.8387096774193549
66,Good Morning Britain,The Morning Star,Left,0.6111111111111112
67,BePure - Ben Warren,The Press-Enterprise,Right-Center,0.46153846153846156
68,Washington Post,Washington Post,Left-Center,1.0
69,CTV News,CTV News,Least Biased,1.0
70,Wild Confluence,American Consequences,Right,0.5555555555555556
71,ChessNetwork,GoodNewsNetwork,Least Biased,0.6666666666666666
72,Coach Dat,Clash Daily,Questionable,0.6
73,Stanford Graduate School of Business,International Business Times,Left-Center,0.46875
74,Y Combinator,Columbia Reports,Left-Center,0.5714285714285714
75,The Masters,The Chaser,Satire,0.7619047619047619
76,ChrisRyanGolf,Christian Post,Right,0.5925925925925926
77,Eyewitness News ABC7NY,ABC11 Eyewitness News,Left-Center,0.6976744186046512
78,MassGovernor,MoveOn,Questionable,0.5555555555555556
79,London,London Web News,Questionable,0.5714285714285714
80,Back Intelligence,I Heart Intelligence,Conspiracy-Pseudoscience,0.7567567567567568
81,Al Jazeera English,Al Jazeera,Left-Center,0.7142857142857143
82,The University of Melbourne,University Business,Left-Center,0.6086956521739131
83,60 Minutes Australia,ABC News Australia,Left-Center,0.6842105263157895
84,92nd Street Y,Burrard Street,Satire,0.5925925925925926
85,NYS Executive Chamber,Government Executive,Left-Center,0.4878048780487805
86,blacktreetv,Heat Street,Right,0.5454545454545454
87,Jimmy Kimmel Live,Daily Buzz Live,Questionable,0.5
88,Tifo Football,Little Green Footballs,Left,0.5714285714285714
89,Stevie Richards,Statesville Record & Landmark,Least Biased,0.5
90,LCFC,CCTV,Left-Center,0.5
91,talkSPORT,Kotaku,Left-Center,0.4
92,Liberty University,Liberty Videos,Conspiracy-Pseudoscience,0.6875
93,ReasonTV,Reason,Right-Center,0.8571428571428571
94,KUSI News,USSA News,Right,0.7777777777777778
95,Calvary Chapel St George,Daily Stormer,Questionable,0.4864864864864865
96,socratesinthecity,Focus on the Family,Questionable,0.5
97,Saddleback Church,Zebra Fact Check,Right-Center,0.48484848484848486
98,Mashable,Mashable,Left,1.0
99,BBC News,BBC News,Left-Center,1.0
100,CBSN,CBS News,Left-Center,0.6666666666666666
101,Business Insider,Business Insider,Left-Center,1.0
102,Top 10 Talent,The Establishment,Left,0.4666666666666667
103,Channel 4 News,Channel 4 News,Left-Center,1.0
104,Governor Larry Hogan,Governing Magazine,Left-Center,0.5789473684210527
105,PBS,TBS,Left-Center,0.6666666666666666
106,Advoko MAKES,Edmonton Sun,Right-Center,0.4166666666666667
107,Healthy Homes,Healthy Food House,Conspiracy-Pseudoscience,0.7096774193548387
108,TA Outdoors,The Outlook,Least Biased,0.6363636363636364
109,Sydney Living Museums,The Sydney Morning Herald,Left-Center,0.5217391304347826
110,The Modern Home Project,The Federalist Papers Project,Questionable,0.6538461538461539
111,james hiroshi,News biscuit,Satire,0.48
112,Great Indoor Ideas,Northwest Indiana Times,Least Biased,0.4878048780487805
113,Wild North Design Company,People for the American Way,Left,0.5
114,Tom McElroy-Wild Survival,Offgrid Survival,Right,0.5853658536585366
115,Sunflare Solar,Sunday Sport,Satire,0.6153846153846154
116,Ontario Lakeside,Ontario Proud,Right,0.6206896551724138
117,Tiny House Expedition,Inside Edition,Left-Center,0.5714285714285714
118,USA,GOPUSA,Right,0.6666666666666666
119,Urban Farmer Curtis Stone,Urban Institute,Left-Center,0.5
120,ReaganFoundation,Heritage Foundation,Right,0.7428571428571429
121,BBC Newsnight,BBC News,Left-Center,0.7619047619047619
122,The Art Assignment,The Resurgent,Right,0.5806451612903226
123,Business Casual,Business Insider,Left-Center,0.6451612903225806
124,Financial Times,Financal Times,Least Biased,0.9655172413793104
125,Prairie Public,Free Republic,Right,0.5925925925925926
126,atlanticphil,Atlantic,Left-Center,0.7
127,Stanford,Stanford,Left-Center,1.0
128,The Black Swan Group,The Bulwark,Right-Center,0.5806451612903226
129,Politics and Prose,Politics and Prose,Left-Center,1.0
130,Davidson College,David Wolfe,Conspiracy-Pseudoscience,0.6666666666666666
131,Commonwealth Club,CommonWealth fund,Left-Center,0.7647058823529411
