pubdate,views,dislikes,likes,key,duration,id,mult,title,nb_recommendations,depth,recommendations,channel
2020-04-17,1033301,1205,21180,"['1fbche', '1hbche', '1ibche', '1jbche']",331,UcvIQJ-QurQ,0.19623616259658702,New Rule: Panic Porn | Real Time with Bill Maher (HBO),41,1,"['RTGBJMDcras', 'dRFbwjwQ4VE', 'dEfDwc2G2_8', 'th3KE_H27bs', 'cOSuHu8tMAI', 'byfTAdChMQ8', 'j1Zg2S2-heY', 'rS-APKpLvMc', 'Z0saoqIprD0', '_JuyDN0qzRY', 'wEZgGUAq3Uo', 'aeT3YOYsvMs', 'KLODGhEyLvk', 'T0q2ZR4nBuE', '-KQGZa773sI', 'c5jkYN_wG7c', '6s4Bx7mzNkM', '3Sbw0lZ9LmY', 'hIv7YJ0UrlM', 'HXFEkaLrid8']",Real Time with Bill Maher
2019-11-25,1124288,969,12630,['1idbge'],2571,CnNwqB0VRSQ,0.047862478682094006,"Tres príncipes enfrentados, ¿La nueva guerra del golfo?",10,1,"['r66dmrSfJC0', 'TqOubH148_0', 'NZxcKnxqkdM', 'HfwwbH8JRM0', 'fO8LZC6xaK0', 'PMNNCLbPsnE', 'Sku8Bsy3VAk', 'My7-Zxq6GZM', 'FEdeaBjOYFs', 'cRG0bzsaigM', 'KqlJBJmn8O4', 'InNktaWTE8U', 'ZoRHJBvFHEQ', 'VnM8gdccLYE', 'mJ7E0k61g2s', 'Z5AyxQY5czE', 'amuJm15agFI', 'MaUrwuUSLsg', 'vpodOZSrAFA', 'zfrynU3bL0E']",FRANCE 24 Español
2018-03-14,198056,44,577,"['1bhjab', '1bhjih', '1ecacb', '1ecaic', '1ecajh', '1ecbab', '1ecbih', '1ecfaf', '1ecfdh', '1ecfeh', '1ecfhg', '1ecfii', '1ecibh', '1ecijc', '1ecjhi', '1ecjjb', '1edjab', '1edjih', '1gdjab', '1gdjih']",18691,qFYo6iOL7M4,1.392798129648948,2012 Masters Tournament Final Round Broadcast,291,1,"['t_HKn21IEuA', 'oqYbG8Zhoag', '08HvndZs09I', '_tMQYqSULUY', '4sV4la-XBYk', 'kfMSpgr1L3Q', '5bBcS5fc5FY', 'bMf0JpfpZu8', 'vegqUyO_YWk', 'HGzvqU-T85I', 'nnxCQQvLgXw', '546S_E5v43g', 'yw9ObSBzB3k', '1XqD9uaBlvQ', 'qMnrQYyxOho', 'VczIV-qX8GI', 'xpIILZq28BU', 'ErNo2PiXqgc']",The Masters
2020-04-22,115758,131,5337,"['1ejhdg', '1ggfcg', '1gggdg', '1ghhcg', '1ijchg']",183,m5I-Vs_l9Fs,0.44512105174347805,Tucker: Rich colleges get bailed out while American people suffer,93,1,"['MuuA0azQRGQ', 'QnK9evpa4j8', 'fhHH1AJtZ3Y', 'dG7SglDjeOM', 'ObLaMLK5tzs', 'rfzzn2mj1Qc', 't10FfzIpiKs', 'TUw_IbACsF4', 'TWLA6si4Tak', '7DEiXWZrEak', 'jmghNve6QFY', 'vmnLA2DuYJs', 'Bqvjf1bH-n4', 'Y2M-lUdMUAo', 'ffEVhvIrbC8', 'RexUJeWmzSE', 'd7pXNy0Yumc', 'qPiZSF1Pi0M', 'p5dkbCD9CAs', 'J7oLjAAIsKg']",Fox News
2018-05-23,1121585,1193,8480,"['1idjei', '1jhjei']",443,cm8D4OonKUs,0.07179371802314101,Michelle Wolf On Controversy Surrounding Her White House Correspondents' Dinner Roast | The View,15,1,"['CeEiq_C6j3c', 'uH5XAeKdrjM', 'KimLq_LVr0Q', 'iDsITyAJzTo', '8Kv4F0D210A', 'P9yzkCiNZQM', 'i8gE20TW1n4', '7YGITlxfT6s', 'hVnjlNz6IKM', 'ArL03d8DvGU', 'uzL1mS1h4rI', 'Of6PLJbMnxE', 'cbJB1TDg8lo', 's34NWArsxVw', 'LForXq19MC8', 'kLjJD2WH5GQ', 'uDmSZX_zVuQ', '0E2rosIQJrs', 'DDbx1uArVOM', 'VIgSgLFwEMs']",The View
2016-08-24,1203781,752,9805,['1ghebd'],802,7Qo49kpgYIQ,0.019144991472837002,Cantonese Shrimp Chow Mein Recipe,4,1,"['Qyb_x5_f7nU', 'sLfKZ-aAANw', '-8qvTwF2w7A', 'ik1SkGcGLM4', 'n08hiuOGIu4', 'QkuD6rn93D0', 'xxM4t8vP-0A', 'VjneaJ0hmgs', 'SFeChtLaHy4', 'FTTlx8J5xUM', 'XT2SPR-lC0g', '4Qtmz1FDww0', 'fz_aSsuhg8Y', '8Szr-t8nO5o', '_WVNMDAJBJ0', '_bK0PSKnEWY', 'ulqOKya7SVQ', 'xQyZYPZT0tI', '0Jj4aNsSXUc']",Sue and Gambo
2016-05-12,432126,217,4179,"['1bddfg', '1bfcfg', '1eacfg', '1ehdfg', '1gbcfg', '1gcdfg', '1jehfg']",2557,_ijunCGyTmI,0.378113581588546,Checkmating Attacks | Mastering the Middlegame - GM Ben Finegold,79,1,"['enR0ntHVjG8', 'F2MkdD1B77E', 'Ao9iOeK_jvU', '7je7DuhfyyE', 'wu-iqXj8GYc', 'MzNQQCC85Gk', 'dxUuueHFfFs', '4NXJQo0iBcs', 'LmbFsbFkRUU', 'MVyjh8ycBzw', '5iELWZ2_rXc', 'SEbGmTJ95DU', '6yvzdZT4-qc', '7dFKdiHMzMM', 'w2M3lmQ37Yw', 'QnYPhn0Zdx8', '9wpe8-09N6E', 'U2huVf1l4UE', 'pCN_eKP7gJM']",Saint Louis Chess Club
2019-12-20,914365,780,36961,"['1fbgbe', '1hbgbe', '1ibgbe', '1jbgbe', '1jfbbe']",3823,Unzc731iCUY,0.263243632751519,How To Speak by Patrick Winston,55,1,"['vtIzMaLkCaM', 'IlU-zDU6aQ0', 'vsMydMDi3rI', 'sJG-rXBbmCc', 'HRl0dvPRkSI', 'PPfhZsAGsEI', 'illApgaLgGA', 'dHAbmoFHqgA', 'w82a1FT5o88', 'HAnw168huqA', 'XPUuF_dECVI', 'a0KtqDTmDa4', 'Y9LBUf1NzU0', '6JwEYamjXpA', 'lZ3bPUKo5zc', 'rIAZJNe7YtE', 'iFGve5MUUnE', 'ZVO8Wt_PCgE', 'wX78iKhInsc']",MIT OpenCourseWare
2017-09-15,12043213,18223,85750,"['1aafbc', '1aahbc', '1aaibc', '1aajbc', '1abdac', '1abfia', '1acdbc', '1acebc', '1acgbc', '1adbc', '1adcbc', '1addbc', '1adebc', '1adibc', '1aeabc', '1aebc', '1aefbc', '1aehbc', '1afabc', '1afbc', '1afcbc', '1afgbc', '1agaia', '1aghac', '1ahabc', '1ahbc', '1ahgbc', '1ahjbc', '1aibia', '1aicac', '1aigdc', '1ajabc', '1ajbjf', '1baaia', '1bahac', '1bbgbc', '1bdac', '1bdcia', '1becbc', '1behgc', '1bffac', '1bfia', '1bfifi', '1bfjdc', '1bhbgc', '1bhcia', '1bheac', '1bicfc', '1bijia', '1cadbc', '1caebc', '1cafbc', '1cahbc', '1cbdac', '1cbfia', '1ccfbc', '1cchbc', '1ccibc', '1ccjbc', '1cdbc', '1cdcbc', '1cddbc', '1cdebc', '1cdibc', '1ceabc', '1cebc', '1cefbc', '1cehbc', '1cfabc', '1cfbc', '1cfgbc', '1cfjbc', '1chabc', '1chgbc', '1cibjf', '1cicbc', '1cjbbc', '1cjcbc', '1dadbc', '1daebc', '1dafbc', '1dahbc', '1dbfbc', '1dbhbc', '1dbibc', '1dbjbc', '1dcabc', '1dcbbc', '1dccbc', '1ddbc', '1ddcbc', '1dddbc', '1ddebc', '1ddibc', '1deabc', '1debc', '1degbc', '1dejbc', '1dfabc', '1dfbjf', '1dgabc', '1dgbc', '1dgfbc', '1dghbc', '1dhabc', '1dhcbc', '1dhibc', '1didbc', '1diebc', '1difbc', '1djaia', '1djhac', '1eafac', '1eaia', '1eaifi', '1eajdc', '1edbgc', '1edcia', '1edeac', '1eeiif', '1eggcf', '1ehac', '1ehcia', '1eigbc', '1ejcdc', '1ejddf', '1ejgef', '1ejhjc', '1faabc', '1fabc', '1fafbc', '1fahbc', '1fbbac', '1fbc', '1fbcbe', '1fbcjg', '1fbdbc', '1fcaia', '1fchac', '1feabc', '1febbc', '1fegbc', '1fejbc', '1ffdbc', '1ffebc', '1fffbc', '1ffhbc', '1fgbc', '1fgebc', '1fgibc', '1fhjia', '1fjabc', '1fjbc', '1fjdbc', '1gaaia', '1gahac', '1gbfac', '1gbia', '1gbifi', '1gbjdc', '1gcac', '1gccia', '1gdbgc', '1gdcia', '1gdeac', '1geaac', '1gecac', '1gedac', '1geeia', '1gefhc', '1gfiia', '1ggdc', '1gggjc', '1ggiac', '1ggjdc', '1ghejc', '1ghgdc', '1ghiac', '1gibdc', '1gieic', '1gjaia', '1gjdac', '1gjeec', '1gjegf', '1gjfdc', '1gjiic', '1hadbc', '1haebc', '1hafbc', '1hahbc', '1hbbac', '1hbc', '1hbcbe', '1hbcjg', '1hbdbc', '1hcabc', '1hcbc', '1hcgbc', '1hcjbc', '1hdabc', '1hdbc', '1hdfbc', '1hdhbc', '1hebc', '1heebc', '1heibc', '1hfdbc', '1hfebc', '1hfgbc', '1hgfbc', '1hghbc', '1hgibc', '1hgjbc', '1hhbia', '1hhfbc', '1hhgbc', '1hhjbc', '1hiabc', '1hibc', '1hicbc', '1higbc', '1hjdbc', '1hjebc', '1hjfbc', '1iabc', '1iacbc', '1iadbc', '1iaebc', '1iaibc', '1ibbac', '1ibc', '1ibcbe', '1ibcjg', '1ibdbc', '1icabc', '1icbbc', '1icgbc', '1icjbc', '1idabc', '1idfbc', '1iedbc', '1ieebc', '1ifabc', '1ifbc', '1ifgbc', '1ihabc', '1ihbc', '1ihgbc', '1ihjbc', '1iiabc', '1iibjf', '1ijebc', '1ijibc', '1jabc', '1jacbc', '1jadbc', '1jaebc', '1jaibc', '1jbbac', '1jbc', '1jbcbe', '1jbcjg', '1jbdbc', '1jcabc', '1jcbc', '1jcdbc', '1jdbia', '1jdfbc', '1jdgbc', '1jdjbc', '1jeabc', '1jebjf', '1jefbc', '1jfdbc', '1jgbc', '1jgebc', '1jgibc', '1jhdbc', '1jifbc']",451,phsU1vVHOQI,11.061018823432025,Language Expert: Donald Trump's Way Of Speaking Is 'Oddly Adolescent' | The 11th Hour | MSNBC,2311,1,"['0B4nS1-ScYw', 'tHv0RExQsPQ', 'KLODGhEyLvk', '_KY83kAepHE', '_QdPW8JrYzQ', 'jSDj9E2dgWs', 'e4jVrvOb_V8', 'sQOAtztz8fc', 'TBuIGBCF9jc', 'OmhiInYqlTU', 'mLB937pCKZA', '6nhoGIvOKJU', 'fCNuPcf8L00', 'FEpwkaJQh1k', 'eDUfr-EQqEM', '7MWxq80oze0', '3wRVVGQTp_I', 'zhGPItQd47U', '9LR6EA91zLo', 'rFGE3X6Yhj0']",MSNBC
2012-04-05,72156,14,466,"['1jccee', '1jccgf']",1148,PFtxf2gZSY0,0.10051120523239801,Frank Abagnale 2 of 2,21,1,"['O9NuMRf-8L0', 'pni_kDv9BsU', 'BTIfGFJqLko', '8XTmCKqT72Q', 'iv5JNAuGcJU', 'W3CRZeZycKU', 'psvytm0baj4', 'yZYQpge1W5s', 'tY6tEPkh9-A', 'hqKafI7Amd8', 'eTu9kgsZoV0', '8HbvY1ZDhwg', 'U2PcvC_SxS4', 'bRcu-ysocX4', 'wlS9iDZjmLA', 'bQxqIKTO2Ck', 'rk_SMBIW1mg', 'yaQZFhrW0fU', '_QdPW8JrYzQ', 'yYvfDLZ2KTY']",toalexsmail
