channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
CNBC,1,121,1084,MQcPC31KRqA,[],2983,0.16876657824933602,1,2018-09-12,"['QE3QwTA5ujE', '0yZ5mjbB11I', 'PHe0bXAIuk0', 'JvEas_zZ4fM', 'QozGSS7QY_U', 'biKr34fDb0E', 'qlSxPouPCIM', 'iGh_zhbuJCA', 'DsZ28xn9ATo', '3sm-XGVca3c', '7prnY2FOxns', 'GPOv72Awo68', 'P9YTKb5PgR0', 'Pqc56crs56s', 'DCQwiF0J7hw', '1QeUcfqkUzc', 'w-eX4sZi-Zs', 'iEgu6p_frmE', 'RFxXl9eAWV4', '0yuKLHG0dGs']",Warren Buffett On The 2008 Crisis,390684
NBC News,1,38,641,iyDimnJfT6o,[],418,2.025198938992042,12,2020-03-19,"['Lmbx3kpOS9k', 'L5EHxsuPSl8', 'shGgo6lCdFs', '3gjPFelN1vY', 'yDWJtSsTnNM', 'c09m5f7Gnic', 'cw9vIPDxJyk', '9AEMKudv5p0', 'o783-zkcX8Q', 'uy9fG4s7wPI', 'NU-l2Pek4tg', 'UDY5COg2P2c', 'jFO9hwRSrls', '_066dEkycr4', '-SoZcjMWxm8', '0Wp-NYHuUrs', 'rBOhIqrUqEo', 'yhB9D06_ef4', 'JqsvuhHOH90', 'KLdEFcxzjLk']",Coronavirus Pandemic Forces Americans To Face 'New Normal' | NBC News NOW,11298
DoctorOz,2,57,617,9QZLhR__HVQ,[],1950,0.843832891246684,5,2020-03-16,"['LqFYwQUcDBA', '1OAGU-O8ysc', 'q-rVcaFSfSA', '7cOExWfYqr0', 'j7GkD9d7n34', '2hQYVWs-CyI', 'btneFj1excQ', '7erusqG3Y8Y', 'BTPfBc4qp00', 'ggHtoeQrGxQ', 'Y7nZ4mw4mXw', '5CRxyHU9Oxo', 'o783-zkcX8Q', 'p1EVhgsu_-o', 'HSVqpWkoK30', 'yYs-82Y-644', '13rFBDYATSA', 'aYyqj7Lit8M', '-50BMHIlSso', 'vVZtI48qzGc']",Sanjay Gupta Separates Facts From Fiction On Coronavirus - Part 1,103726
U.S. Presidential Inauguration,1,-1,5935,S4VoolvEsyQ,[],-1,0.33753315649867305,2,2012-12-29,"['NxFkEj7KPC0', 'Z7hET4Xp0qQ', 'yHzo_ZcvJkE', 'BTIfGFJqLko', 'HxRQm-3bzf0', 'CuzLdMPbKl8', 'd3UCW_AV93M', 'kb9espyQWOs', 'fp85zRg2cwg', 'IVGAI8o5i4o', 'mEH9kVbNX3A', 'Q32RFwyxHSc', 'iH1ZJVqJO3Y', 'hYUIwdqCpU0', '_vGQDBbO-fg', 'x_Kw9YnNXJk', 'rlLSBTAg0aM', '0UEbEvObgKo', 'oZH4n6DfcFw', 'eWynt87PaJ0']","Jan. 20, 2009: Inaugural Ceremonies for Barack Obama",2181106
CNBC Television,1,23,794,bR9SAUEFvHo,[],311,0.16876657824933602,1,2020-03-18,"['NvEWez59fbI', 'pkfv51RJ6gU', 'FItEjc6VtuU', 'wYqnfM6JBgc', '9xaAu5fUqBQ', 'oo_1IUk1nag', 'nDFoF3izhGQ', 'LkrD76wl0Mo', 'fs9Gr8Gj6Cg', 'HWaCdUgLjus', '6BxBh1oSisc', 'JvEas_zZ4fM', '6pif-PCnQfk', 't7dfCDshp8c', '3x1aLAw_xkY', 'eZ6Lut1KroU', 'wmJ417dlcC8', 'xhPvADuelcY', '0E3K3MoX5RU', 'qXwFCcfRXUU']",Mark Cuban's full interview on helping U.S. workers through the coronavirus crisis,42907
The Obama White House,1,845,4843,0UEbEvObgKo,[],5981,1.350132625994695,8,2013-01-21,"['3PuHGKnboNY', 'fp85zRg2cwg', 'CuzLdMPbKl8', 'FsUqI_Y7kVs', 'GD3IodWyGME', 'qOlSp1jSviU', 'rlLSBTAg0aM', 'hYUIwdqCpU0', 'xgRV_MPKMAE', 'oINDnuDHKbc', 'x_Kw9YnNXJk', 'pcNXFz_QCVU', 'jta-4JLawYI', 'SSJugLUsM58', 'BzC135ql_wA', 'eDOo3v2ntHI', 'gZR1CvSQntE', 'cCXSO-3mt5I', '9HSSvMfQ3QY', 'VL7PI_NLcZ8']",2013 Inauguration Ceremony,937577
The Obama White House,1,5514,4893,CuzLdMPbKl8,[],67396,3.544098143236074,21,2016-12-27,"['fp85zRg2cwg', 'eDOo3v2ntHI', 'GHrZd7JxvPQ', 'Z7x4ZS7ZZWc', 'x_Kw9YnNXJk', 'GD3IodWyGME', 'kCA39QJUKLM', '0UEbEvObgKo', 'ZIqeETusIFg', 'xgRV_MPKMAE', 'FsUqI_Y7kVs', 'LCmwkjSzr2g', '3PuHGKnboNY', 'CZ2o5CWCOgk', 'O-ubT0-q568', 'hYUIwdqCpU0', 'oINDnuDHKbc', 'gZR1CvSQntE', 'rlLSBTAg0aM']",Love and Happiness: An Obama Celebration,7080314
Forbes,1,112,522,9PMkgtwMkxc,[],4181,0.33753315649867305,2,2015-09-25,"['uxyv6UPluJs', 'JdUKhgW1gOo', 'XBUQNYczj4A', 'Qm0jktMIYlk', 'qqEAz79FMFI', 'c0ARb1N-3kM', 'glMU6ZL4UYs', 'w-eX4sZi-Zs', '0B10nEuLqHU', 'S98O2gFBEPo', 'RFxXl9eAWV4', 'UOEia7jVcto', 'PHe0bXAIuk0', 'biKr34fDb0E', 'rAUFVjjO1tQ', 'hNjJ55WgcRw', 'M2qb2cXtxzw', 'rrBLkfWg_MI', 'eP4iqNjYlMI', 'eIYDUhLdF3I']",Simple Rules For Investing With Shark Tank's Kevin O'Leary | Forbes,333618
,1,-1,-1,6LZeYj0y3zM,[],-1,0.33753315649867305,2,,[],,-1
Vox,1,2503,322,1UnIDL-eHOs,[],167989,0.843832891246684,5,2018-09-12,"['QMbHLF_zwjs', 'KaGSYGhUkvM', '7H6doOmS-eM', 'WeyLEe1T0yo', '9hdT8PgT19w', '7QwlT5f7H1c', 'LFMuLqZ1zaU', '2xvNhN1PsRw', 'iMtXqTmfta0', 'Jbix9y8iV38', 'n-mUZRP-fpo', 'IVjmIovOPek', 'r5Ps1TZXAN8', 'SKgL8u4CPJ8', 'kXCGbAv8YPw', 'gMqZR3pqMjg', 'yY96hTb8WgI', 'wFqQm1541aA', 'vWhYlu7ZfYM', 't6rHHnABoT8']",Why we say “OK”,5315719
DW Documentary,1,812,1709,3K3fy5eKeuM,[],6612,3.881631299734748,23,2020-03-17,"['XU9FVqwO4TM', 'ycrqXJYf1SU', 'g9HA5IoiUxE', 'Y7nZ4mw4mXw', '1Rrn7fmOn1o', 'IP_yuwVErwc', 'yDWJtSsTnNM', 'yhB9D06_ef4', 'MIUs08PZcdo', 'rBOhIqrUqEo', 'kjpcR9Hfm-E', 'efwYCP9p4tA', 'ksrc7eI3IMY', 'CVuVlk2E_e4', 'lViaVZ_s8MY', '94Bzy06s3Tc', 'LSAmSPi-t-M', 'm5fsidSOJMw', 'TPpoJGYlW54', 'TLpbfOJ4bJU']",Coronavirus in China | DW Documentary,752664
NBC News,1,258,3632,uy9fG4s7wPI,[],1363,1.5188992042440321,9,2020-03-18,"['L5EHxsuPSl8', 'IBsefkZjNW0', '3K3fy5eKeuM', '7anlrWq8lyo', 'Lmbx3kpOS9k', 'YDmOEPI4-8Y', '94Bzy06s3Tc', 'iyDimnJfT6o', 'ODj5B_MzyTA', 'JvEas_zZ4fM', 'Y7nZ4mw4mXw', 'Clnfuhxhi_Q', 'cw9vIPDxJyk', 'efwYCP9p4tA', 'ycrqXJYf1SU', 'yhB9D06_ef4', 'MIUs08PZcdo', 'UDY5COg2P2c', 'g9HA5IoiUxE', 'rBOhIqrUqEo']",Coronavirus Pandemic: Your Questions Answered | NBC News NOW,326634
Vox,1,9332,392,C-7fzHy3aG0,[],82338,0.6750663129973471,4,2017-02-13,"['-fUDIucr2eo', 'rELHUMNt4HM', '2Lzlrh0gaAo', '7ds2eh2_Un0', 'xecEV4dSAXE', 'luTPMHC7zHY', 'aqNHc6ZH7P4', '8c44LOp59-U', 'koGignAPGgs', '9AEMKudv5p0', 'wD8AwgO0AQI', 'UYMIgnw2FPU', '5YU9djt_CQM', 'maL6-l3DdHk', 'nFCPdVtB8gI', 'lh-85zp26Oc', '_v-hzc6blGI', 'Cijh3bdxwmE', 'x9fL9tcEUlM', 'lxMWSmKieuc']","Kellyanne Conway's interview tricks, explained",4734115
CNBC Television,1,18,345,fqc22e4o4hY,[],232,2.193965517241379,13,2020-03-19,"['xhPvADuelcY', 'pkfv51RJ6gU', 'gBQQjFhJ4-8', 'LkrD76wl0Mo', 'NvEWez59fbI', 'Lmbx3kpOS9k', 'FWdPrvgRf2Q', '1WAVFSGZ6Kw', 'c09m5f7Gnic', 'P-39QRDDin0', 'fPK7k9Vi4qs', 'HWaCdUgLjus', '_066dEkycr4', 'nDFoF3izhGQ', 'wYqnfM6JBgc', 'FItEjc6VtuU', 'JvEas_zZ4fM', '41FyAAyBPMc', '_mmOKIZINv8', 'Zz0sYszSwOU']",We shouldn't bail out every industry halted by coronavirus crisis: Advisor,22022
BBC News,1,222,579,sn-i152iPcA,[],2686,2.025198938992042,12,2020-03-19,"['yDWJtSsTnNM', 'WW3eFudbh-A', 'ypLd26VL_AU', 'AZSVBUcUZlM', 'C-0Es0RKiU4', 'yhB9D06_ef4', 'IP_yuwVErwc', '_066dEkycr4', '0W0B2Qg3r2k', '9Auq9mYxFEE', 'cw9vIPDxJyk', '3K3fy5eKeuM', 'Y7nZ4mw4mXw', 'efwYCP9p4tA', 'uHZUsgBbgXY', 'Lmbx3kpOS9k', 'zgZKQFypmoE', 'LwqhvRcBrK4', 'BWO6i8cH8SA', 'mXrYPFCi6mw']",Coronavirus: China reports the first day of no new cases - BBC News,30243
The Plain Bagel,1,209,587,21STUhQ-iP0,[],12768,0.50629973474801,3,2018-11-09,"['YANlHHaBp8k', 'G6uwkc11NZ8', '_aU6ohpjNiw', 'vGE44u0J6Cc', 'HP8QDvjJoV8', 'WAXPDDnrpW4', 'PHe0bXAIuk0', 'MSpWAYwqXQ4', 'nJGR-8vENeY', 'nX2DcXOrtuo', '1s7ULX45fjw', 'YXmNoQPG4FA', '5L_zQGPNXOk', 'CAs_aX95tVQ', 'y9BDeXoqEyo', 'C_N-3270JbA', '2I_GZebHd8Y', 'ipQ_kOyPe-I', 'S1wbCieoHs4', 'Ln-5bHEsqIQ']",Stock Multiples: How to Tell When a Stock is Cheap/Expensive,351404
Bloomberg,1,2365,1508,vrl5PFB35Ec,[],43062,1.181366047745358,7,2014-04-23,"['mh45igK4Esw', 'dp8PhLsUcFE', 'kbEOJLiIjUM', 'PHe0bXAIuk0', '1YCGM7FiCGg', 'w-eX4sZi-Zs', 'gtMg4jqEylA', 'tfAhTtBlb2Q', 'ii36plwJAnc', 'kFQJNeQDDHA', '2YNRZXtanN8', 'mB2V0BXH608', '5WiDIhIkPoM', 'ZpV24tltyME', '5fI3zz2cp3k', 'glMU6ZL4UYs', 'WTqYMoz_inU', '01Q9R7Da-hI', 'TgJvwVtENsg', 'u5uD62Plakg']",Mark Cuban: How I Became a Billionaire,6893908
ABC News,1,2251,689,zkH2rLIeU7A,[],9210,0.50629973474801,3,2020-03-15,"['BTPfBc4qp00', 'w_Ma8oQLmSM', 'uE6SXsrspUg', '0A9Y4djRQcM', 'xo2ISWrQAsU', 'XU9FVqwO4TM', 'Y7nZ4mw4mXw', 'o783-zkcX8Q', '6Af6b_wyiwI', 'G9oqvJ3iXGI', 'mNB8zN5CQGc', '61-gFtHJOd8', 'yhB9D06_ef4', 'zdR-I35Ladk', 'NKwwh2Iai2w', '5TZkkCpK-rs', 'BWO6i8cH8SA', 'jmUMolg-7nA', 'LSAmSPi-t-M', '5CRxyHU9Oxo']",'Things will get worse before they get better': Dr. Anthony Fauci | ABC News,1134313
DoctorOz,1,26,369,LqFYwQUcDBA,[],1068,0.16876657824933602,1,2020-03-16,"['BTPfBc4qp00', '9QZLhR__HVQ', 'q-rVcaFSfSA', 'TvTjREdHO0I', '1OAGU-O8ysc', 'V1xBiBVH7U4', '13rFBDYATSA', 'lViaVZ_s8MY', '7erusqG3Y8Y', 'Y7nZ4mw4mXw', 'jmUMolg-7nA', 'HSVqpWkoK30', 'ChT4UBDxLv8', '61-gFtHJOd8', 'gKcORNYCTqk', '0itO3NFhZDU', '3K3fy5eKeuM', 'TKS1pahoPRU', 'i-1RVB_H1Mw', 'wYqnfM6JBgc']",Sanjay Gupta Separates Facts From Fiction On Coronavirus - Part 2,45488
Face PC Gaming,1,284,6074,mei63AKPgn4,[],2412,0.50629973474801,3,2018-05-03,"['o5fdhfVrg1I', 'Wf_x4mE0wfc', 'QPg3o9dsEmI', 'BfubdVY4vg4', '5Gd6UAG9L-g', 'P-KDVcMBmz0', '7gpTzVGqBuQ', 'EGgnEIX5f4E', 'Ls2WhmsMGfs', 'oDTNNIb01hU', 'QDh-sHRQB6c', 'R1KcSa39gkI', 'Imo-Thk9uHU', 'cfhRLOIbEqs', 'VNe5P_fNxVk', 'FyLPJ5JWZYk', 'DOZS4YwqNMU', 'ZQ-rP0zYvsA', 'zgjIOT6_yw0']",Tom Brady (The Greatest Quarterback in NFL History) NFL Legends,499026
LastWeekTonight,1,2506,1162,svEuG_ekNT0,[],84873,0.16876657824933602,1,2019-11-03,"['UN8bJb8biZU', 'dHiAls8loz4', '_066dEkycr4', '3y1QA6OeAcQ', 'etkd57lPfPU', 'hpgOBdiYZkc', '6wplEAkNXow', 'BgyqAD5Z6_A', '2u_pZ-SgACk', 'kPhk2gncQbI', 'JDcro7dPqpA', 'Nuzi7LlSDVo', 'Bchx0mS7XOY', 'opi8X9hQ7q8', 'yw_nqzVfxFQ', '2qncrY2e5QU', '-tIdzNlExrw', 'SE_ccFHjL_w', 'YAr7O8-iRgQ', 'WCbRi_vHoRM']",Voting Machines: Last Week Tonight with John Oliver (HBO),4615150
