pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2020-04-23,195782,1129,2499,448,f9AuFaqOgS0,0.04250189619677101,Biden Leads Trump In Two Key Battleground States: Poll | Morning Joe | MSNBC,2,7,MSNBC,1
2020-04-24,340788,397,5479,903,0WuwYdSdjlw,26.946202188752842,Breaking Down Trump's Thursday Press Briefing | Morning Joe | MSNBC,1268,1,MSNBC,1a
2020-04-24,805526,1791,13245,710,sqI5_jH-AbY,31.196391808429947,Trump Suggests Disinfectant To Kill Virus Inside The Body | Morning Joe | MSNBC,1468,1,MSNBC,1aa
2020-04-24,340788,397,5479,903,0WuwYdSdjlw,26.946202188752842,Breaking Down Trump's Thursday Press Briefing | Morning Joe | MSNBC,1268,1,MSNBC,1aaa
2020-04-24,805526,1791,13245,710,sqI5_jH-AbY,31.196391808429947,Trump Suggests Disinfectant To Kill Virus Inside The Body | Morning Joe | MSNBC,1468,1,MSNBC,1aaaa
2020-04-24,340788,397,5479,903,0WuwYdSdjlw,26.946202188752842,Breaking Down Trump's Thursday Press Briefing | Morning Joe | MSNBC,1268,1,MSNBC,1aaaaa
2020-04-24,805526,1791,13245,710,sqI5_jH-AbY,31.196391808429947,Trump Suggests Disinfectant To Kill Virus Inside The Body | Morning Joe | MSNBC,1468,1,MSNBC,1aaaaaa
2019-09-17,5543937,4561,63928,3270,e9yK1QndJSM,24.62984884602882,"Full Interview: Edward Snowden On Trump, Privacy, And Threats To Democracy | The 11th Hour | MSNBC",1159,1,MSNBC,1aaaaab
2020-04-23,461156,209,5577,863,0Zixm-bB7e4,11.348006284537869,Doctor Says 'A Lot Of Transmission Left To Come' | Morning Joe | MSNBC,534,1,MSNBC,1aaaaac
2020-04-22,546505,463,6745,821,JBCicP17ZFY,17.404526492577745,John Kerry: Coronavirus May Be America's 'Moment Of Truth' | Morning Joe | MSNBC,819,1,MSNBC,1aaaaad
2020-04-23,1143618,566,24295,688,D9l1M_6MNxw,52.213579477733234,"Mitch McConnell's ""Screw The States"" Plan Riles Lawmakers From Both Parties",2457,1,The Late Show with Stephen Colbert,1aaaaae
2020-04-24,132472,130,2578,616,ESW4Xzm6R7M,14.918165565066637,Vanity Fair Looks At Trump's Plan To Battle Virus With Unproven Drug | Morning Joe | MSNBC,702,1,MSNBC,1aaaab
2020-04-24,23862,44,652,611,igM6ThP95-s,5.440242713186694,Doctor Speaks To Need And Challenge Of Testing | Morning Joe | MSNBC,256,1,MSNBC,1aaaaba
2020-04-24,340788,397,5479,903,0WuwYdSdjlw,26.946202188752842,Breaking Down Trump's Thursday Press Briefing | Morning Joe | MSNBC,1268,1,MSNBC,1aaaabb
2020-04-24,49451,52,609,514,hgHm_D7LZaY,5.8652616751544056,"Testing Now For All Essential Michigan Workers, Says Senator | Morning Joe | MSNBC",276,1,MSNBC,1aaaabc
2020-04-23,-1,1728,4771,0,bJYtPHXm9hQ,7.374078990139776,Watch Full Coronavirus Coverage - April 24 | NBC News Now (Live Stream),347,1,NBC News,1aaaabd
