pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2020-04-22,25,-1,-1,46,OXLpjLxh_Tw,0.17246376811594202,Fastest 5G in the world w/ the motorola edge+,2,6,Motorola US,1
,-1,-1,-1,-1,IWF2QUCftBc,0.08623188405797101,,1,5,,1a
,-1,-1,-1,-1,_CTUs_2hq6Y,0.08623188405797101,,1,5,,1b
,-1,-1,-1,-1,x4im3M9IFcI,0.08623188405797101,,1,5,,1c
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2a
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2aa
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2aaa
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2aaaa
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2aaaaa
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2aaaab
2020-04-25,46,19,942,301,HLImQOuSgKY,2.242028985507246,Pak Kodi 5G (2020) | Episod 4,26,1,TV9MALAYSIA Official,2aaaac
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2aaab
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2aaaba
2018-08-28,219,92,1198,5249,iBNBCiyBfKc,3.018115942028986,Restu Ramadan | Telefilem,35,1,TV3MALAYSIA Official,2aaabb
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2aaabc
,-1,-1,-1,-1,F19DM-UADiA,2.069565217391304,,24,1,,2aaac
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2aab
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2aaba
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2aabaa
,-1,-1,-1,-1,AYQ8hT8cVTE,1.379710144927536,,16,1,,2aabab
2017-05-08,903,1033,12,959,mSNFKM6S_fM,1.465942028985507,HIPERTENSIÓN ARTERIAL - ÚLTIMOS AVANCES EN DIAGNÓSTICO Y TRATAMIENTO,17,1,Dr. Ariel D. Sabio,2aabac
2018-08-28,219,92,1198,5249,iBNBCiyBfKc,3.018115942028986,Restu Ramadan | Telefilem,35,1,TV3MALAYSIA Official,2aabb
2020-04-23,149,121,1669,5281,YXTrWaoTWyU,2.069565217391304,Ramadan Ini Milik Siapa | Telefilem,24,1,Drama Sangat Official,2aabba
2019-05-03,59,42,533,5286,dte0wI_rxIw,2.242028985507246,Ramadan Terindah Nurani | Telefilem,26,1,Drama Sangat Official,2aabbb
2018-11-15,238,107,1126,5207,sf-7CfyCg-c,1.379710144927536,Syawal Mencari Cinta | Telefilem,16,1,tontonmy,2aabbc
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2aabc
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2aabca
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2aabcb
,-1,-1,-1,-1,F19DM-UADiA,2.069565217391304,,24,1,,2aabcc
2020-04-25,46,19,942,301,HLImQOuSgKY,2.242028985507246,Pak Kodi 5G (2020) | Episod 4,26,1,TV9MALAYSIA Official,2aac
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2aaca
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2aacaa
2018-08-28,219,92,1198,5249,iBNBCiyBfKc,3.018115942028986,Restu Ramadan | Telefilem,35,1,TV3MALAYSIA Official,2aacab
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2aacac
2020-04-24,50,16,881,300,yguQzqP38PI,1.207246376811594,Pak Kodi 5G (2020) | Episod 3,14,1,TV9MALAYSIA Official,2aacb
2020-04-25,46,19,942,301,HLImQOuSgKY,2.242028985507246,Pak Kodi 5G (2020) | Episod 4,26,1,TV9MALAYSIA Official,2aacba
2017-08-11,3,809,28,418,mPmcU8u8MEc,0.517391304347826,Daniel Negreanu Tilts Phil Hellmuth 3 Times in a Row (Poker High Stakes),6,1,FuryTV,2aacbb
2018-10-30,790,130,4324,57,OwaBVCtVglI,0.6036231884057971,"KELAKAR TAHAP DEWA! Haritu joey, kalini Ropie pulak buat izzue islam tak tahan gelak!",7,1,Izzue Islam,2aacbc
2020-04-17,135,40,2644,300,oLe5CQXWGZA,1.207246376811594,Pak Kodi 5G (2020) | Episod 1,14,1,TV9MALAYSIA Official,2aacc
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2aacca
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2aaccb
2019-12-08,379,174,2578,1352,P76TnrXU2Uo,0.517391304347826,J.K.K. (Musim 5) | Episod 10: Penapis Hati,6,1,TV3MALAYSIA Official,2aaccc
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2ab
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2aba
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2abaa
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2abaaa
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2abaab
2020-04-25,46,19,942,301,HLImQOuSgKY,2.242028985507246,Pak Kodi 5G (2020) | Episod 4,26,1,TV9MALAYSIA Official,2abaac
,-1,-1,-1,-1,AYQ8hT8cVTE,1.379710144927536,,16,1,,2abab
2017-05-08,903,1033,12,959,mSNFKM6S_fM,1.465942028985507,HIPERTENSIÓN ARTERIAL - ÚLTIMOS AVANCES EN DIAGNÓSTICO Y TRATAMIENTO,17,1,Dr. Ariel D. Sabio,2abac
2017-02-22,780,660,10,1683,DHw6Xg75kdM,0.517391304347826,Toma de Presión Arterial - Dr. Luis Conrado Federico Velásquez.,6,1,Universidad CES,2abaca
